报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),114225,66912,26366,173307,110439,67398,31882,168584,188792,161200,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,
收到的税费返还(万元),150,93,18,43,6,,,610,480,1126,
收到的其他与经营活动有关的现金(万元),8736,5240,764,19108,11224,8102,1169,20144,16699,14422,
经营活动现金流入小计(万元),123111,72245,27148,192457,121669,75500,33051,189338,205971,176749,
购买商品、接受劳务支付的现金(万元),64967,40836,19539,81077,61680,41016,22337,90991,93048,79910,
客户贷款及垫款净增加额(万元),,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),29248,19700,11216,34563,25867,17980,10508,33738,34417,28663,
支付的各项税费(万元),11988,6758,2842,14883,11319,6841,2266,15861,19829,18051,
支付的其他与经营活动有关的现金(万元),18730,11585,2631,33574,22461,15055,4680,40138,37615,31745,
经营活动现金流出小计(万元),124933,78880,36227,164097,121326,80893,39791,180727,184910,158369,
经营活动产生的现金流量净额(万元),-1822,-6635,-9080,28360,343,-5393,-6739,8611,21061,18380,
收回投资所收到的现金(万元),,,,,,,,,5100,29850,
取得投资收益所收到的现金(万元),,,,,,,,,6,107,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),14,7,1,72,22,13,196,157,166,143,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,7679,28354,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,
投资活动现金流入小计(万元),14,7,1,72,22,13,196,157,12952,58453,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),3168,1350,378,4349,1878,1297,601,3485,21182,5960,
投资所支付的现金(万元),,,,,,,,,,22330,
质押贷款净增加额(万元),,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),35048,26,14,72,86,72,72,,142,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,
投资活动现金流出小计(万元),38216,1375,391,4421,1964,1369,673,3485,21324,28290,
投资活动产生的现金流量净额(万元),-38202,-1368,-390,-4349,-1942,-1356,-477,-3328,-8372,30164,
吸收投资收到的现金(万元),67321,,,,,,,,259,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,
取得借款收到的现金(万元),6000,6000,,17900,19000,16000,9910,32959,45468,31500,
发行债券收到的现金(万元),,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,1,,
筹资活动现金流入小计(万元),73321,6000,0,17900,19000,16000,9910,32959,45728,31500,
偿还债务支付的现金(万元),12000,9000,5000,30421,24521,14421,4331,33760,45200,69476,
分配股利、利润或偿付利息所支付的现金(万元),304,224,113,1187,963,661,313,1482,2842,2386,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),777,68,60,404,307,295,,515,2575,,
筹资活动现金流出小计(万元),13081,9291,5173,32012,25791,15377,4644,35756,50617,71861,
筹资活动产生的现金流量净额(万元),60240,-3291,-5173,-14112,-6791,623,5266,-2797,-4889,-40361,
汇率变动对现金及现金等价物的影响(万元),-0,-0,,,,,,,-2,16,
现金及现金等价物净增加额(万元),20216,-11294,-14643,9899,-8390,-6126,-1950,2486,7798,8198,
加:期初现金及现金等价物余额(万元),37650,37650,37650,27752,27752,27752,27752,25266,17468,9270,
期末现金及现金等价物余额(万元),57867,26356,23008,37650,19361,21626,25802,27752,25266,17468,
净利润(万元),,,,21582,,,,,,,
少数股东损益(万元),,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,
资产减值准备(万元),,,,144,,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,,,3565,,,,,,,
无形资产摊销(万元),,,,449,,,,,,,
