报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),11491077,12935816,,11644764,,15409144,13001840,12426911,8764974,7542700,
结算备付金(万元),,,,,,,,,,,
拆出资金(万元),106588,,,1624171,,,,,,847442,
交易性金融资产(万元),13495601,12924512,,13745273,,4634452,7927376,2313182,1079529,419082,
衍生金融资产(万元),860979,988549,,1016460,,455409,385359,478028,45853,11345,
应收票据(万元),,,,,,,,,,,
应收账款(万元),,,,,,,,,,,
预付款项(万元),,,,,,,,,,,
应收保费(万元),,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,
应收利息(万元),,,,798554,,,,,,333003,
应收股利(万元),,,,,,,,,,,
其他应收款(万元),,,,,,,,,,,
应收出口退税(万元),,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,
买入返售金融资产(万元),1106139,,,2262534,,,,,,4127289,
存货(万元),,,,,,,,,,,
待摊费用(万元),,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,
其他流动资产(万元),,,,,,,,,,,
流动资产合计(万元),,,,,,,,,,,
发放贷款及垫款(万元),93765241,90202739,,80014327,,64981672,51247202,44366866,33522894,25231244,
可供出售金融资产(万元),,,,,,12789896,7600238,6146694,4911740,2806845,
持有至到期投资(万元),31277717,,,,,9156279,5269516,4153293,2904216,1869328,
长期应收款(万元),,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,
固定资产原值(万元),,,,,,,,,,,
累计折旧(万元),,,,,,,,,,,
固定资产净值(万元),,,,,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,
固定资产(万元),1209870,1122288,,701074,,660270,371501,304570,244463,182451,
在建工程(万元),,,,,,,,,,,
工程物资(万元),,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,
油气资产(万元),,,,,,,,,,,
无形资产(万元),100246,,,74118,,,,,,52276,
开发支出(万元),,,,,,,,,,,
商誉(万元),,,,,,,,,,,
长期待摊费用(万元),,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,
递延所得税资产(万元),975809,992220,,772974,,736681,604490,460103,210527,125128,
其他非流动资产(万元),3176100,3173234,,2688100,,2147635,1697131,892699,630551,83343,
非流动资产合计(万元),,,,,,,,,,,
