报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),21880,22417,17034,10695,12448,5310,2117,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),,,,,,,,
衍生金融资产(万元),,,,,,,,
应收票据(万元),3416,3333,,,,,,
应收账款(万元),14917,15350,,,,,,
预付款项(万元),332,259,289,309,111,27,32,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),,,,,,,,
应收股利(万元),,,,,,,,
其他应收款(万元),630,467,,434,337,134,90,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),28367,25468,24382,21141,21292,13942,9306,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,
其他流动资产(万元),544,556,444,269,137,177,160,
流动资产合计(万元),70086,67851,58567,44469,42798,27952,15075,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),,,,,,,,
持有至到期投资(万元),,,,,,,,
长期应收款(万元),,,,,,,,
长期股权投资(万元),,,,,,,,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),,,,,,,,
固定资产原值(万元),2011,1961,,,,,,
累计折旧(万元),1118,1016,,,,,,
固定资产净值(万元),893,945,,,,,,
固定资产减值准备(万元),,,,,,,,
固定资产(万元),893,945,,2282,986,406,571,
在建工程(万元),,,,,,,,
工程物资(万元),,,,,,,,
固定资产清理(万元),,,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),1843,1856,1872,29,25,44,77,
开发支出(万元),,,,,,,,
商誉(万元),,,,,,,,
长期待摊费用(万元),481,548,552,507,594,578,,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),437,469,329,253,231,158,86,
其他非流动资产(万元),,,,1870,,,,
非流动资产合计(万元),3653,3819,4750,4941,1836,1187,734,
资产总计(万元),73739,71670,63317,49410,44634,29138,15809,
短期借款(万元),500,228,282,500,,200,10,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),,,,,,,,
衍生金融负债(万元),,,,,,,,
应付票据(万元),14661,14473,,,,,,
应付账款(万元),9331,12139,,,,,,
预收账款(万元),12156,9848,10504,9722,10163,4723,3186,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),1209,1227,1951,806,1309,815,586,
应交税费(万元),597,918,1391,531,819,795,348,
应付利息(万元),,,,,,,,
应付股利(万元),,,,,,,,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),445,389,,364,288,1361,31,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,
其他流动负债(万元),,,,,,,,
流动负债合计(万元),38898,39222,35941,27324,25711,20648,9436,
长期借款(万元),,,,,,,,
应付债券(万元),,,,,,,,
长期应付款(万元),,,,,,,,
专项应付款(万元),,,,,,,,
预计非流动负债(万元),,,,,,,,
长期递延收益(万元),60,40,300,300,300,300,,
递延所得税负债(万元),,,0,,1,,,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),60,40,300,300,301,300,0,
负债合计(万元),38958,39262,36242,27624,26011,20948,9436,
实收资本(或股本)(万元),5813,5813,5813,5813,5813,4950,1000,
资本公积(万元),6714,6557,6241,5523,5300,819,20,
减:库存股(万元),,,,,,,,
专项储备(万元),,,,,,,,
盈余公积(万元),2074,1873,1358,970,703,226,429,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),19380,17431,12893,8989,6525,2136,4923,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),33982,31673,26305,21294,18341,8131,6372,
少数股东权益(万元),799,735,771,491,282,60,,
所有者权益(或股东权益)合计(万元),34781,32408,27076,21785,18623,8191,6372,
负债和所有者权益(或股东权益)总计(万元),73739,71670,63317,49410,44634,29138,15809,		
