报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),62498,32596,23268,59892,7476,15738,48286,11648,12026,7497,753,1454,3069,
结算备付金(万元),,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,
交易性金融资产(万元),2000,31140,32191,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,,,,
应收账款(万元),1072,3193,1356,1472,1525,2306,2218,913,1625,990,2890,2625,1960,
预付款项(万元),5257,5443,7504,5407,2988,5564,3475,8274,2982,4490,3724,1880,1828,
应收保费(万元),,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,
应收利息(万元),73,11,25,27,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,
其他应收款(万元),,570,,298,362,1004,1062,824,549,573,166,176,306,
应收出口退税(万元),,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,
存货(万元),57414,51344,52368,46225,51967,41351,39739,36907,36815,34594,30954,25277,18946,
待摊费用(万元),,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,
一年内到期的非流动资产(万元),419,399,411,322,368,365,306,305,254,384,376,165,83,
其他流动资产(万元),5807,5485,5673,4777,54919,42983,11047,2427,2392,2782,5173,4728,2823,
流动资产合计(万元),135027,130183,123072,118421,119606,109311,106133,61297,56643,51310,44036,36306,29015,
发放贷款及垫款(万元),,,,,,,,,,,,,,
可供出售金融资产(万元),0,0,,2000,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,
长期应收款(万元),4297,3589,3104,2931,2696,2355,2305,2106,1829,1386,1332,1147,1132,
长期股权投资(万元),,,900,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,
固定资产原值(万元),,12021,,11892,,11532,,11138,,10839,10513,,,
累计折旧(万元),,5144,,4832,,4614,,4060,,3449,3143,,,
固定资产净值(万元),,6877,,7060,,6918,,7079,,7390,7370,,,
固定资产减值准备(万元),,,,,,,,,,,,,,
固定资产(万元),,6877,,7060,6993,6918,6933,7079,7289,7390,7370,1213,1199,
在建工程(万元),,,,,,,,,,,4,2411,9,
工程物资(万元),,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,
无形资产(万元),2364,1852,1739,1783,1806,1880,1932,1970,2142,2077,1824,1421,1439,
开发支出(万元),,,,,,,,,,,,,,
商誉(万元),1947,1947,671,671,671,671,671,671,671,671,671,671,671,
长期待摊费用(万元),3836,3240,3007,3277,3033,2996,2725,2869,2670,2318,1993,1864,1657,
股权分置流通权(万元),,,,,,,,,,,,,,
递延所得税资产(万元),2125,2125,1734,1734,1169,1169,968,968,835,528,423,442,366,
其他非流动资产(万元),0,914,914,914,950,995,,,,,,,,
非流动资产合计(万元),24532,22544,21087,20371,17319,16985,15535,15664,15436,14371,13617,9170,6473,
资产总计(万元),159559,152726,144159,138792,136925,126296,121668,76961,72079,65680,57653,45476,35487,
短期借款(万元),11000,10000,5000,5000,5000,,,,,,,,,
向中央银行借款(万元),,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,
应付票据(万元),,,,,,,,,,,,,,
应付账款(万元),31867,28905,,26483,,28793,26764,22685,24639,21373,17171,14023,10273,
预收账款(万元),1344,1404,1303,1086,928,900,1122,1058,816,842,651,564,508,
卖出回购金融资产款(万元),,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,
应付职工薪酬(万元),3229,3148,2446,3132,2500,2542,2197,2561,2130,2103,1835,1486,1266,
应交税费(万元),1745,2789,1915,4575,2802,3347,3020,3831,2352,2351,1911,1178,990,
应付利息(万元),,,,0,6,,,,,,,,,
应付股利(万元),,622,,0,,,,864,725,1953,,,,
其他应交款(万元),,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,
其他应付款(万元),,5082,,1739,,1908,1067,1580,1660,1485,3019,1824,593,
预提费用(万元),,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,
其他流动负债(万元),3807,3658,3697,3854,3516,3414,3862,3278,3208,2723,2218,1902,1626,
流动负债合计(万元),59722,55608,49293,45868,49717,40904,38033,35856,35529,32831,26805,20978,15256,
长期借款(万元),,,,,,,,,,,3000,1000,,
应付债券(万元),,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,
长期递延收益(万元),,,,,,,,,,,,,,
递延所得税负债(万元),,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,
非流动负债合计(万元),0,0,0,0,0,0,0,0,0,0,3000,1000,0,
负债合计(万元),59722,55608,49293,45868,49717,40904,38033,35856,35529,32831,29805,21978,15256,
实收资本(或股本)(万元),10207,10170,10000,10000,10000,10000,10000,7500,7500,7500,7500,7500,7500,
资本公积(万元),46520,45459,41564,41564,41564,41564,41564,2912,2912,2912,2912,2912,2956,
减:库存股(万元),4075,3171,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,
盈余公积(万元),1969,1969,1969,1969,1527,1527,1527,1527,863,863,806,601,382,
一般风险准备(万元),,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,
