报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),12434,23630,31203,12599,13483,53035,15088,32230,35267,56264,41218,26990,72891,8107,11533,14120,17931,11021,4191,
结算备付金(万元),,,,,,,,,,,,,0,,,,,,,
拆出资金(万元),,,,,,,,,,,,,0,,,,,,,
交易性金融资产(万元),,615,,,,,,,,,,,0,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,0,,,,,,,
应收票据(万元),2983,2250,4072,5828,10943,1036,2282,6225,8998,5965,4138,7566,4237,4709,6542,4812,4360,6094,654,
应收账款(万元),74543,67385,59317,77260,58068,61362,55369,68833,49814,47791,42891,52371,47256,50049,44813,31713,17952,11852,6733,
预付款项(万元),8667,13242,7101,4058,9304,3835,5463,3424,15449,5715,9492,6146,7219,3952,1682,759,338,239,343,
应收保费(万元),,,,,,,,,,,,,0,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,0,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,0,,,,,,,
应收利息(万元),,0,,,,,,,,,,,0,,,,,75,,
应收股利(万元),,0,,,,,,,,,,,0,,,,,,,
其他应收款(万元),,5274,,4901,6486,9667,7050,4066,4209,4237,3889,3725,4012,3952,6316,4913,4745,3370,306,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,0,,,,,,,
存货(万元),79681,70858,64037,58690,68213,68337,53915,47202,44455,26656,23417,19927,18929,16510,11729,8351,6107,4653,3086,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),14063,14999,20470,45878,35547,10993,8457,6540,7176,4058,34534,58630,856,813,5797,31214,6500,105,,
流动资产合计(万元),197404,198253,191902,209214,202044,208264,147623,168519,165368,150687,159579,175356,155399,88091,88413,95881,57934,37410,15314,
发放贷款及垫款(万元),,,,,,,,,,,,,0,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,0,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,0,,,,,,,
长期应收款(万元),,,,,,,,,,,,,0,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,0,,,,,,,
固定资产原值(万元),,89223,,84123,,33825,,25194,,23200,,21659,,20072,17774,8655,5947,,1315,
累计折旧(万元),,22354,,18317,,14681,,12662,,10875,,9179,,7373,5608,3143,1519,,199,
固定资产净值(万元),,66869,,65807,,19144,,12533,,12324,,12480,,12699,12166,5513,4427,,1116,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,
固定资产(万元),,,,65807,64547,19144,12684,12533,11825,12324,11837,12480,12327,12699,12166,5513,4427,3400,1116,
在建工程(万元),,,,56089,52059,84425,78749,69940,31364,26067,19209,14104,5632,3432,1073,286,,,,
工程物资(万元),,,,,,,,,,,,,0,,,,,,,
固定资产清理(万元),,,,,,,,,,,-39,,0,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,0,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,0,,,,,,,
无形资产(万元),8459,9509,9513,9614,9791,9109,9048,8832,8858,8914,8925,9017,9131,9349,9607,2708,1867,1064,,
开发支出(万元),,,,,,,,,,,,,0,,,,,615,376,
商誉(万元),2714,2714,2714,2714,2714,,,,,,,,0,,,,,,,
长期待摊费用(万元),2041,1923,1794,1951,995,953,513,554,1765,2528,2511,1418,1219,975,766,75,96,72,6,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),5206,3396,2305,1474,217,398,325,230,135,69,44,43,40,69,102,191,118,67,35,
其他非流动资产(万元),1416,1238,3932,4045,6606,7778,10803,10147,24148,20000,20000,20000,20000,20366,20345,352,352,41,,
非流动资产合计(万元),153737,145541,145835,141693,136929,121807,112121,102235,78095,69902,62488,57061,48349,46889,44059,9125,6861,5259,1534,
资产总计(万元),351141,343794,337736,350907,338972,330072,259745,270754,243463,220589,222067,232417,203748,134981,132472,105006,64795,42669,16848,
短期借款(万元),,,,,,,,,,,,,0,,,,,,,
向中央银行借款(万元),,,,,,,,,,,,,0,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,0,,,,,,,
拆入资金(万元),,,,,,,,,,,,,0,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,0,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,0,,,,,,,
应付票据(万元),9175,7502,,3643,,4340,,,,,,,0,,,,,,,
