报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),6905,9205,15462,38458,12383,10786,20218,38799,14079,12835,21272,16815,23127,30454,13532,12120,7230,5763,4653,3968,3563,813,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,,3,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),7417,6511,6225,7926,8785,8644,4757,5257,6056,5651,8665,5960,3706,2581,1009,2501,2495,899,593,850,923,266,
应收账款(万元),17861,13627,14696,17441,11720,13669,14764,12980,11644,15136,14003,13822,10928,9930,9802,8042,7261,5942,4369,3511,3148,2406,
预付款项(万元),4871,4342,4288,2981,6976,6057,4845,3730,4304,3610,2946,1983,2961,2517,3370,2620,3079,3603,2844,3603,2005,1334,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,,
应收股利(万元),1029,1037,1003,1041,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,116,,80,61,101,74,56,54,44,50,88,85,90,94,98,86,78,148,23,39,42,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,
存货(万元),13487,12415,11564,11196,10873,8794,8880,8574,8189,8218,8904,8376,7852,7366,7394,7600,7457,6986,6207,5025,4305,3840,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,
