报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),8669,9150,5365,7842,2546,3133,2794,8592,570,3673,2952,1048,3321,1825,6021,
结算备付金(万元),,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,
应收票据(万元),462,773,2248,1667,1101,583,,1127,397,189,307,54,129,80,5,
应收账款(万元),28585,31649,27681,26917,28299,27983,25998,23636,29313,25766,22681,19243,15249,12609,12516,
预付款项(万元),2504,949,695,528,183,653,820,401,686,197,202,420,143,240,866,
应收保费(万元),,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,
其他应收款(万元),,1088,,901,639,824,947,766,1078,553,731,697,619,9298,4042,
应收出口退税(万元),,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,
存货(万元),9498,9990,8912,10018,11332,13333,13470,11869,10267,10161,10867,12183,10794,9396,7881,
待摊费用(万元),,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,
其他流动资产(万元),28230,15647,16478,15078,17000,15977,17236,15164,142,143,149,2,,49,,
流动资产合计(万元),79018,69245,62350,62952,61100,62486,61264,61554,42453,40682,37888,33647,30255,33496,31330,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,
投资性房地产(万元),851,868,884,901,917,934,950,967,983,1000,1033,,,,244,
固定资产原值(万元),,7084,,6052,,5834,,5191,,5133,4866,,5871,5495,,
累计折旧(万元),,3250,,2977,,2794,,2623,,2430,2247,,2178,1753,,
固定资产净值(万元),,3834,,3076,,3040,,2568,,2703,2620,,3693,3742,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,
固定资产(万元),,3834,,3076,2948,3040,2661,2568,2643,2703,2620,3586,3693,3742,3883,
在建工程(万元),,,,,,,,,,,,,,,,
工程物资(万元),,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,
无形资产(万元),1410,1490,642,673,187,191,173,164,166,153,158,159,165,169,180,
开发支出(万元),,,,,,,,,,,,,,,,
商誉(万元),9879,9879,9879,9879,,,,,,,,,,,,
长期待摊费用(万元),50,41,,3,,,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,
递延所得税资产(万元),853,750,555,553,563,480,462,462,474,459,403,354,308,332,202,
其他非流动资产(万元),,,2,2,1000,,74,74,,19,42,51,,,,
非流动资产合计(万元),16715,16861,14971,15085,5615,4644,4321,4234,4266,4335,4255,4150,4166,4243,4510,
资产总计(万元),95733,86106,77321,78037,66715,67131,65585,65788,46719,45017,42143,37797,34421,37739,35840,
短期借款(万元),6949,4799,3799,3799,3300,,150,850,2750,3820,3870,1550,2050,7400,8350,
向中央银行借款(万元),,,,,,,,,0,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,
交易性金融负债(万元),67,67,67,67,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,
应付票据(万元),6367,1716,,1600,,,,,,,,700,970,920,1015,
应付账款(万元),5752,10099,,5193,,6138,5714,5633,8085,6372,6300,5554,4524,4753,3701,
预收账款(万元),567,569,1023,847,459,562,691,331,338,741,560,686,511,609,789,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,
应付职工薪酬(万元),958,979,831,877,734,754,761,762,609,741,647,573,517,455,349,
应交税费(万元),545,245,425,538,260,256,154,379,986,1028,960,1114,683,470,221,
应付利息(万元),6,5,,6,,,,1,4,5,6,2,43,13,15,
应付股利(万元),,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,
其他应付款(万元),,4176,,5894,54,109,370,209,162,99,227,111,106,42,435,
预提费用(万元),,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,
流动负债合计(万元),31996,22655,17370,18820,9112,7818,7839,8165,12935,12806,12570,10291,9405,14663,14874,
长期借款(万元),,,,,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,
长期递延收益(万元),13,14,14,15,16,16,18,18,18,19,,,,,,
递延所得税负债(万元),,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,56,56,,,,
非流动负债合计(万元),13,14,14,15,16,16,18,18,18,19,56,56,0,0,0,
负债合计(万元),32009,22669,17384,18835,9128,7835,7857,8183,12953,12825,12626,10347,9405,14663,14874,
实收资本(或股本)(万元),6861,6861,6861,6861,6861,6861,6861,6861,5111,5111,5111,5111,5111,4868,4868,
资本公积(万元),33017,33017,33017,33017,33017,33017,33017,33017,11357,11357,11357,11357,11357,10062,10062,
减:库存股(万元),,,,,,,,,0,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,
盈余公积(万元),2268,2268,2268,2268,2145,2145,2145,2145,1678,1678,1678,1227,1227,837,642,
一般风险准备(万元),,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,
未分配利润(万元),17241,17066,16148,15531,15564,17272,15704,15582,15621,14046,11372,9755,7321,7309,5396,
拟分配现金股利(万元),,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),59387,59212,58294,57677,57587,59296,57728,57605,33766,32192,29517,27450,25017,23076,20967,
少数股东权益(万元),4337,4226,1642,1525,,,,,0,,,,,,-1,
所有者权益(或股东权益)合计(万元),63725,63437,59937,59202,57587,59296,57728,57605,33766,32192,29517,27450,25017,23076,20966,
负债和所有者权益(或股东权益)总计(万元),95733,86106,77321,78037,66715,67131,65585,65788,46719,45017,42143,37797,34421,37739,35840,		
