报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),6285,10844,5823,6392,5284,4126,3604,12037,5578,8587,11949,10727,5405,13682,28619,9428,5258,7144,3098,2799,1763,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,8780,,,,,,15590,,21570,17660,4850,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),10320,6378,7762,4506,5126,4261,1716,2538,3661,2886,2306,1559,2009,1729,1639,2638,1810,1247,1064,234,240,
应收账款(万元),18567,17302,19770,15871,15298,14907,14132,12086,11176,12693,10944,11259,9035,10040,8810,7958,8134,8259,8177,5416,4916,
预付款项(万元),729,815,2142,645,381,409,487,494,388,888,3330,271,367,485,87,100,126,173,157,242,191,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,446,,2073,582,587,775,717,394,448,300,297,198,235,257,207,249,129,93,122,103,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
存货(万元),10519,9731,9805,10641,10170,7178,7616,6268,5600,5421,4997,4189,3315,2563,2534,2382,3703,2555,3327,3954,2240,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),2824,2824,2270,11356,20,16391,21111,12477,17403,13449,67,20221,,,,,2607,165,99,135,107,
流动资产合计(万元),51958,48340,49161,51483,45641,47859,49441,46617,44201,44373,49481,48522,41898,46394,46796,22712,21887,19671,16015,12902,9560,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),22540,22004,16403,48,60,,,,,,1556,,4675,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,40733,,39725,,25843,,15290,,15368,,12882,,12487,,10639,10607,10572,10478,9262,8186,
累计折旧(万元),,11817,,10548,,6578,,6084,,5834,,5054,,4085,,3818,3668,3176,2512,1874,1331,
固定资产净值(万元),,28916,,29177,,19265,,9206,,9534,,7829,,8402,,6822,6939,7396,7966,7388,6855,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,,
固定资产(万元),,28916,,29177,27291,19265,8967,9206,9391,9534,7646,7829,8870,8402,6740,6822,6939,7396,7966,7388,6855,
在建工程(万元),,1593,,1703,2942,1523,10187,9550,9257,8201,7347,5981,2338,2152,1897,1111,761,,,,97,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),7238,7262,7300,7339,7416,2899,1403,1411,1419,1428,1436,1444,1452,1461,1469,1477,1486,1513,1549,1583,1582,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,,
商誉(万元),446,446,446,446,479,276,276,276,331,331,104,104,,,,,,,,,,
长期待摊费用(万元),578,576,644,634,751,640,655,679,716,775,899,900,58,62,79,102,100,32,5,9,4,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),236,241,229,229,251,295,295,295,194,245,194,245,154,154,154,154,151,150,143,98,66,
其他非流动资产(万元),838,2826,2922,3189,3553,1931,3286,2954,2849,2633,,3364,3242,2076,3412,1505,1123,41,30,52,556,
非流动资产合计(万元),65487,63864,58803,42765,42743,26829,25069,24370,24158,23147,19182,19867,20789,14307,13751,11171,10559,9133,9693,9131,9159,
资产总计(万元),117445,112204,107964,94248,88384,74688,74511,70987,68358,67519,68664,68389,62687,60701,60547,33883,32446,28804,25708,22032,18719,
短期借款(万元),10900,10900,6210,2650,2300,,,,,500,500,1000,,,,,,,,1350,300,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,,
应付票据(万元),11655,11391,,4780,,4234,2496,2413,2481,2599,3477,3683,3646,3370,2275,3311,3381,2565,2407,500,1599,
应付账款(万元),7076,3961,,4822,,4501,5110,3313,2435,2007,1963,2287,1859,1781,1609,1331,1872,1423,1834,2036,899,
预收账款(万元),422,534,513,339,780,483,394,270,301,280,214,203,153,177,254,257,218,355,234,300,180,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),239,237,219,268,224,222,214,237,165,171,181,196,143,143,130,130,131,132,117,96,,
应交税费(万元),311,735,872,680,529,567,351,465,419,719,460,577,368,279,503,722,394,332,562,295,180,
