报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),8727,12757,12733,10439,11011,11248,8062,10594,8018,13993,20774,6090,4456,3832,5020,3179,11023,7796,
结算备付金(万元),,,,,,,0,,,,,,,,,,,,
拆出资金(万元),,,,,,,0,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,0,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,0,,,,,,,,,,,,
应收票据(万元),5612,4434,3320,5871,7707,5745,4627,3057,5328,5880,4706,2055,2373,3409,2168,2772,1979,2190,
应收账款(万元),15698,19038,21301,21608,21658,19924,18932,20361,18272,18030,16490,19961,15734,15490,15704,17779,17898,12995,
预付款项(万元),1776,1148,1196,559,3053,1156,1424,634,962,1307,338,541,291,200,354,261,467,1955,
应收保费(万元),,,,,,,0,,,,,,,,,,,,
应收分保账款(万元),,,,,,,0,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,0,,,,,,,,,,,,
应收利息(万元),,0,,,,,0,,,,,,,,,,,,
应收股利(万元),,0,,,,,0,,,,,,,,,,,,
其他应收款(万元),,602,,550,622,796,546,627,607,711,801,1477,1501,1089,758,585,29,34,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,0,,,,,,,,,,,,
存货(万元),16236,17686,16351,20523,19777,20172,21501,19799,19635,19709,22312,17056,16679,17758,20242,20395,21414,17048,
待摊费用(万元),,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,0,,,,,,,,,,,,
其他流动资产(万元),2027,5248,5504,2537,4002,3105,3746,5280,5016,3,,,57,95,74,62,,,
流动资产合计(万元),50730,60914,61039,62088,67831,62146,58839,60352,57837,59633,65423,47178,41092,41873,44319,45032,52811,42017,
