报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),21361,33324,36081,42232,58745,50201,25032,29132,9791,12067,5722,2834,8679,5046,4290,7984,
结算备付金(万元),,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,11,209,,,,,,23,12,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,
应收票据(万元),19076,15570,14499,12938,13769,13226,14925,17775,16747,15403,12168,3515,732,915,671,651,
应收账款(万元),37703,33660,28631,23122,19868,18085,17384,16097,16797,15886,13596,13644,12587,10546,7116,6307,
预付款项(万元),1168,3054,1740,1591,2284,640,769,606,953,840,483,654,492,278,354,165,
应收保费(万元),,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,
应收利息(万元),,,0,,,,,,,,,,,,,,
应收股利(万元),,,0,,,,,,,,,,,,,,
其他应收款(万元),,394,,5060,250,192,117,24,600,437,274,230,67,85,679,43,
应收出口退税(万元),,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,
存货(万元),24770,27441,24998,20877,17127,16408,14346,10097,7772,6400,7594,8656,7633,6252,2815,3435,
待摊费用(万元),,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,
其他流动资产(万元),31440,32219,31712,27059,25657,21829,3982,1433,836,1193,3136,4952,4503,4947,5584,3641,
流动资产合计(万元),135880,145663,142798,132889,137909,120581,76555,75165,53497,52226,42994,34497,34692,28071,21508,22227,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,
固定资产原值(万元),,105954,,79049,,55449,,70564,,71244,66167,,,,,,
累计折旧(万元),,7529,,2721,,21672,,24478,,23007,19919,,,,,,
固定资产净值(万元),,98425,,76328,,33776,,46086,,48238,46247,,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,
固定资产(万元),,98425,,76328,63666,33776,48199,46086,47046,48238,46247,42301,42253,43046,29098,22304,
在建工程(万元),,15169,,51720,77562,79273,34169,12427,5043,2872,3533,7689,3036,1796,4904,2811,
工程物资(万元),,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,
无形资产(万元),4441,4476,4511,4546,6580,6073,5891,5463,5499,5536,5577,5718,3221,3242,3236,3303,
开发支出(万元),,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,,
长期待摊费用(万元),,,,,,,,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,
递延所得税资产(万元),4305,4407,4525,4492,1957,795,494,434,399,379,339,315,117,104,201,,
其他非流动资产(万元),1537,3871,1279,4211,9578,11668,14560,8260,1572,2041,538,619,679,53,111,192,
非流动资产合计(万元),122278,126349,136323,141297,159343,131585,103313,72671,59558,59065,56234,56642,49307,48241,37550,28609,
资产总计(万元),258158,272012,279121,274186,297251,252165,179868,147835,113055,111291,99228,91139,83999,76311,59058,50836,
短期借款(万元),15681,14231,26711,34102,24665,22165,24665,13864,3750,7341,9298,8550,6330,4180,3901,2270,
向中央银行借款(万元),,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,
交易性金融负债(万元),,10,31,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,
应付票据(万元),50868,47511,,54527,,52853,41679,32597,22768,22593,16500,4569,1344,2576,1267,603,
应付账款(万元),40424,56878,,52151,,55149,21112,10975,11320,9477,9153,11319,10570,11156,5601,3729,
预收账款(万元),1677,29,62,140,8,16,57,27,58,246,23,35,33,25,37,20,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,
应付职工薪酬(万元),603,720,756,1091,957,1043,784,372,376,373,316,255,250,256,175,149,
应交税费(万元),81,62,4700,2689,69,1357,106,310,621,467,431,288,111,547,7,9,
应付利息(万元),73,68,242,139,,147,86,44,16,20,50,30,30,24,22,23,
应付股利(万元),,519,0,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,
其他应付款(万元),,81,,21783,27174,25129,41,46,125,7,6,6,10,146,373,87,
预提费用(万元),,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),4068,3024,2624,1883,1178,676,510,1146,1945,2342,4574,6151,8996,8689,1378,1773,
其他流动负债(万元),18150,23950,14100,,8800,,,,,,,,,,,,
流动负债合计(万元),131714,147081,175814,168503,205500,158535,89040,59381,40978,42867,40349,31204,27674,27599,12761,8662,
长期借款(万元),32864,31698,31098,32631,30237,25082,8390,6085,7435,7000,899,5232,3540,3621,8018,8829,
应付债券(万元),,,,,,,,,,,,,,,,,
长期应付款(万元),,19446,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,
长期递延收益(万元),,,,,,,10859,11035,9575,10061,11032,13045,13266,13721,11585,7804,
递延所得税负债(万元),,,,2,,,,,,,3,2,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,
非流动负债合计(万元),51773,51144,31098,32633,30237,25082,19249,17120,17010,17061,11935,18279,16806,17342,19602,16633,
负债合计(万元),183487,198225,206912,201136,235737,183616,108290,76502,57988,59928,52284,49483,44480,44941,32363,25296,
实收资本(或股本)(万元),25939,25939,25939,25939,25733,25733,25733,25733,19300,19300,19300,19300,19300,17153,17153,17153,
资本公积(万元),27169,26930,26451,26451,25434,25434,25434,25434,17323,17323,17323,17323,17323,11526,10250,10250,
减:库存股(万元),,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,
盈余公积(万元),3591,3591,3591,3591,2087,2087,2087,2087,978,978,978,424,214,214,,,
一般风险准备(万元),,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,
未分配利润(万元),17972,17327,16228,17069,8261,15295,18325,18080,17466,13762,9343,4610,2682,2477,-708,-1863,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),74671,73786,72209,73049,61515,68549,71579,71334,55067,51363,46944,41656,39519,31370,26695,25540,
少数股东权益(万元),,,,,,,,,,,,,,,,,
所有者权益(或股东权益)合计(万元),74671,73786,72209,73049,61515,68549,71579,71334,55067,51363,46944,41656,39519,31370,26695,25540,
负债和所有者权益(或股东权益)总计(万元),258158,272012,279121,274186,297251,252165,179868,147835,113055,111291,99228,91139,83999,76311,59058,50836,		
