报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),52298,73382,26135,76785,51371,46559,13348,9359,
结算备付金(万元),,,,,,,,,
拆出资金(万元),,,,,,,,,
交易性金融资产(万元),,,,,,,,,
衍生金融资产(万元),,,,,,,,,
应收票据(万元),3709,2223,1111,2330,3081,,,,
应收账款(万元),160005,139102,118171,102600,105354,,,,
预付款项(万元),2754,361,5150,1207,845,1049,540,416,
应收保费(万元),,,,,,,,,
应收分保账款(万元),,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,
应收利息(万元),,,,,,,,,
应收股利(万元),,,,,,,,,
其他应收款(万元),,,2075,2019,,,,,
应收出口退税(万元),,,,,,,,,
应收补贴款(万元),,,,,,,,,
应收保证金(万元),,,,,,,,,
内部应收款(万元),,,,,,,,,
买入返售金融资产(万元),,,,,,,,,
存货(万元),196781,133730,124532,82991,86632,62880,60361,46925,
待摊费用(万元),,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,
一年内到期的非流动资产(万元),290,144,201,196,188,,,,
其他流动资产(万元),8595,7577,5842,3666,4278,1803,145,73,
流动资产合计(万元),468117,394784,317359,283714,264016,212320,171143,139810,
发放贷款及垫款(万元),,,,,,,,,
可供出售金融资产(万元),,,,,,,,,
持有至到期投资(万元),,,,,,,,,
长期应收款(万元),,803,727,710,676,1178,659,453,
长期股权投资(万元),,,,,,,8,9,
其他长期投资(万元),,,,,,,,,
投资性房地产(万元),533,542,551,561,580,599,215,230,
固定资产原值(万元),,,71067,69454,,,,,
累计折旧(万元),,,13641,12224,,,,,
固定资产净值(万元),,,57426,57230,,,,,
固定资产减值准备(万元),,,,,,,,,
固定资产(万元),,,57426,57230,,,,,
在建工程(万元),,,143,88,,,,,
工程物资(万元),,,,,,,,,
固定资产清理(万元),,,,,,,,,
生产性生物资产(万元),,,,,,,,,
公益性生物资产(万元),,,,,,,,,
油气资产(万元),,,,,,,,,
无形资产(万元),9091,9151,9212,9272,9394,8672,6953,7116,
开发支出(万元),,,,,,,,,
商誉(万元),,,,,,,,,
长期待摊费用(万元),469,455,479,477,159,121,147,194,
股权分置流通权(万元),,,,,,,,,
递延所得税资产(万元),3145,2866,2823,2295,2809,1961,1721,1309,
其他非流动资产(万元),5966,5108,4124,4628,4984,5075,917,673,
非流动资产合计(万元),80069,77805,75485,75261,70637,64381,46190,44311,
资产总计(万元),548187,472589,392844,358975,334653,276702,217333,184121,
短期借款(万元),146900,147870,97870,76800,57185,48385,20300,14700,
向中央银行借款(万元),,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,
拆入资金(万元),,,,,,,,,
交易性金融负债(万元),,,,,,,,,
衍生金融负债(万元),,,,,,,,,
应付票据(万元),37000,33500,11100,27300,22300,,,,
应付账款(万元),54816,83783,83896,58413,75600,,,,
预收账款(万元),,1760,,8369,7135,6565,2395,2607,
卖出回购金融资产款(万元),,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,
应付职工薪酬(万元),1704,1310,915,6586,6348,6333,5950,4567,
应交税费(万元),5643,3334,5922,4368,5290,3407,11668,10752,
应付利息(万元),,,,,,,,,
应付股利(万元),,,,,,,,,
其他应交款(万元),,,,,,,,,
应付保证金(万元),,,,,,,,,
内部应付款(万元),,,,,,,,,
其他应付款(万元),,,164,76,,,,,
预提费用(万元),,,,,,,,,
预计流动负债(万元),,,,,,,,,
应付分保账款(万元),,,,,,,,,
保险合同准备金(万元),,,,,,,,,
代理买卖证券款(万元),,,,,,,,,
代理承销证券款(万元),,,,,,,,,
国际票证结算(万元),,,,,,,,,
国内票证结算(万元),,,,,,,,,
递延收益(万元),,,,,,,,,
应付短期债券(万元),,,,,,,,,
一年内到期的非流动负债(万元),3370,3635,6016,6402,6300,6405,4224,3309,
其他流动负债(万元),406,1646,6096,2603,2405,2132,,,
流动负债合计(万元),269339,288846,220929,190916,182812,140324,127064,117872,
长期借款(万元),1800,3400,2900,2900,3873,4273,1373,2673,
应付债券(万元),,,,,,,,,
长期应付款(万元),,,3769,4983,,,,,
专项应付款(万元),,,,,,,,,
预计非流动负债(万元),,,,,,,,,
长期递延收益(万元),736,701,1370,1540,1594,1934,,,
递延所得税负债(万元),,,,,,,,,
其他非流动负债(万元),4517,4819,1873,2749,1780,1441,1279,1143,
非流动负债合计(万元),7054,12895,9912,12173,14633,13826,4847,7090,
负债合计(万元),276393,301741,230841,203089,197445,154150,131911,124961,
实收资本(或股本)(万元),40058,35058,35058,35058,35058,35058,20056,20056,
资本公积(万元),108232,28089,28089,28089,28089,28089,18089,18089,
减:库存股(万元),,,,,,,,,
专项储备(万元),,,,,,,,,
盈余公积(万元),10351,10351,10893,10351,8821,7271,4707,2088,
一般风险准备(万元),,,,,,,,,
未确定的投资损失(万元),,,,,,,,,
未分配利润(万元),113153,97350,87963,82388,65241,52133,42571,18927,
拟分配现金股利(万元),,,,,,,,,
外币报表折算差额(万元),,,,,,,,,
归属于母公司股东权益合计(万元),271794,170848,162003,155886,137208,122551,85422,59159,
少数股东权益(万元),,,,,,,,,
所有者权益(或股东权益)合计(万元),271794,170848,162003,155886,137208,122551,85422,59159,
负债和所有者权益(或股东权益)总计(万元),548187,472589,392844,358975,334653,276702,217333,184121,		
