报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),23911,27673,35201,31109,48999,36437,49316,237532,28929,30706,43489,30776,5542,8924,
结算备付金(万元),,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,
交易性金融资产(万元),,,,446,,,,,120,,325,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,
应收票据(万元),52156,54596,56929,49932,72578,70054,69764,60420,93479,123347,70199,43048,30072,19068,
应收账款(万元),108895,105769,98619,129281,94429,112020,120764,115738,104875,96208,121978,70191,61444,39359,
预付款项(万元),1135,904,1629,1154,1307,1204,1399,1129,1047,520,1957,180,310,262,
应收保费(万元),,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,
应收利息(万元),2979,2346,1351,884,,1376,1190,249,91,153,205,142,,,
应收股利(万元),,,,,,,,,,,,,,,
其他应收款(万元),,996,,844,3160,794,1059,1164,1376,1667,1111,735,668,298,
应收出口退税(万元),,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,
存货(万元),85288,73830,81263,68198,81314,76632,88228,91891,103443,93794,119631,98960,55597,37074,
待摊费用(万元),,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,
其他流动资产(万元),145220,148922,163663,179431,170787,167393,145122,18475,13743,5998,2205,3308,10680,719,
流动资产合计(万元),420637,415036,439442,461277,472574,465910,476842,526596,347102,352394,361100,247339,164313,105704,
发放贷款及垫款(万元),,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,6984,1984,1984,1984,1984,1984,1984,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,
长期股权投资(万元),,,,,5408,5675,970,385,1168,1749,559,782,,,
其他长期投资(万元),,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,
固定资产原值(万元),,107115,,103701,,97515,,94160,91441,91506,84832,61808,52696,,
累计折旧(万元),,52133,,47632,,43310,,40384,38508,37740,34764,29627,26738,,
固定资产净值(万元),,54982,,56069,,54205,,53775,52933,53766,50068,32180,25959,,
固定资产减值准备(万元),,,,,,,,,,,,,,,
固定资产(万元),,54982,,56069,54456,54205,54150,53775,52933,53766,50068,32180,25959,20331,
在建工程(万元),,6142,,1314,2311,2359,2822,2954,3658,3452,2409,5089,729,1710,
工程物资(万元),,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,
无形资产(万元),22066,22272,15688,15868,14535,14926,15220,15843,14820,14442,13691,5512,5327,4787,
开发支出(万元),198,232,278,232,,,,,,,,,,,
商誉(万元),5097,5110,9037,,,,,,,,,,,,
长期待摊费用(万元),8275,8103,8405,8569,8976,9670,9563,10141,10741,10426,10188,8436,9629,9371,
股权分置流通权(万元),,,,,,,,,,,,,,,
递延所得税资产(万元),9257,8213,9207,8859,7067,7101,6936,7418,8145,7629,6819,3796,3470,2221,
其他非流动资产(万元),14465,13657,10679,8560,6197,5311,4181,3019,2236,2677,3459,5593,1270,2249,
非流动资产合计(万元),139122,132426,125534,106455,100934,101230,95826,95520,95686,96127,87194,61388,46383,40669,
资产总计(万元),559759,547461,564976,567732,573508,567140,572668,622116,442788,448521,448294,308728,210696,146373,
短期借款(万元),710,730,1526,,,4632,11402,67629,79687,99746,75485,68998,36982,25260,
向中央银行借款(万元),,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,113,866,309,519,205,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,
应付票据(万元),12287,13823,,26390,,32527,22796,20874,31779,41423,41301,8591,7037,4530,
应付账款(万元),89720,83088,,86746,,94632,92613,99997,104491,95112,143977,112953,77208,44926,
预收账款(万元),252,268,274,220,239,402,596,564,497,554,826,697,1914,610,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,
应付职工薪酬(万元),11498,10571,11989,10542,12898,12664,17321,17843,16642,13729,16796,9885,7028,4180,
应交税费(万元),2193,852,850,4421,3662,3937,5109,5768,7240,8536,7094,2740,2844,1048,
应付利息(万元),,,,,,87,207,341,507,670,279,408,239,46,
应付股利(万元),,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,
其他应付款(万元),,6854,,6899,4211,4405,4848,5765,4163,4677,5643,3983,7618,8803,
预提费用(万元),,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,
其他流动负债(万元),,,21,,523,443,208,209,353,360,299,302,74,657,
流动负债合计(万元),122294,116186,124971,135218,155873,153842,155965,219298,245877,265013,291700,208556,140945,90059,
长期借款(万元),,,,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,
预计非流动负债(万元),30457,28539,34524,31551,26294,27185,28254,30329,36229,34003,28470,13046,10833,7618,
长期递延收益(万元),3986,3692,3869,3638,2435,2430,979,1011,1085,1046,504,609,142,216,
递延所得税负债(万元),1957,2137,36,37,24,23,23,23,30,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,
非流动负债合计(万元),36400,34368,38429,35226,28753,29639,29256,31364,37344,35048,28974,13655,10974,7834,
负债合计(万元),158694,150555,163400,170444,184626,183481,185221,250662,283221,300062,320674,222212,151919,97893,
实收资本(或股本)(万元),55000,55000,55000,55000,55000,55000,55000,55000,45000,45000,45000,45000,9380,9380,
资本公积(万元),207005,207005,207005,207005,207005,207005,207005,207005,19826,19826,19826,19826,6864,6864,
减:库存股(万元),,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,
盈余公积(万元),19500,19545,18430,18430,14303,14303,14303,14303,8192,8192,8192,2343,4690,4690,
一般风险准备(万元),,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,
未分配利润(万元),118887,114791,121037,116683,113017,107889,111720,95698,87035,75917,55164,19985,38333,27781,
拟分配现金股利(万元),,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),400801,396797,401530,397235,389440,384204,388033,372040,160073,148974,128151,87051,59182,48697,
少数股东权益(万元),264,110,46,53,-559,-545,-586,-586,-507,-515,-531,-535,-405,-216,
所有者权益(或股东权益)合计(万元),401064,396907,401576,397288,388882,383659,387447,371454,159566,148459,127620,86516,58777,48480,
负债和所有者权益(或股东权益)总计(万元),559759,547461,564976,567732,573508,567140,572668,622116,442788,448521,448294,308728,210696,146373,		
