报告日期,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),81708,72447,56233,40904,37038,15599,17115,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),55000,55000,,,,,,
衍生金融资产(万元),,,,,,,,
应收票据(万元),44598,37113,30265,21322,11990,10417,12520,
应收账款(万元),29016,27989,19330,20052,15902,16709,15079,
预付款项(万元),451,369,409,1378,301,106,119,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),,,,,,,,
应收股利(万元),,,,,,,,
其他应收款(万元),,110,37,64,62,29,136,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),38205,38116,42186,38029,25321,21855,26097,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,
其他流动资产(万元),,,,591,726,2632,,
流动资产合计(万元),249087,231143,148460,122342,91340,67346,71067,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),,,,,,,,
持有至到期投资(万元),,,,,,,,
长期应收款(万元),,,,,,,,
长期股权投资(万元),,,,,,,,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),332,339,352,378,237,252,,
固定资产原值(万元),,75818,73445,65434,56967,,,
累计折旧(万元),,32091,29668,25127,21812,,,
固定资产净值(万元),,43728,43776,40307,35155,,,
固定资产减值准备(万元),,,,,,,,
固定资产(万元),,43728,43776,40307,35155,32884,33157,
在建工程(万元),,9587,8211,999,,266,534,
工程物资(万元),,,,,,,,
固定资产清理(万元),,,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),12863,12666,12821,13074,13130,13147,8323,
开发支出(万元),,,,,,,,
商誉(万元),,,,,,,,
长期待摊费用(万元),224,247,274,362,136,,,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),2450,2301,2093,1853,1706,1335,194,
其他非流动资产(万元),2500,1259,1502,4192,1039,237,4790,
非流动资产合计(万元),71600,70127,69029,61166,51402,48120,46998,
资产总计(万元),320687,301270,217489,183508,142742,115467,118064,
短期借款(万元),,,,,,,,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),,,,,,,,
衍生金融负债(万元),,,,,,,,
应付票据(万元),50280,43426,58403,49891,26000,,9400,
应付账款(万元),29693,31326,21571,17906,18275,35794,22267,
预收账款(万元),17114,11881,14900,15039,12035,10323,11768,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),4103,3308,4076,3767,3451,1781,3967,
应交税费(万元),2126,1319,611,865,263,1231,4178,
应付利息(万元),,,,,,,,
应付股利(万元),,,,,,,,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),,102,82,,35,1,4,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,
其他流动负债(万元),,,,,,,,
流动负债合计(万元),103397,91362,99643,87468,60060,49130,51584,
长期借款(万元),,,,,,,,
应付债券(万元),,,,,,,,
长期应付款(万元),,,,,,,,
专项应付款(万元),,,,,,,,
预计非流动负债(万元),,,,,,,,
长期递延收益(万元),1250,1250,1250,1250,1250,1250,,
递延所得税负债(万元),,,,,,,,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),1250,1250,1250,1250,1250,1250,0,
负债合计(万元),104647,92612,100893,88718,61310,50380,51584,
实收资本(或股本)(万元),46333,46333,37895,37895,37895,36000,2000,
资本公积(万元),111395,111395,39833,39833,39833,25860,58670,
减:库存股(万元),,,,,,,,
专项储备(万元),,,,,,,,
盈余公积(万元),3894,3894,3894,1760,393,823,581,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),54414,47025,34968,15297,3297,2404,5229,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),216040,208658,116596,94790,81432,65086,66480,
少数股东权益(万元),,,,,,,,
所有者权益(或股东权益)合计(万元),216040,208658,116596,94790,81432,65086,66480,
负债和所有者权益(或股东权益)总计(万元),320687,301270,217489,183508,142742,115467,118064,		
