报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),24167,34285,27165,18175,14658,26444,22985,16821,81266,89739,77190,29658,19617,18088,14468,13173,11354,15514,13191,17725,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),74734,75041,,,,,72,72,216,150,113,113,,,144,,,688,123,108,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,
应收票据(万元),3524,,4312,2861,1753,2654,4147,7516,4572,7531,9593,4508,3768,4879,3498,1291,337,805,37,86,
应收账款(万元),54656,55274,61677,45570,51875,37558,38111,22509,25862,30395,28574,18879,26562,29421,16362,15376,26125,19125,17044,19432,
预付款项(万元),1620,1145,1255,1717,3014,1095,3684,2057,3943,1393,1831,914,1724,718,1091,1061,967,1092,868,882,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,241,140,58,5,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,5323,,3473,5966,7816,3865,2996,2607,3324,1230,3084,2745,3180,3151,2712,1368,1456,798,1561,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,
存货(万元),84084,74540,68265,90818,79797,71122,53799,65745,41541,34905,29278,37569,27368,26204,33977,40685,36269,45358,28385,30535,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,4,
其他流动资产(万元),2225,2478,87191,75097,89971,116211,138021,141598,87013,81571,72232,22532,7789,198,4787,2143,1382,1742,902,1786,
流动资产合计(万元),250238,252515,253644,237711,247033,262900,264683,259312,247262,249149,220098,117262,89574,82689,77477,76441,77802,85780,61349,72119,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,507,507,913,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,121608,,118949,,106079,,93134,,87716,,84742,80784,63232,61832,47933,45420,41043,37811,31080,
累计折旧(万元),,37909,,33880,,30037,,28263,,25886,,23087,22006,21290,18963,15290,14688,12906,10038,7802,
