报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),17338,15872,16843,18739,16472,16913,21052,23351,23632,29591,25933,26172,20719,23199,25381,3029,4224,8017,4878,2702,1446,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),242,2365,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),16083,20078,20344,18468,28214,27731,31228,25282,10287,3778,21373,26718,9907,5939,4547,7000,3471,3728,6146,3749,2060,
应收账款(万元),23680,25463,27398,32290,28933,27545,24475,32453,41830,36175,32505,26846,33948,27215,18479,17457,12915,7858,3111,2862,1560,
预付款项(万元),16646,9449,787,53,2440,2449,4031,2859,319,374,1007,107,375,169,357,174,117,56,27,112,18,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,1476,,2229,378,238,421,250,212,147,141,105,147,116,138,69,110,74,77,56,67,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
存货(万元),15418,15629,15556,16406,16820,14387,14427,14079,14087,13117,11524,14750,13190,9363,8897,7010,5157,4248,3906,3469,3239,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),928,476,156,970,481,528,535,393,101,55,555,29,609,179,506,60,,,,,,
流动资产合计(万元),91029,90808,83497,89154,93738,89790,96170,98668,90467,83238,93039,94728,78896,66179,58305,34799,25994,23981,18145,12951,8390,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,1050,1000,1000,1000,1000,1000,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),656,7407,7414,7418,7421,7420,7437,7498,7498,7498,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,8584,,8366,,5766,,5178,,4695,,4541,,886,,729,688,652,,,,
累计折旧(万元),,1955,,1520,,1237,,1015,,819,,644,,516,,468,446,374,,,,
