报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),4321,34828,2490,32879,26841,27576,25750,4663,2705,5683,1695,1980,
结算备付金(万元),,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,
应收票据(万元),15570,18448,,18495,,11175,3088,22407,2370,6452,1164,,
应收账款(万元),50296,45039,,28255,,25294,24974,13916,14158,13137,13074,8322,
预付款项(万元),117,37,693,630,556,530,98,20,1107,601,908,5117,
应收保费(万元),,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,
应收利息(万元),,,,,,,,,0,,,,
应收股利(万元),,,,,,,,,0,,,,
其他应收款(万元),,91,,38,48,36,48,116,317,70,353,4075,
应收出口退税(万元),,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,
存货(万元),35358,30125,29330,29620,28660,28832,26747,22366,29714,23003,15181,11970,
待摊费用(万元),,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,3,3,3,3,,,
其他流动资产(万元),49945,23003,30035,119,119,539,538,5525,15852,3488,4069,4735,
流动资产合计(万元),155688,151571,114036,110036,97094,93980,81246,69016,66225,52436,36445,36198,
发放贷款及垫款(万元),,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,0,,,,
持有至到期投资(万元),,,,,,,,,0,,,20000,
长期应收款(万元),,,,,,,,,0,,,,
长期股权投资(万元),,,,,,,,,0,,,,
其他长期投资(万元),,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,0,,,,
固定资产原值(万元),,74371,,73222,,69432,,68687,,,,,
累计折旧(万元),,15925,,14413,,11605,,9000,,,,,
固定资产净值(万元),,58446,,58809,,57827,,59687,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,
