报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),24641,18200,22454,19795,18009,42531,35765,33143,61701,15893,17088,13795,11021,9578,
结算备付金(万元),,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,
交易性金融资产(万元),26700,34100,27800,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,
应收票据(万元),30,11,,131,219,57,,,,,10,,30,,
应收账款(万元),27035,22856,21047,19791,17893,16462,15151,17629,18155,13841,15268,11548,10813,8860,
预付款项(万元),1697,1323,1943,1340,3826,1765,1468,1429,724,768,686,576,1199,971,
应收保费(万元),,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,
应收利息(万元),,,,,,,154,109,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,
其他应收款(万元),,1144,,877,1085,1008,1057,1104,1229,1188,1248,2036,12097,11351,
应收出口退税(万元),,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,
存货(万元),17973,16638,17083,16753,17204,15430,14912,14062,12777,12207,10914,9708,11567,8503,
待摊费用(万元),,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,53,7,7,,,,
其他流动资产(万元),,192,362,36129,36201,15418,21841,27620,107,125,,,,,
流动资产合计(万元),98710,94463,91554,94817,94437,92671,90348,95095,94747,44029,45222,37663,46727,39263,
发放贷款及垫款(万元),,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,
固定资产原值(万元),,32296,,32148,,30928,,30135,,29232,29198,28225,24735,,
累计折旧(万元),,13856,,13019,,12810,,12133,,11060,10680,9929,8713,,
固定资产净值(万元),,18440,,19129,,18118,,18002,,18171,18519,18296,16022,,
固定资产减值准备(万元),,,,,,,,,,,,,,,
固定资产(万元),,18440,,19129,19037,18118,18197,18002,17901,18171,18519,18296,16022,13776,
在建工程(万元),,139,,106,776,533,666,438,135,230,230,155,104,1785,
工程物资(万元),,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,
无形资产(万元),9342,9237,9276,9348,3804,3825,3851,3881,2921,2603,2625,2672,2730,1208,
开发支出(万元),,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,
长期待摊费用(万元),375,364,400,435,176,192,168,169,104,12,14,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,
递延所得税资产(万元),1336,1475,1458,1443,1265,1295,1186,1270,1119,983,1146,1298,1247,798,
其他非流动资产(万元),2308,2756,2499,2025,5383,6683,6024,3254,1699,1866,1850,1797,491,,
非流动资产合计(万元),31606,32411,32496,32487,30442,30646,30091,27014,23878,23866,24384,24218,20593,17566,
资产总计(万元),130317,126874,124049,127303,124879,123317,120440,122109,118625,67895,69606,61881,67320,56830,
短期借款(万元),3000,3000,3000,3000,3000,3000,3000,3000,3100,3100,3100,3100,16000,20200,
向中央银行借款(万元),,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,
应付票据(万元),2340,5170,,,,3104,3094,,2398,2368,1470,,,,
应付账款(万元),13527,12100,,16290,,15981,12869,16815,12075,10681,13460,12178,15678,14439,
预收账款(万元),6111,4482,3947,4858,4847,3603,4772,4606,5874,5339,5420,3863,6203,2078,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,
应付职工薪酬(万元),218,172,172,1128,109,139,139,751,78,124,665,51,52,34,
应交税费(万元),782,131,134,688,270,820,198,925,686,662,1320,2761,2499,1427,
应付利息(万元),4,4,4,4,,4,4,4,4,4,4,9,40,,
应付股利(万元),76,109,,,,29,,,,,,,967,,
其他应交款(万元),,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,
其他应付款(万元),,475,,453,522,367,440,677,1369,322,415,405,528,133,
预提费用(万元),,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,150,,,
其他流动负债(万元),,,,,,,,,,,,,,,
流动负债合计(万元),26414,25643,22939,26420,25852,27046,24516,26778,25583,22601,25853,22517,41966,38310,
长期借款(万元),,,,,,,,,,,,2850,,,
应付债券(万元),,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,
长期递延收益(万元),139,145,152,158,,171,178,184,150,350,355,375,390,405,
递延所得税负债(万元),203,203,174,174,,,,,,,,,,,
其他非流动负债(万元),,,,,165,,,,,,,,,,
非流动负债合计(万元),341,348,325,332,165,171,178,184,150,350,355,3225,390,405,
负债合计(万元),26756,25991,23265,26752,26017,27217,24694,26962,25733,22951,26208,25742,42356,38715,
实收资本(或股本)(万元),12000,12000,12000,12000,12000,12000,12000,12000,12000,9000,9000,9000,8255,7877,
资本公积(万元),62523,62523,62523,62523,62523,62523,62523,62523,62523,21362,21362,21362,4040,,
