报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),55169,62912,60219,92045,8808,17164,9080,6856,19162,18865,10913,
结算备付金(万元),,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,
交易性金融资产(万元),10000,,10000,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,
应收票据(万元),34,36,46,46,,,,,,,250,
应收账款(万元),164677,156115,136152,146538,,,,72598,,,38722,
预付款项(万元),616,159,620,692,834,156,440,382,329,582,1169,
应收保费(万元),,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,
应收利息(万元),158,400,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,
其他应收款(万元),,3238,,3039,,3492,4007,4446,3845,2853,1834,
应收出口退税(万元),,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,
存货(万元),31556,36297,35662,30249,39251,39265,23709,23197,9023,5872,10458,
待摊费用(万元),,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,
其他流动资产(万元),571,517,573,517,11597,626,504,710,535,95,4922,
流动资产合计(万元),266529,259674,246751,273125,194429,178510,158552,108187,110661,82903,68268,
发放贷款及垫款(万元),,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,
长期应收款(万元),4328,4395,4521,4608,5391,5844,6958,8439,9515,6806,1885,
长期股权投资(万元),6570,6527,6337,6333,5955,5813,5544,4864,4788,,,
其他长期投资(万元),,,,,,,,,,,,
投资性房地产(万元),4201,1440,,,,,,,,,,
固定资产原值(万元),,23750,,24645,,22327,21431,,,,,
累计折旧(万元),,6796,,6113,,5303,4523,,,,,
固定资产净值(万元),,16955,,18532,,17024,16907,,,,,
固定资产减值准备(万元),,,,,,,,,,,,
固定资产(万元),,16955,,18532,16596,17024,16907,16961,6105,4186,3412,
在建工程(万元),,117,,84,84,84,98,73,65,16,,
工程物资(万元),,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,
无形资产(万元),1792,1785,49,50,51,46,17,15,10,11,85,
开发支出(万元),,,,,,,,,,,,
商誉(万元),58,58,58,58,58,58,58,58,58,58,,
长期待摊费用(万元),589,485,512,538,568,588,482,519,88,105,139,
股权分置流通权(万元),,,,,,,,,,,,
递延所得税资产(万元),2569,2445,2128,2307,1998,1835,1901,1400,1231,909,548,
其他非流动资产(万元),122,631,82,79,2332,940,1579,1471,9960,3920,,
非流动资产合计(万元),34842,34838,32175,32589,33033,32231,33543,33800,31819,16012,6067,
资产总计(万元),301371,294512,278926,305714,227462,210741,192095,141987,142480,98915,74335,
短期借款(万元),18000,15000,10000,10000,27000,23000,4000,12000,8500,4000,5576,
向中央银行借款(万元),,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,
应付票据(万元),121,703,,185,,,,357,,,585,
应付账款(万元),107191,106838,,118183,,,,51308,,,26767,
预收账款(万元),8281,8408,12873,8581,13709,12590,6679,7779,3801,2845,4556,
卖出回购金融资产款(万元),,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,
应付职工薪酬(万元),2372,2643,2543,4850,3333,3506,5493,2722,5047,2892,2407,
应交税费(万元),9716,8901,8187,10181,5821,4803,8440,2721,3466,2240,1643,
应付利息(万元),,,,,,,,,,,,
应付股利(万元),,59,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,
其他应付款(万元),,1192,,2406,,904,1280,1857,1461,1107,835,
预提费用(万元),,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,
