报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),3516,5884,9500,10955,3197,4522,14921,5205,2485,4012,13052,3497,2021,2356,3966,4999,3081,4112,2662,1179,1928,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),3000,6000,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),1864,2326,4894,10639,6064,4500,5033,8343,5817,5617,6132,7176,4158,5076,6466,8974,10167,6794,7472,5618,2209,
应收账款(万元),14257,12303,9463,3902,9509,9219,8196,3865,8755,7624,7707,4893,8433,7208,4967,3730,3070,2737,2577,1681,2839,
预付款项(万元),408,445,375,341,301,205,147,111,189,505,127,141,187,110,130,202,168,461,455,192,457,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),34,59,77,98,,188,109,132,118,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,328,,304,667,292,214,303,324,322,281,487,506,467,377,336,119,110,105,409,287,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
存货(万元),8525,7333,6918,8071,6341,5894,5642,6108,4703,4314,4719,5208,5597,5324,6970,9324,8673,9246,8461,7335,6516,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),199,330,9338,9241,18422,18515,8095,18088,16027,16116,6842,88,116,100,207,193,211,221,446,,1185,
流动资产合计(万元),36060,37189,40804,43550,44501,43336,42356,42155,38418,38510,38859,21491,21018,20641,23083,27759,25490,23681,22179,16416,15422,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,20,20,20,20,20,20,20,20,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),3773,3773,3819,3765,,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,44244,,43258,,37045,,33628,,32810,,33391,33178,33154,33152,,,,,,,
累计折旧(万元),,16456,,15228,,14344,,13159,,12635,,12163,11572,11122,10096,,,,,,,
