报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),23947,18225,44326,26133,22625,18465,21889,16750,13655,12445,13874,11554,8781,6919,4343,5197,14342,16888,1110,2608,1819,2356,1028,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),5114,4821,5116,4014,3587,2643,3435,2934,1691,1625,1004,1503,469,514,693,468,978,929,1624,1222,1443,1808,1911,
应收账款(万元),9085,9857,10982,8477,8892,8857,8955,7538,7940,8934,5453,5357,5728,6224,4944,5150,4352,4471,5006,4366,4039,3256,2084,
预付款项(万元),909,880,676,977,1426,1012,819,655,872,959,1900,319,1564,772,902,370,990,883,1007,495,367,112,537,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,180,,576,394,364,303,518,297,801,221,208,58,33,35,23,49,72,307,307,343,326,108,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
存货(万元),4716,4920,5070,6466,5051,5700,5577,5095,4670,4235,4508,3135,2103,3171,2805,3194,3200,3321,3126,4396,3094,2522,2839,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),12293,14092,134,13136,13033,14032,17013,40,38,43,3000,6533,6285,6263,12455,10225,,,,153,,194,,
流动资产合计(万元),56721,52977,66831,59779,55009,51073,57991,33530,29163,29042,29960,28608,24988,23896,26178,24628,23911,26563,12180,13546,11106,10573,8507,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
