报告日期,2020-09-30,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),63367,30050,26506,19407,18072,21289,18357,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),1228,1227,,4034,,,,
衍生金融资产(万元),,,,,,,,
应收票据(万元),,100,100,,,,,
应收账款(万元),10941,14088,13393,10810,,,,
预付款项(万元),386,209,174,129,306,390,415,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),,,,,,,,
应收股利(万元),,,,,,,,
其他应收款(万元),,,,,,,,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),23509,23697,24020,23642,22794,18797,20367,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,
其他流动资产(万元),1405,1584,1552,1516,1576,907,5382,
流动资产合计(万元),101332,71479,66485,59914,55376,54602,58114,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),,,,,30,30,30,
持有至到期投资(万元),,,,,,,,
长期应收款(万元),,,,,,,,
长期股权投资(万元),,,,,,,,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),,,,,,,,
固定资产原值(万元),,,39760,,,,,
累计折旧(万元),,,16731,,,,,
固定资产净值(万元),,,23029,,,,,
固定资产减值准备(万元),,,,,,,,
固定资产(万元),,,23029,,,,,
在建工程(万元),,,,,,,,
工程物资(万元),,,,,,,,
固定资产清理(万元),,,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),4191,4215,4270,3253,3271,3326,3383,
开发支出(万元),,,,,,,,
商誉(万元),,,,,,,,
长期待摊费用(万元),,,,18,,,7,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),1006,652,966,739,570,761,1051,
其他非流动资产(万元),,,,,,,,
非流动资产合计(万元),49051,45138,43539,38264,36694,27036,20068,
资产总计(万元),150383,116617,110025,98178,92070,81638,78182,
短期借款(万元),,,,,,2100,4800,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),,,,,,,,
衍生金融负债(万元),,,,,,,,
应付票据(万元),473,820,576,1336,,,,
应付账款(万元),8894,6723,7319,7814,,,,
预收账款(万元),,,12,21,4,49,2,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),1426,1345,1846,1041,1565,1606,1239,
应交税费(万元),1299,2039,1742,1360,1802,2413,4454,
应付利息(万元),,,,,,,,
应付股利(万元),,,,,,,,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),,,68,,,,,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,
其他流动负债(万元),,,100,,,,,
流动负债合计(万元),12948,11302,11664,11636,12957,12907,18944,
长期借款(万元),,,,,,,,
应付债券(万元),,,,,,,,
长期应付款(万元),,,,,,,,
专项应付款(万元),,,,,,,,
预计非流动负债(万元),,,,,,,,
长期递延收益(万元),427,441,438,278,301,274,186,
递延所得税负债(万元),194,167,194,59,57,63,70,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),622,608,633,337,358,337,257,
负债合计(万元),13570,11910,12296,11973,13316,13244,19201,
实收资本(或股本)(万元),40100,36000,36000,36000,36000,36000,5280,
资本公积(万元),48987,24683,24683,24683,24683,24683,6813,
减:库存股(万元),,,,,,,,
专项储备(万元),2349,2286,2040,1944,1684,1352,1033,
盈余公积(万元),2942,2942,2942,1695,1695,418,7155,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),42568,38854,32147,21985,14781,5976,36210,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),136813,104707,97728,86205,78754,68395,55208,
少数股东权益(万元),,,,,,,3773,
所有者权益(或股东权益)合计(万元),136813,104707,97728,86205,78754,68395,58981,
负债和所有者权益(或股东权益)总计(万元),150383,116617,110025,98178,92070,81638,78182,		
