报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),30627,57722,10154,11935,10897,12951,4708,5752,5378,
结算备付金(万元),,,,,,,,,,
拆出资金(万元),,,,,,,,,,
交易性金融资产(万元),,,31,,45,,2,,,
衍生金融资产(万元),,,,,,,,,,
应收票据(万元),,,1694,366,835,900,640,1168,1460,
应收账款(万元),26109,33231,39205,39245,30101,17731,18554,13074,12891,
预付款项(万元),609,610,910,478,527,607,188,71,66,
应收保费(万元),,,,,,,,,,
应收分保账款(万元),,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,
应收利息(万元),,,,,,,,,,
应收股利(万元),,,,,,,,,,
其他应收款(万元),,620,,,,290,,238,235,
应收出口退税(万元),,,,,,,,,,
应收补贴款(万元),,,,,,,,,,
应收保证金(万元),,,,,,,,,,
内部应收款(万元),,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,
存货(万元),27066,27282,27276,26276,14337,13273,10584,10376,9171,
待摊费用(万元),,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,
一年内到期的非流动资产(万元),,236,,,,,,,,
其他流动资产(万元),10642,8964,3412,4192,1805,9329,2835,1104,133,
流动资产合计(万元),95643,128664,83030,83028,58852,55080,37710,31782,29333,
发放贷款及垫款(万元),,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,
长期应收款(万元),,,,,,,,,,
长期股权投资(万元),,,,,,,,,,
其他长期投资(万元),,,,,,,,,,
投资性房地产(万元),,,,,,,,,,
固定资产原值(万元),,116754,,106141,67274,,43078,,,
累计折旧(万元),,25373,,20528,13572,,9230,,,
固定资产净值(万元),,91381,,85613,53702,,33848,,,
固定资产减值准备(万元),,,,,,,,,,
固定资产(万元),,91381,86434,85613,53702,37969,33848,20883,16373,
在建工程(万元),,2914,,,,2144,,258,208,
工程物资(万元),,,,,,,,,,
固定资产清理(万元),,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,
油气资产(万元),,,,,,,,,,
无形资产(万元),7637,7707,7672,7657,7761,7767,7841,252,104,
开发支出(万元),,,,,,,,,,
商誉(万元),,,,,,,,,,
长期待摊费用(万元),1541,1343,1536,1431,,,,,,
股权分置流通权(万元),,,,,,,,,,
递延所得税资产(万元),,,480,480,311,261,255,124,194,
其他非流动资产(万元),2230,2215,4199,3916,9574,4474,1064,1292,3388,
非流动资产合计(万元),104519,105560,107579,106403,77542,52616,45406,22809,20267,
资产总计(万元),200163,234224,190609,189432,136394,107696,83116,54591,49601,
短期借款(万元),11500,33760,37016,30766,15355,12552,15195,14785,13936,
向中央银行借款(万元),,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,
拆入资金(万元),,,,,,,,,,
交易性金融负债(万元),,,,123,,28,,50,,
衍生金融负债(万元),109,33,,,,,,,,
应付票据(万元),2112,,,,,220,193,,,
应付账款(万元),16323,18535,,20409,15318,10454,9674,7528,7134,
预收账款(万元),37,91,162,49,482,563,147,7,7,
卖出回购金融资产款(万元),,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,
应付职工薪酬(万元),1989,2039,1891,2792,3146,1875,1968,1554,1688,
应交税费(万元),972,90,79,101,111,136,268,130,48,
应付利息(万元),30,109,120,,,17,,21,26,
应付股利(万元),,,,,,,,,,
其他应交款(万元),,,,,,,,,,
应付保证金(万元),,,,,,,,,,
内部应付款(万元),,,,,,,,,,
其他应付款(万元),,3130,,,,933,,397,460,
预提费用(万元),,,,,,,,,,
预计流动负债(万元),,,,,,,,,,
应付分保账款(万元),,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,
国际票证结算(万元),,,,,,,,,,
国内票证结算(万元),,,,,,,,,,
递延收益(万元),,,,,,,,,,
应付短期债券(万元),,,,,,,,,,
一年内到期的非流动负债(万元),,6800,5100,5100,,,,,,
其他流动负债(万元),1039,1006,1271,1704,1301,1126,905,706,747,
流动负债合计(万元),36547,65595,64357,65086,38458,27904,29645,25178,24047,
长期借款(万元),21456,27499,31699,31699,14453,,,,,
应付债券(万元),,,,,,,,,,
长期应付款(万元),,,,,,,,,,
专项应付款(万元),,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,
长期递延收益(万元),,,,,,,,,,
递延所得税负债(万元),205,341,,,,,,,,
其他非流动负债(万元),,,,,,,,,,
非流动负债合计(万元),21661,27840,31699,31699,14453,0,0,0,0,
负债合计(万元),58208,93435,96056,96785,52911,27904,29645,25178,24047,
实收资本(或股本)(万元),20000,20000,15000,15000,15000,15000,12000,18575,18575,
资本公积(万元),97855,97855,57611,57611,57611,57611,38111,,,
减:库存股(万元),,,,,,,,,,
专项储备(万元),,,,,,,,,,
盈余公积(万元),2359,2359,2066,2066,1150,781,399,1147,749,
一般风险准备(万元),,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,
未分配利润(万元),21756,20605,19876,17969,9722,6400,2961,9691,6230,
拟分配现金股利(万元),,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,
归属于母公司股东权益合计(万元),141955,140789,94553,92647,83484,79792,53471,29413,25554,
少数股东权益(万元),,,,,,,,,,
所有者权益(或股东权益)合计(万元),141955,140789,94553,92647,83484,79792,53471,29413,25554,
负债和所有者权益(或股东权益)总计(万元),200163,234224,190609,189432,136394,107696,83116,54591,49601,		
