报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),21206,46330,41393,26015,11371,7374,87860,94736,3061,6887,13200,12600,10865,17172,11458,
结算备付金(万元),,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,
交易性金融资产(万元),57080,27145,38460,,,,,,,,318,33,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,
应收票据(万元),1894,2500,5856,10428,1579,3173,2476,2181,3816,947,2323,2484,2767,826,239,
应收账款(万元),86070,40366,36547,35388,37152,39105,23517,22612,30040,24248,26583,25074,23108,15472,13641,
预付款项(万元),4711,2474,2690,731,916,324,875,455,463,707,832,338,154,78,243,
应收保费(万元),,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,
应收利息(万元),57,47,57,128,,938,349,,,,,,,263,,
应收股利(万元),,,,,,,,,,,,,2053,1933,1927,
其他应收款(万元),,3831,,1031,905,603,1843,1859,772,956,1089,648,180,253,335,
应收出口退税(万元),,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,
存货(万元),21794,7863,6360,4412,6823,4201,5088,3270,3749,4457,3062,1629,1607,1512,1315,
待摊费用(万元),,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,
其他流动资产(万元),257,1772,1933,46969,63768,60403,186,246,6145,11253,1008,808,357,8618,354,
流动资产合计(万元),200766,132328,134282,125103,122515,116120,122194,125359,48046,49455,48414,43614,41091,46128,29513,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,2000,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,
长期股权投资(万元),0,0,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,
固定资产原值(万元),,121618,,111509,,100178,,85688,84276,82624,71777,,66775,60836,,
累计折旧(万元),,44268,,41189,,38268,,35958,35674,35664,33427,,36691,31306,,
固定资产净值(万元),,77350,,70320,,61910,,49730,48602,46960,38350,,30084,29530,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,
固定资产(万元),,77350,,70320,63620,61910,51347,49730,48602,46960,38350,33296,30084,29530,28186,
在建工程(万元),,6511,,4416,4263,3296,4457,2792,360,12,4880,3437,64,38,8,
工程物资(万元),,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,
无形资产(万元),8377,8429,8282,8226,8215,8226,5224,5254,5275,5305,3230,3268,3319,805,852,
开发支出(万元),,,,,,,,,,,,,,,,
商誉(万元),1772,1759,1725,,,,,,,,,,,,,
长期待摊费用(万元),4052,3466,2589,2272,2116,2199,2342,2217,2321,2184,291,370,608,218,150,
股权分置流通权(万元),,,,,,,,,,,,,,,,
递延所得税资产(万元),1337,1408,1423,1071,786,808,513,372,429,353,217,284,164,93,108,
其他非流动资产(万元),1260,1819,1405,1446,1147,2201,1575,627,1183,424,414,1490,88,736,655,
非流动资产合计(万元),110533,100741,94773,87751,82147,78642,65459,60993,58170,55239,47382,42145,34327,31421,29958,
资产总计(万元),311298,233069,229055,212855,204662,194763,187652,186351,106216,104694,95797,85759,75417,77549,59471,
短期借款(万元),,,584,449,,,,,,,,1000,,14667,1829,
向中央银行借款(万元),,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,236,76,,,,16,,
衍生金融负债(万元),,,,,,,,,,,,,,,,
应付票据(万元),,977,,1248,,170,,,,,,,,,,
应付账款(万元),73812,18760,,11431,,14099,10113,9495,10597,12675,12405,12142,8190,4990,5326,
预收账款(万元),549,1066,1200,663,1717,1123,1059,791,669,2158,1354,690,344,114,,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,
应付职工薪酬(万元),12695,8118,8380,7270,7540,7042,4775,5942,6013,5040,5728,3727,4316,3450,3181,
应交税费(万元),2156,1869,2157,2198,3982,2645,2358,2382,4260,3807,2640,2582,4196,2494,2325,
应付利息(万元),,,8,1,,,,,,,,64,,163,,
应付股利(万元),,,,,,,,,,,404,,8701,,,
其他应交款(万元),,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,
其他应付款(万元),,2835,,1678,1737,671,1227,1167,4000,7507,9534,10244,8042,5421,5273,
预提费用(万元),,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,614,,,392,70,392,392,756,542,572,,665,1177,506,
其他流动负债(万元),8,77,145,151,95,81,57,62,20,24,10,7,17,,,
流动负债合计(万元),96502,34316,29924,25089,27339,25902,19981,20230,26549,31829,32647,30455,34470,32493,18440,
长期借款(万元),6648,1304,2289,2762,2806,3464,3494,4305,3725,2625,1667,3121,4010,3059,3352,
应付债券(万元),,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,
长期递延收益(万元),2717,3208,3167,3229,2387,2501,1094,645,697,748,,,,,,
递延所得税负债(万元),107,114,112,27,20,20,20,20,,,48,8,,,,
其他非流动负债(万元),,,85,,,,,,,,,,6,,,
非流动负债合计(万元),9556,4709,5653,6019,5213,5985,4608,4969,4422,3373,1715,3129,4016,3059,3352,
负债合计(万元),106058,39026,35576,31108,32551,31888,24589,25200,30970,35202,34362,33584,38486,35552,21793,
实收资本(或股本)(万元),46108,46108,35468,35468,35468,35468,35468,35468,26600,26600,26600,26600,23782,21978,21978,
资本公积(万元),86339,86339,96979,96979,96979,96979,96979,96979,23200,23200,23200,18918,1174,4808,4808,
减:库存股(万元),,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,
盈余公积(万元),6538,6538,6538,6538,3861,3861,3861,3861,2332,2332,2332,1230,6999,6054,5451,
一般风险准备(万元),,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,
未分配利润(万元),62059,50728,50267,42058,35131,26141,26654,24497,22750,16870,8670,4914,4851,9922,6090,
拟分配现金股利(万元),,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,74,175,324,168,159,-806,-724,
归属于母公司股东权益合计(万元),201597,190158,189575,181341,171741,162502,162717,160795,74956,69177,61126,51829,36965,41956,37604,
少数股东权益(万元),3643,3886,3903,406,370,373,346,357,290,315,309,346,-33,41,74,
所有者权益(或股东权益)合计(万元),205240,194044,193479,181747,172111,162875,163063,161152,75246,69492,61434,52175,36932,41996,37678,
负债和所有者权益(或股东权益)总计(万元),311298,233069,229055,212855,204662,194763,187652,186351,106216,104694,95797,85759,75417,77549,59471,		
