报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),12951,13187,15466,8751,13612,27833,27195,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),,,,,,,,
衍生金融资产(万元),,,,,,,,
应收票据(万元),3320,3342,4096,3204,2846,2153,1355,
应收账款(万元),18510,17143,14742,14728,13331,12179,12145,
预付款项(万元),1260,1086,880,1280,755,886,1041,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),,,,,,,,
应收股利(万元),,,,,,,,
其他应收款(万元),,,,1079,1358,921,973,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),15929,16074,15303,15633,14833,12718,10633,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,
其他流动资产(万元),1437,1551,983,244,100,8,59,
流动资产合计(万元),54173,53235,52343,44920,46834,56697,53401,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),2,2,2,,,,,
持有至到期投资(万元),,,,,,,,
长期应收款(万元),,,,,,,,
长期股权投资(万元),,,,,,,,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),,,,,,,,
固定资产原值(万元),,19219,15583,,,,,
累计折旧(万元),,8059,7540,,,,,
固定资产净值(万元),,11161,8044,,,,,
固定资产减值准备(万元),,,,,,,,
固定资产(万元),,11161,8044,8221,8433,7028,5599,
在建工程(万元),,,,3,422,914,278,
工程物资(万元),,,,,,,,
固定资产清理(万元),,,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),1131,1146,1177,1212,421,94,1,
开发支出(万元),,,,,,,,
商誉(万元),,,,,,,,
长期待摊费用(万元),194,184,20,34,50,102,37,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),830,822,670,619,612,575,499,
其他非流动资产(万元),4101,2483,2444,4069,1508,1769,2605,
非流动资产合计(万元),17650,16115,15274,14159,11446,10482,9019,
资产总计(万元),71823,69350,67618,59079,58281,67180,62421,
短期借款(万元),,,,,,,,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),,,,,,,,
衍生金融负债(万元),,,,,,,,
应付票据(万元),,,,,,,,
应付账款(万元),5117,5150,5980,4748,5664,5285,4946,
预收账款(万元),10247,10740,9396,8918,8423,8147,6958,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),1087,898,3004,1199,2156,1781,1528,
应交税费(万元),627,400,411,519,748,1535,1969,
应付利息(万元),,,,,,,,
应付股利(万元),,,,410,,682,593,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),,,,1444,891,1316,1144,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,
其他流动负债(万元),,,,,,,,
流动负债合计(万元),19018,18726,19854,17238,17883,18746,17136,
长期借款(万元),,,,,,,,
应付债券(万元),,,,,,,,
长期应付款(万元),,,,,,,,
专项应付款(万元),,,,,,,,
预计非流动负债(万元),,,,,,,,
长期递延收益(万元),7198,7317,7528,6390,6235,3518,4129,
递延所得税负债(万元),315,241,116,,,,,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),7513,7559,7644,6390,6235,3518,4129,
负债合计(万元),26531,26285,27497,23628,24118,22264,21265,
实收资本(或股本)(万元),18615,18615,18615,18615,18615,6791,6791,
资本公积(万元),9726,9726,9726,9726,9726,7695,7695,
减:库存股(万元),,,,,,,,
专项储备(万元),,,,,,,,
盈余公积(万元),1057,1057,1057,362,362,2904,2606,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),15914,13687,10736,6768,5477,27545,24084,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),45287,43059,40110,35445,34155,44908,41147,
少数股东权益(万元),6,6,10,6,8,8,9,
所有者权益(或股东权益)合计(万元),45292,43065,40120,35451,34163,44915,41156,
负债和所有者权益(或股东权益)总计(万元),71823,69350,67618,59079,58281,67180,62421,		
