报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),3396621,3983925,3358178,3091605,,3755007,,2576979,1982509,2932949,
结算备付金(万元),922304,700620,904071,676332,,584551,,533035,747132,807431,
拆出资金(万元),,,,,,,,,,,
交易性金融资产(万元),4045849,3401624,3191307,3334284,,3212797,,2804881,1334294,1887432,
衍生金融资产(万元),20460,9089,3160,9928,,16854,,4013,9839,13471,
应收票据(万元),,,,,,,,,,,
应收账款(万元),40167,74808,79915,68285,,36920,,41694,6389,4321,
预付款项(万元),,,,,,,,,,,
应收保费(万元),,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,
应收利息(万元),,,,,,,,187478,186192,144136,
应收股利(万元),,,,,,,,,,,
其他应收款(万元),,,,,,,,,,,
应收出口退税(万元),,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,
应收保证金(万元),807758,739148,659465,590432,,483224,,308836,41733,30295,
内部应收款(万元),,,,,,,,,,,
买入返售金融资产(万元),1019542,1088250,1610547,1257266,,1651951,,1943300,2130308,230952,
存货(万元),,,,,,,,,,,
待摊费用(万元),,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,
其他流动资产(万元),,,,,,,,,,,
流动资产合计(万元),,,,,,,,,,,
发放贷款及垫款(万元),,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,2298731,1602231,1580361,
持有至到期投资(万元),399532,427931,444068,423880,,376418,,342082,,,
长期应收款(万元),,,,,,,,,,,
长期股权投资(万元),79744,74852,74329,68441,,66286,,66558,533701,511771,
其他长期投资(万元),,,,,,,,,,,
投资性房地产(万元),46342,46744,48011,47856,,48740,,49624,2452,4801,
固定资产原值(万元),,200712,,,,,,,,,
累计折旧(万元),,110065,,,,,,,,,
固定资产净值(万元),,90648,,,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,
固定资产(万元),88997,90648,91471,92259,,94166,,97726,31001,26722,
在建工程(万元),606,601,601,601,,601,,601,,,
工程物资(万元),,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,
