报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2015-03-31,2014-12-31,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2012-12-31,2012-06-30,
货币资金(万元),6140188,6736370,5857272,4312648,4479790,5146681,4831504,5096876,5082561,5627351,6472037,5743946,6876801,7805312,11520525,6516407,4587360,2400956,,2039256,1978143,2446908,2459135,
结算备付金(万元),1044077,862254,1184878,762767,806060,725537,1373446,,846554,937759,788788,1096028,744660,896199,1881583,970605,826494,386968,,392951,428819,317155,259890,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,227502,
交易性金融资产(万元),8042747,7261698,6934822,5732607,5431439,5220287,5023882,3264910,3476665,3050349,2755312,3318946,3066593,2998504,2323798,2097092,1434666,890604,591000,820908,674925,496558,832282,
衍生金融资产(万元),99813,94398,69752,123958,120237,112001,14176,12038,17467,2564,4911,10085,10862,14205,16058,6788,15058,6200,5500,11369,660,1,,
应收票据(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收账款(万元),235745,260313,177568,144004,191707,207073,170026,136986,124767,115271,37847,27936,29532,15390,19097,12266,5639,7887,,3703,,,,
预付款项(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,202460,226810,234952,,219990,207535,156562,160684,154747,123920,88116,101424,74948,71251,,75798,56437,33532,22320,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),246849,239831,234228,188055,210747,215623,223030,222878,232374,218362,346034,223491,222528,214452,207926,170003,132802,131685,,115121,24898,93322,87460,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),2250112,2877896,1900893,2379724,1977050,2618402,2302590,2606508,2049927,1558433,770511,593515,796520,689645,416385,329193,221659,236776,,328025,251910,428003,427291,
存货(万元),,,,,,,,,,,,,,,,,,,,,,,,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计(万元),,,,,,,,,,,,,,,,,,,,,,,,
