报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),3335234,3255649,3222495,2773119,2300987,1780000,967614,1408094,181763,245653,129294,5958,
结算备付金(万元),,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,
交易性金融资产(万元),28781,5898,3790,,,,,,,,,,
衍生金融资产(万元),148758,73651,65296,51266,41650,2280,1623,1374,,,,,
应收票据(万元),871049,944411,916278,974289,410502,257124,752775,545834,287531,57052,42218,,
应收账款(万元),970060,819389,793306,622486,984974,852872,671569,691852,600515,731584,239393,37159,
预付款项(万元),236192,102982,115332,86464,45395,67800,84730,30584,15620,10118,7047,1533,
应收保费(万元),,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,
应收利息(万元),13954,17785,18245,9281,,6427,4738,5231,8955,756,,,
应收股利(万元),,245,,,,,,,,,,,
其他应收款(万元),,82453,,58928,68364,47415,14938,9063,12967,18381,5548,3000,
应收出口退税(万元),,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,
存货(万元),1000533,962369,768654,707610,528647,491994,411304,341776,395504,135977,104161,31208,
待摊费用(万元),,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,
其他流动资产(万元),116726,123355,87007,107699,136839,263203,155859,269503,1166083,976070,22786,110409,
流动资产合计(万元),6868900,6388188,6052070,5391142,4517359,3769116,3065151,3303310,2668938,2176132,550447,189266,
发放贷款及垫款(万元),,,,,,,,,,,,,
可供出售金融资产(万元),,,,151652,174933,172916,196272,196129,154750,14340,500,500,
持有至到期投资(万元),,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,
长期股权投资(万元),117663,94742,104771,96520,98465,91375,78003,79103,31073,16966,,22722,
其他长期投资(万元),,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,
固定资产原值(万元),,2077191,,1566086,,1284314,,1036137,,462848,,,
累计折旧(万元),,588795,,408620,,302363,,214187,,90101,,,
固定资产净值(万元),,1488396,,1157467,,981951,,821950,,372747,,,
固定资产减值准备(万元),,,,,,,,,,,,,
固定资产(万元),,1488396,,1157467,1031310,981951,844667,821950,563548,372747,131310,24284,
在建工程(万元),,350653,,162384,261212,264507,312259,297436,423784,122613,47489,17406,
工程物资(万元),,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,1,,
生产性生物资产(万元),,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,
无形资产(万元),151858,155529,133198,134617,136264,138479,139028,140876,116245,62165,50276,23761,
开发支出(万元),,,,,,,,,,,,,
商誉(万元),10042,10042,10042,10042,10042,10042,10042,10042,10042,10042,10042,,
长期待摊费用(万元),34185,31666,32018,30583,17688,15846,16394,13931,4893,1421,613,30,
股权分置流通权(万元),,,,,,,,,,,,,
递延所得税资产(万元),205504,173657,148150,124074,90221,70827,58008,51005,33245,26491,13524,2510,
其他非流动资产(万元),111843,142591,100832,129890,41568,29340,62500,52507,81844,55914,63094,7032,
非流动资产合计(万元),2762236,2600675,2358057,1997228,1861703,1775283,1717173,1662978,1419423,682699,316849,98245,
资产总计(万元),9631136,8988863,8410127,7388370,6379061,5544399,4782324,4966289,4088362,2858831,867296,287511,
短期借款(万元),134056,129404,140397,118009,124898,140196,116367,224510,125798,122659,57656,19713,
向中央银行借款(万元),,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,
交易性金融负债(万元),31425,31425,31425,31425,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,
应付票据(万元),1724491,1705958,,1184113,,667584,736294,881272,542778,439404,104120,10442,
应付账款(万元),1088918,1009881,,705708,,574062,430862,497826,619010,317340,147240,38471,
预收账款(万元),721229,753491,540489,499440,170458,34906,51807,20317,19264,8773,17005,872,
卖出回购金融资产款(万元),,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,
应付职工薪酬(万元),151982,131723,133629,112225,59654,52445,50959,51731,40295,44625,19849,2120,
应交税费(万元),121338,80307,112230,72254,70559,27146,30661,43620,39675,24830,25262,3059,
应付利息(万元),3000,2243,2096,1984,,1626,1627,1521,867,578,364,9,
应付股利(万元),242,31169,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,
其他应付款(万元),,266465,,290434,164642,28301,29657,31716,36101,36024,31176,6205,
预提费用(万元),,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,
一年内到期的非流动负债(万元),91787,83031,99025,92902,82666,78519,44936,36494,12978,24051,132257,12738,
其他流动负债(万元),,,,,,,,,,,,,
流动负债合计(万元),4386421,4225097,3859716,3108494,2182545,1604785,1493171,1789005,1436764,1018282,534929,93628,
长期借款(万元),463026,363873,339433,349077,324533,319463,275526,212910,71995,30200,,,
应付债券(万元),,,,,,,,,,,,,
长期应付款(万元),,92523,,94341,96748,89940,89409,89505,91385,95008,91767,134491,
专项应付款(万元),,,,,,,,,,,,,
预计非流动负债(万元),557961,431362,350754,251238,282154,201816,178756,178901,126842,93058,58112,4366,
长期递延收益(万元),65352,63580,62687,61104,36070,42518,40429,41946,37753,40358,29634,21485,
递延所得税负债(万元),17709,5839,4173,4098,4205,3455,6912,6899,8207,2813,3022,,
