报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),14219,17946,21357,25230,18971,13980,14743,12120,11831,14724,14268,12613,6958,2885,5501,7789,17311,
结算备付金(万元),,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,0,0,0,0,0,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,,,0,0,0,100,115,
应收账款(万元),4609,5800,7100,6238,10068,7667,7338,13976,10796,9323,7274,4701,5255,5581,2138,1266,1808,
预付款项(万元),4563,5679,5430,3258,5015,4698,5834,1422,1665,4187,5444,1808,4356,6534,4405,5136,1658,
应收保费(万元),,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,0,0,0,0,0,
应收股利(万元),,,,,,,,,,,,,0,0,0,0,0,
其他应收款(万元),,773,,530,768,971,1020,817,890,817,876,662,469,505,444,366,859,
应收出口退税(万元),,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,
存货(万元),21443,30174,23560,20488,11431,16826,10066,8856,10230,11610,5300,7183,8215,5277,13269,15118,6678,
待摊费用(万元),,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,0,0,0,0,0,
其他流动资产(万元),3820,3520,3021,3519,4799,4792,3426,3468,1548,1270,1392,1134,620,0,0,0,0,
流动资产合计(万元),49434,63893,61034,59265,51053,48933,42426,40658,36959,41932,34555,28101,25872,20783,25757,29775,28429,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,
