报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),15523,20783,16422,30170,5932,34126,25920,13052,7933,15647,20309,22401,37763,1320,1270,825,4680,4634,3940,5831,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,
应收票据(万元),,,10,154,615,60,50,60,10,,,315,465,71,136,280,100,10,,30,
应收账款(万元),41814,42254,41842,42131,36775,35930,30749,29938,15382,15225,14557,17794,16583,16206,15403,15453,16555,12354,8128,11614,
预付款项(万元),1250,1090,2974,632,2531,1261,1262,561,323,883,662,192,272,402,370,324,391,875,394,1034,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,354,614,303,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,8775,,17087,,9613,11323,4576,14360,14244,14220,919,1827,1416,1761,3876,2492,2610,2946,4629,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,
存货(万元),81033,75305,75971,70613,90375,77142,64815,60071,63977,54143,52442,46396,46825,42471,33637,28795,35528,38487,31468,25516,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,
