报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2008-12-31,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
长期股权投资(万元),8666,8666,8584,8469,8469,8431,8431,8178,8178,8192,756,588,588,602,602,600,600,638,638,698,698,657,657,696,696,704,704,682,4606,4440,4440,662,662,677,677,39,39,77,77,76,80,77,77,72,74,5019,5019,130,134,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
投资性房地产(万元),15331,15716,15834,1835,1869,1902,1936,2153,,2227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
固定资产原值(万元),,837841,,,,,,,,,,,,,,,,,,,,,1029723,,994016,,1000096,,829341,,828584,,799285,,799314,,607954,,596398,,562548,,559272,496777,468830,0,,0,0,
累计折旧(万元),,406155,,,,,,,,,,,,,,,,,,,,,310147,,286396,,301867,,280921,,261171,,246073,,226770,,209372,,197426,,199299,,191364,197724,190857,0,,0,0,
固定资产净值(万元),,431685,,,,,,,,,,,,,,,,,,,,,719577,,707620,,698229,,548420,,567413,,553212,,572544,,398582,,398971,,363248,,367908,299053,277973,0,,0,0,
固定资产减值准备(万元),,89715,,,,,,,,,,,,,,,,,,,,,126210,,2213,,2283,,2335,,2342,,2371,,2544,,2581,,2648,,3217,,3388,4806,5195,0,,0,0,
固定资产(万元),,341970,317434,,328002,,330923,331330,337593,340649,320890,318031,327129,331885,340382,406018,412672,554907,577578,568648,576185,584785,593366,699559,705407,701577,695946,544837,546086,556929,565070,541058,550841,559724,570000,399717,396001,390495,396323,358457,360031,355516,364520,294247,272779,215556,212696,159471,105064,
在建工程(万元),,37726,67059,,69479,,68587,66983,62743,53298,42085,52941,41741,40226,37625,43562,43133,143501,122057,135738,131654,133054,128079,184119,177120,185481,178234,311350,308865,296237,287230,313786,303373,273803,254766,361710,345981,318589,278435,276951,245655,219689,186506,156226,102011,93644,77957,56225,41587,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
固定资产清理(万元),,,,,,,,,3,,,,,91,,198,,9,,523,523,,,,,,,405,,,,,,,,,,,,,0,,0,0,0,-21,,0,0,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
无形资产(万元),330411,346381,348407,351421,345551,339434,348681,352145,341724,330740,30994,30983,31313,31092,31827,36002,36828,59992,60943,60733,61662,62591,63521,64084,64881,65783,66686,63249,64129,65008,65888,53212,50047,50759,51471,52179,52892,53605,54256,54991,55702,45209,45867,47512,49232,52159,52978,32966,33714,
开发支出(万元),96,,,58,0,86,,55,29,,,73,,,,,,27,,,,132,,105,105,95,,,,3,,,,,,,,,,,0,,0,0,0,0,,0,0,
商誉(万元),,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
长期待摊费用(万元),3855,3952,3660,3577,3540,3675,3598,1433,1175,1212,743,858,76,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
递延所得税资产(万元),10365,11017,11401,11400,11130,10678,10427,9959,9633,9648,23,46,42,41,41,71,71,93,93,126,126,159,159,1106,1106,1077,1077,5350,5350,5338,5338,9616,9616,8931,8931,4453,4453,4365,4365,3295,3408,4168,3986,3197,1678,2386,2386,2355,5963,
其他非流动资产(万元),9929,9929,10455,10455,10455,10455,10455,10455,10455,10475,10696,10696,10689,10689,10689,10689,10689,10742,10683,10683,10680,19229,19172,45231,45231,44205,44467,50257,21982,23482,23482,,,,,,,,,,0,,0,0,0,0,,0,0,
非流动资产合计(万元),829091,849634,857628,828872,824100,818207,827761,827383,813683,799002,406221,414251,411613,415592,422070,497959,504657,770818,772848,777918,782802,801096,805442,995326,994891,999405,987546,976548,951519,951799,951747,918594,914834,894146,886072,818353,799740,767549,733843,694182,665168,625140,601454,501560,425938,369300,351876,251147,186462,
资产总计(万元),2740476,2756268,2779416,2792834,2713432,2774446,2843149,2580927,2488928,2352099,1360641,1424775,1397736,1327188,1323238,1358945,1359356,1357974,1382131,1457300,1480223,1530906,1524568,1954005,1937034,1987756,1990553,2125319,2197096,2296332,2160518,2307694,2279897,2316356,2282879,2193806,2122367,2036818,2083567,1986475,1976596,1950345,1776772,1610667,1526458,1085824,1008516,740704,601707,
短期借款(万元),539,,44180,1322,2605,450,44428,684367,679172,647924,635629,628684,629045,630027,629092,679462,679088,646293,627752,955970,901010,876552,803906,709570,655928,588178,578641,542418,555430,548121,440706,426914,412364,351850,254650,223850,199420,118500,160900,192300,240300,237713,286513,282713,230920,184400,160000,139053,81434,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,37,37,13,51,51,55,,,,,35,35,161,193,119983,70234,69993,69993,,,,,,0,,0,0,0,0,,0,0,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
应付票据(万元),101335,90517,90807,110521,110498,,88030,,104631,75771,19925,16258,10225,3441,5642,1376,1182,2135,1651,45788,50806,61495,71011,81814,91365,84473,76439,85075,113107,108967,90186,107493,117961,120986,137498,123354,111174,151798,178002,150503,151355,171765,158537,131718,148254,121264,96790,64779,47651,
应付账款(万元),361549,372907,347015,296069,336271,,413129,,350571,295241,224821,261457,256079,237541,246960,253420,249204,284854,273652,267811,302242,296276,325343,340625,307141,298403,302777,280830,268144,262946,287484,282758,291882,283055,303385,277563,250726,240524,240943,236915,250434,244215,256735,255879,273996,133376,122309,67719,49138,
预收账款(万元),,,413260,540276,425636,540758,438628,561685,461883,472532,136051,151943,144715,123238,92456,103127,94407,103743,114886,102952,107223,135935,133818,146525,140663,145218,127989,107076,103247,137201,122076,128488,115773,163311,127109,176135,193998,210961,215544,248276,247293,247242,226693,177972,238198,260579,227765,170972,185585,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
应付职工薪酬(万元),17007,24126,29465,50384,53040,51483,61447,53701,58178,58105,52555,48462,50402,46799,60901,51039,54554,45568,56155,27826,53999,55090,71314,20775,11533,14854,35086,8570,7842,6461,6563,12731,7645,6029,5763,8113,7989,6448,6567,8826,9080,8124,5297,9234,7696,7805,7104,10579,11149,
应交税费(万元),32410,34327,37978,28994,34311,35668,34321,23457,24145,24726,1076,408,-79,421,1209,669,2238,451,348,844,1840,-107,76,-10880,-12381,-15652,-11655,-5167,-29144,-29245,-31968,-29064,-25215,-20854,-2007,132,-5627,-1643,8234,-3983,-3312,-780,16186,7720,-4319,-10725,-378,146,8064,
应付利息(万元),,,,,,,1442,69771,65230,60770,56341,52058,47506,42985,38576,34197,29103,26508,21170,89888,67211,46659,26563,10314,2000,1473,946,5040,5645,2063,2063,5040,3780,1260,2200,5040,3780,2520,1260,5040,3780,2520,1260,3780,1260,0,,0,0,
应付股利(万元),1062,1342,1140,1140,1140,,1062,1062,1062,1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
其他应付款(万元),,54735,52774,,51731,,56769,,60010,58547,49009,76258,68399,67460,70164,65909,75189,32738,54283,38076,34574,35366,37754,15121,22969,25761,19428,16048,16019,10419,12221,42625,37665,37202,39078,46168,42540,40211,30574,14410,16291,13335,13787,20555,7390,6767,7439,21033,3324,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
一年内到期的非流动负债(万元),21923,22922,22627,22965,22298,21777,24197,3864,5792,28094,7712,7712,7712,9427,11129,13677,14698,14302,15751,110889,125171,113674,217436,225019,197394,191580,229466,187857,147729,100267,95881,94850,132850,148100,157900,185000,101211,73164,80328,52180,54956,38683,58783,28983,43116,25900,16037,8835,5354,
其他流动负债(万元),,,,1521,53,461,1348,3654,2962,3767,3682,3664,3664,3682,3682,3687,3687,4530,4545,261343,216518,200810,89846,522,522,386,386,509,50484,50354,50354,494,494,441,494,225,293,362,400,,0,,0,0,0,0,,0,0,
流动负债合计(万元),1009570,1020107,1039245,1091605,1037585,1101837,1164801,1875024,1813637,1726540,1186801,1246905,1217668,1165020,1159811,1206564,1203349,1161162,1170230,1901402,1860647,1821802,1777122,1539405,1417133,1334675,1359504,1228292,1238538,1197715,1075758,1192312,1165433,1161373,1096063,1045581,905505,842847,922752,904467,970177,962817,1023791,918555,946511,729366,637067,483116,391700,
长期借款(万元),73861,88687,98860,111685,108570,116923,119519,153266,146957,129765,,,,,,,,17300,17300,153827,181700,207705,212580,257216,309463,372315,371467,432620,442557,515133,470733,478680,419580,444230,461006,405131,472909,448386,416574,369032,308962,298053,314435,290581,205627,135667,141001,87590,75800,
应付债券(万元),,,,,,,,,,,,,,,,,,,,,,,,31000,31000,31000,31000,80000,79941,79823,79823,79764,79705,79587,79587,79528,79469,79410,79351,79292,79232,79173,79114,78996,78878,0,,0,0,
长期应付款(万元),,291899,291899,,291899,,291899,,,,1936,3703,5792,7519,9640,10457,13348,16816,19321,21843,24513,26100,27900,31290,33900,36000,,44,,0,,26298,26298,26298,26298,26298,26298,26298,26298,26298,26298,25938,25938,28279,28276,322,633,3671,0,
专项应付款(万元),,2344,2862,,2241,,2521,,,,,,,,,,,,,,,,,9,9,9,9,5796,44,44,44,65283,65273,65179,65179,60389,61858,61302,62154,45818,36290,35721,37030,33000,17000,0,,22739,22577,
预计非流动负债(万元),3754,3800,6446,4766,5792,7205,8075,14337,18286,19450,19758,23407,24887,37627,37963,41549,41856,58876,64495,26675,30966,75692,33236,11812,13760,16771,17917,,5897,5934,5972,,,,,,,,,,0,,0,0,0,0,,0,0,
长期递延收益(万元),28282,28056,29892,28358,28646,31237,30875,28099,28906,28992,17191,14168,15021,15006,15991,19013,19657,34411,35514,39047,35705,36906,37279,,,,,,,,,,,,,,,,,,0,,0,,,0,,,0,
递延所得税负债(万元),11361,11393,11602,5453,5491,5468,5506,5544,5584,5735,,,,,,,,,,178,178,60,60,44,44,57,57,67,67,37,37,36,36,26,26,56,56,89,89,36,36,67,67,38,16,118,118,0,0,
其他非流动负债(万元),,,,,0,,0,,,,,,,,,,,,,,,,,42804,43404,44954,28858,26680,26810,26320,26434,23007,21201,12785,12745,9848,9732,9750,9599,7256,7038,7408,7156,0,0,0,,0,0,
非流动负债合计(万元),418504,434492,450334,456061,453615,468833,471975,220265,218752,202861,55028,59936,65805,85031,88473,100773,104614,163314,172541,285540,317032,346463,355025,374175,431580,501106,449308,545208,555316,627291,583043,673068,612092,628104,644840,581249,650321,625234,594064,527731,457856,446360,463741,430894,329798,136107,141751,114000,98377,
负债合计(万元),1428074,1454600,1489579,1547666,1491199,1570670,1636776,2095288,2032389,1929401,1241829,1306841,1283473,1250051,1248284,1307338,1307963,1324476,1342771,2186942,2177678,2168264,2132147,1913581,1848713,1835781,1808812,1773500,1793854,1825007,1658801,1865380,1777525,1789477,1740904,1626829,1555826,1468081,1516815,1432198,1428032,1409177,1487532,1349449,1276309,865472,778819,597117,490077,
实收资本(或股本)(万元),726826,726826,726826,726826,726826,726826,726826,527429,527429,527429,331633,331633,331633,331633,331633,331633,331633,331633,331633,229345,229345,229345,229345,229345,229345,229345,229345,229345,229345,229345,229345,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,139000,139000,139000,139000,139000,126260,116260,
资本公积(万元),1483416,1483416,1483416,1483416,1483416,1483416,1483416,983734,983734,983734,1017250,1017250,1017250,1017250,1017250,1017250,1017250,1017250,1017250,482098,482098,482098,482098,482426,482344,482468,482418,482393,482477,482368,482305,288840,288874,288843,288819,289743,289357,289814,289368,288993,288872,289030,69837,69673,69556,69847,70130,11743,27,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
专项储备(万元),1628,1800,1415,1872,1968,1898,1458,1691,1681,1200,1389,1517,1370,1362,1333,1328,1302,1602,1531,2051,2001,1809,1778,1792,1678,1351,1355,610,698,693,694,,,,,,,,,,0,,0,0,0,0,,0,0,
盈余公积(万元),11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,12836,12836,12018,12018,10805,10246,9220,9220,6435,5418,1951,1951,1013,287,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
未分配利润(万元),-993572,-1013555,-1022730,-1045946,-1061257,-1073002,-1074573,-1093410,-1113008,-1137170,-1243282,-1244288,-1247812,-1285721,-1287813,-1311155,-1311189,-1329628,-1323644,-1455460,-1423728,-1362842,-1333032,-685036,-636944,-573088,-543279,-372429,-321181,-252976,-222531,-33356,26672,51235,66374,89502,89513,92154,90603,79683,74651,68153,65422,40353,31200,9163,18234,4259,-5192,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
归属于母公司股东权益合计(万元),1256848,1246533,1234439,1193515,1172612,1156219,1158175,441352,414085,381938,118812,117934,114263,77138,74955,51607,51393,33498,39360,-729642,-697455,-637430,-607650,40348,88244,151897,181660,351741,403160,471252,501635,436306,496368,520899,536015,561081,560706,562986,560989,548481,542769,535403,283479,255460,245174,219961,229316,143274,111382,
少数股东权益(万元),55554,55135,55399,51654,49621,47557,48198,44286,42453,40759,,,,,,,,,,,,71,71,77,77,78,81,79,81,73,82,6009,6004,5980,5961,5896,5835,5751,5762,5796,5795,5765,5761,5758,4976,391,382,313,249,
所有者权益(或股东权益)合计(万元),1312402,1301668,1289838,1245168,1222233,1203776,1206373,485639,456538,422698,118812,117934,114263,77138,74955,51607,51393,33498,39360,-729642,-697455,-637358,-607579,40424,88320,151975,181741,351819,403242,471325,501717,442315,502372,526879,541975,566977,566541,568737,566751,554277,548564,541168,289240,261218,250149,220352,229697,143587,111630,
负债和所有者权益(或股东权益)总计(万元),2740476,2756268,2779416,2792834,2713432,2774446,2843149,2580927,2488928,2352099,1360641,1424775,1397736,1327188,1323238,1358945,1359356,1357974,1382131,1457300,1480223,1530906,1524568,1954005,1937034,1987756,1990553,2125319,2197096,2296332,2160518,2307694,2279897,2316356,2282879,2193806,2122367,2036818,2083567,1986475,1976596,1950345,1776772,1610667,1526458,1085824,1008516,740704,601707,		
