报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),3291,6317,8635,18991,6069,7091,9735,10490,10069,12874,15418,4304,1388,1062,5981,1138,1170,1371,
结算备付金(万元),,,,,,,,,,,0,,,,,,,,
拆出资金(万元),,,,,,,,,,,0,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,0,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,0,,,,,,,,
应收票据(万元),,,,,0,,100,,,,0,,20,,,,,,
应收账款(万元),11813,10834,10539,11301,11507,11159,9469,10947,11557,7760,6685,7887,8352,8381,7788,6044,3188,2493,
预付款项(万元),2310,2417,2571,2134,3373,2658,3530,3102,3478,3077,1462,915,1563,1607,976,1822,880,929,
应收保费(万元),,,,,,,,,,,0,,,,,,,,
应收分保账款(万元),,,,,,,,,,,0,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,0,,,,,,,,
应收利息(万元),,,,,,,,,,,0,,,,,,,,
应收股利(万元),,,,,,,,,,,0,,,,,,,,
其他应收款(万元),,1504,,1401,1765,1401,1841,1467,1697,1554,1546,1480,1787,1609,1427,1305,2213,2201,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,0,,,,,,,,
存货(万元),50389,46310,44052,41772,41931,38936,31188,33146,29655,28827,22358,21718,18976,17315,18662,17878,12347,9970,
待摊费用(万元),,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,0,,,,,,,,
其他流动资产(万元),3315,3098,2534,1759,1964,1631,1391,1043,,,0,220,221,206,97,,,,
流动资产合计(万元),72973,70481,69439,77357,66608,62877,57253,60195,56457,54092,47468,36524,32306,30181,34931,28187,19798,16964,
发放贷款及垫款(万元),,,,,,,,,,,0,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,0,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,0,,,,,,,,
长期应收款(万元),,,,,,,,,,,0,,,,,,,,
长期股权投资(万元),269,248,261,261,300,300,,,,,0,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,0,,,,,,,,
固定资产原值(万元),,5954,,5670,,5646,,5445,,4581,,,4218,4209,4073,,,,
累计折旧(万元),,1671,,1467,,1299,,1114,,978,,,787,728,604,,,,
固定资产净值(万元),,4283,,4203,,4347,,4331,,3603,,,3431,3481,3469,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,
固定资产(万元),,4283,,4203,4301,4347,4265,4331,4055,3603,3459,3484,3431,3481,3469,3508,2438,395,
在建工程(万元),,,,199,165,134,52,3,230,651,173,146,102,99,18,,242,,
工程物资(万元),,,,,,,,,,,0,,,,,,,,
固定资产清理(万元),,,,,,,,,,,0,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,0,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,0,,,,,,,,
无形资产(万元),361,282,301,320,48,51,56,61,66,71,74,22,7,8,8,10,11,2,
开发支出(万元),,,,,,,,,,,0,,,,,,,,
商誉(万元),94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,,
长期待摊费用(万元),50,61,183,86,108,109,118,136,,,0,,,,,2,5,15,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),510,475,426,416,432,388,321,312,286,258,220,191,218,213,184,152,158,135,
其他非流动资产(万元),,,,,,,,,,,0,,,,,,,,
非流动资产合计(万元),5516,5443,5569,5579,5449,5423,4906,4937,4731,4677,4020,3937,3852,3895,3774,3766,2948,548,
资产总计(万元),78490,75923,75008,82936,72057,68300,62159,65132,61188,58770,51488,40462,36158,34075,38705,31953,22746,17512,
短期借款(万元),,,,,2382,1545,,,,,0,1773,1693,1293,1714,472,1885,2445,
向中央银行借款(万元),,,,,,,,,,,0,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,0,,,,,,,,
拆入资金(万元),,,,,,,,,,,0,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,0,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,0,,,,,,,,
应付票据(万元),638,1691,,2698,,569,579,1692,712,9,63,73,,,301,145,,,
应付账款(万元),14861,11959,,17075,,11569,10193,11992,13297,11389,7576,11033,9700,8651,11535,9707,6352,3300,
预收账款(万元),4149,5218,6890,6765,4672,4347,3141,2678,1456,2987,1233,1933,1413,2149,2916,2074,1744,3649,
卖出回购金融资产款(万元),,,,,,,,,,,0,,,,,,,,
