报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),44315,33299,28647,27046,24074,10741,4780,8965,4370,4020,
结算备付金(万元),,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,
交易性金融资产(万元),59211,5033,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,
应收票据(万元),,,,,,,,,,,
应收账款(万元),540,426,597,401,426,448,395,817,641,667,
预付款项(万元),2029,1040,1437,2674,2294,2079,1891,2017,1391,1048,
应收保费(万元),,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,
应收利息(万元),324,289,129,129,112,,,,,,
应收股利(万元),,,,,,,,,,,
其他应收款(万元),,3511,10692,3591,3336,3411,3334,3030,2767,2606,
应收出口退税(万元),,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,
存货(万元),7689,6994,9767,9012,6530,5209,5144,3416,3468,2519,
待摊费用(万元),,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,
其他流动资产(万元),5128,3630,3598,2611,1258,1127,208,,40,1,
流动资产合计(万元),122145,54221,54867,45464,38030,23015,15752,18244,12677,10861,
发放贷款及垫款(万元),,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,
长期股权投资(万元),,,,,,,,50,,,
其他长期投资(万元),,,,,,,,,,,
投资性房地产(万元),742,750,758,767,802,,,,,,
固定资产原值(万元),,41106,40880,40184,37999,34943,,,,,
累计折旧(万元),,26251,25538,24649,21647,17977,,,,,
固定资产净值(万元),,14855,15341,15535,16353,16966,,,,,
固定资产减值准备(万元),,,,,,,,,,,
固定资产(万元),,14855,15341,15535,16353,16966,11693,11853,10548,10910,
在建工程(万元),,42729,36399,35189,18945,9267,1468,72,237,961,
工程物资(万元),,23,23,43,53,14,14,35,27,16,
固定资产清理(万元),,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,
油气资产(万元),,,,,,,,,,,
无形资产(万元),15054,15162,15414,15527,15834,14289,7214,3781,3894,863,
开发支出(万元),,,,,,,,,,,
商誉(万元),,,,,,,,,,,
长期待摊费用(万元),18231,18177,19186,19359,22722,29068,28236,30805,27774,26157,
股权分置流通权(万元),,,,,,,,,,,
递延所得税资产(万元),461,478,675,476,143,101,126,134,176,47,
其他非流动资产(万元),1362,575,571,666,528,369,8326,2115,665,215,
非流动资产合计(万元),96251,92749,88367,87563,75378,70075,57077,48845,43321,39168,
资产总计(万元),218396,146970,143234,133027,113409,93090,72829,67089,55998,50029,
短期借款(万元),,6000,6000,,100,3100,6300,3400,9800,13501,
向中央银行借款(万元),,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,
应付票据(万元),,,,,,,,,,,
应付账款(万元),15044,15952,16509,15499,16447,13925,7973,8126,8178,8651,
预收账款(万元),,,2948,3029,3000,3172,3248,3821,3777,3027,
卖出回购金融资产款(万元),,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,
应付职工薪酬(万元),3132,3550,3050,3113,3331,3698,3704,3508,2933,2645,
应交税费(万元),1545,2875,3146,3306,3481,3236,2643,2823,1804,1073,
应付利息(万元),,,3,,,5,9,1,15,30,
应付股利(万元),,,,,,,,9650,4000,,
其他应交款(万元),,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,
其他应付款(万元),,6884,7261,7474,5682,4719,3692,3354,7354,6504,
预提费用(万元),,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,
递延收益(万元),,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,
