报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),24890,27755,14195,14846,13046,13446,24414,26707,36665,20825,15938,22702,19235,7289,4732,
结算备付金(万元),,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,4500,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,20,23,,,,
应收账款(万元),5794,5487,4907,4471,4808,5282,4109,4605,3072,2670,1447,1551,1762,2105,923,
预付款项(万元),1271,2022,2307,2246,4019,1834,1453,230,286,90,108,75,126,146,73,
应收保费(万元),,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,
其他应收款(万元),,2048,,1470,1413,534,468,250,285,256,253,165,199,368,128,
应收出口退税(万元),,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,
存货(万元),,,,,,,,,18,18,,,,,,
待摊费用(万元),,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,
其他流动资产(万元),5227,5669,19100,20048,20648,23216,13138,13115,24,461,394,306,18,63,31,
流动资产合计(万元),38095,42981,42231,43080,43934,44312,43582,44906,40351,24320,22661,24821,21341,9970,5887,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,500,500,,,,,,,,100,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,
长期股权投资(万元),4800,848,880,997,1045,316,,,,414,418,414,450,,,
其他长期投资(万元),,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,
固定资产原值(万元),,923,,840,,802,,716,,,629,508,413,,,
累计折旧(万元),,532,,453,,387,,360,,,274,244,180,,,
固定资产净值(万元),,391,,387,,415,,356,,,355,264,233,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,
固定资产(万元),,391,,387,378,415,399,356,381,378,355,264,233,151,88,
在建工程(万元),,,,,,,,,,,,,,,,
工程物资(万元),,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,
