报告日期,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),38451,29019,28086,20343,16053,10326,18109,22773,6218,7386,9757,5773,2338,5383,5016,10785,2160,2398,5131,5735,5577,917,1515,
结算备付金(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
交易性金融资产(万元),,,,,,,,,,,10,,,,,,,,0,0,70,109,2065,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
应收票据(万元),18634,24183,20991,12567,9389,9554,6164,4830,6586,2888,2915,3590,1600,1222,1220,3874,3249,1010,181,170,733,749,458,
应收账款(万元),70901,75389,59803,58515,49031,43756,38023,31295,27541,25560,21640,13207,10982,6836,9516,6816,6467,5853,4435,3334,1126,213,302,
预付款项(万元),1716,628,779,1548,3826,2819,2864,4434,713,1912,-165,688,6151,326,3075,2650,6395,6570,5524,5046,4917,185,19,
应收保费(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
应收利息(万元),,,,,,,,,131,,,,,,,,,,0,0,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
其他应收款(万元),,655,,,385,421,500,738,7979,1017,-1863,411,4256,258,3153,461,7871,8502,5854,1149,2924,5631,205,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
存货(万元),62645,61450,69329,48850,44377,39207,31264,30671,21217,21488,20786,18608,18053,6788,7635,6817,6350,5230,4344,3992,2115,1378,780,
待摊费用(万元),,,,,,,,,,,,,,,,,22,,0,0,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
其他流动资产(万元),668,1395,663,770,1447,,,,109,426,213,,96,25,40,,9,11,11,11,0,,,
流动资产合计(万元),193696,192720,181344,143137,124508,106082,96923,94742,70494,60678,53292,42278,43477,20838,29656,31403,32500,29574,25480,19436,17461,9180,5343,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
长期股权投资(万元),18796,17724,16079,13424,11102,10189,7415,4378,2515,2210,2160,2160,1807,13700,,,,,0,0,,11,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,0,0,,,,
固定资产原值(万元),,87223,,,,,,,,,,29418,,,,16090,,,1732,2857,2936,2657,2245,
