报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),14374,2471,726,683,8662,5903,830,413,
结算备付金(万元),,,,,,,,,
拆出资金(万元),,,,,,,,,
交易性金融资产(万元),35605,9925,10144,,,,,,
衍生金融资产(万元),,,,,,,,,
应收票据(万元),34,530,27,29,76,62,,,
应收账款(万元),14053,17336,14442,13782,7881,7153,3981,1498,
预付款项(万元),242,113,270,271,232,42,11,20,
应收保费(万元),,,,,,,,,
应收分保账款(万元),,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,
应收利息(万元),,,,,,,,,
应收股利(万元),,,,,,,,,
其他应收款(万元),,215,222,,185,150,166,1122,
应收出口退税(万元),,,,,,,,,
应收补贴款(万元),,,,,,,,,
应收保证金(万元),,,,,,,,,
内部应收款(万元),,,,,,,,,
买入返售金融资产(万元),,,,,,,,,
存货(万元),299,169,122,77,271,8,7,,
待摊费用(万元),,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,
一年内到期的非流动资产(万元),19,19,34,48,172,157,101,90,
其他流动资产(万元),1115,1117,1511,15370,14189,7776,11144,163,
流动资产合计(万元),66432,31894,27498,30464,31668,21251,16239,3307,
发放贷款及垫款(万元),,,,,,,,,
可供出售金融资产(万元),,,,,,,,,
持有至到期投资(万元),,,,,,,,,
长期应收款(万元),,,,,,,,,
长期股权投资(万元),,,,,,,,,
其他长期投资(万元),,,,,,,,,
投资性房地产(万元),,,,,,,,,
固定资产原值(万元),,21468,21409,21228,,,,,
累计折旧(万元),,1802,1524,1247,,,,,
固定资产净值(万元),,19667,19885,19981,,,,,
固定资产减值准备(万元),,,,,,,,,
固定资产(万元),,19667,,19981,941,487,454,188,
在建工程(万元),,,,,,,,,
工程物资(万元),,,,,,,,,
固定资产清理(万元),,,,,,,,,
生产性生物资产(万元),,,,,,,,,
公益性生物资产(万元),,,,,,,,,
油气资产(万元),,,,,,,,,
无形资产(万元),599,530,499,521,461,55,,,
开发支出(万元),,,,,,,,,
商誉(万元),,,,,,,,,
长期待摊费用(万元),143,159,122,134,55,169,205,,
股权分置流通权(万元),,,,,,,,,
递延所得税资产(万元),293,280,251,229,188,98,66,23,
其他非流动资产(万元),,855,510,485,240,,,,
非流动资产合计(万元),21166,21491,21266,21349,1886,809,724,211,
资产总计(万元),87598,53385,48765,51813,33554,22060,16963,3517,
短期借款(万元),,,,,,,,,
向中央银行借款(万元),,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,
拆入资金(万元),,,,,,,,,
交易性金融负债(万元),,,,,,,,,
衍生金融负债(万元),,,,,,,,,
应付票据(万元),,,,,,,,,
应付账款(万元),2552,3117,815,2267,1375,420,621,,
预收账款(万元),129,283,89,98,238,240,21,,
卖出回购金融资产款(万元),,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,
应付职工薪酬(万元),3845,3193,1971,4306,3462,2407,977,395,
应交税费(万元),525,1224,528,1387,1615,747,579,762,
应付利息(万元),13,13,14,,,,,,
应付股利(万元),,,,,,,,,
其他应交款(万元),,,,,,,,,
应付保证金(万元),,,,,,,,,
内部应付款(万元),,,,,,,,,
其他应付款(万元),,519,463,,518,337,40,124,
预提费用(万元),,,,,,,,,
预计流动负债(万元),,,,,,,,,
应付分保账款(万元),,,,,,,,,
保险合同准备金(万元),,,,,,,,,
代理买卖证券款(万元),,,,,,,,,
代理承销证券款(万元),,,,,,,,,
国际票证结算(万元),,,,,,,,,
国内票证结算(万元),,,,,,,,,
递延收益(万元),,,,,,,,,
应付短期债券(万元),,,,,,,,,
一年内到期的非流动负债(万元),960,960,960,960,,,,,
其他流动负债(万元),,,,,,233,103,55,
流动负债合计(万元),9098,9308,4840,9540,7208,4385,2340,1335,
长期借款(万元),7680,7920,8160,8400,,,,,
应付债券(万元),,,,,,,,,
长期应付款(万元),,,,,,,,,
专项应付款(万元),,,,,,,,,
预计非流动负债(万元),1460,1290,1164,1105,950,303,166,61,
长期递延收益(万元),,,,,,,,,
递延所得税负债(万元),7,3,3,,,,,,
其他非流动负债(万元),,,,,,,,,
非流动负债合计(万元),9146,9213,9328,9505,950,303,166,61,
负债合计(万元),18244,18522,14168,19045,8158,4688,2507,1396,
实收资本(或股本)(万元),5333,4000,4000,4000,4000,4000,4000,100,
资本公积(万元),40926,9260,9260,9260,9260,9260,9260,,
减:库存股(万元),,,,,,,,,
专项储备(万元),,,,,,,,,
盈余公积(万元),2105,2105,2105,2104,1281,477,120,202,
一般风险准备(万元),,,,,,,,,
未确定的投资损失(万元),,,,,,,,,
未分配利润(万元),20989,19499,19232,17405,10856,3635,1077,1819,
拟分配现金股利(万元),,,,,,,,,
外币报表折算差额(万元),,,,,,,,,
归属于母公司股东权益合计(万元),69354,34863,34597,32768,25396,17372,14456,2121,
少数股东权益(万元),,,,,,,,,
所有者权益(或股东权益)合计(万元),69354,34863,34597,32768,25396,17372,14456,2121,
负债和所有者权益(或股东权益)总计(万元),87598,53385,48765,51813,33554,22060,16963,3517,		
