报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),69328,70959,55786,58748,60367,58049,54959,47979,93776,44169,37412,33546,18451,32921,17263,
结算备付金(万元),,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,
交易性金融资产(万元),29663,,22855,154,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,,15,7,12,123,
应收账款(万元),27971,29417,23768,21718,,25152,12535,14243,7060,12356,8655,12610,12683,16317,7113,
预付款项(万元),3316,5644,5727,3368,5868,6137,5700,2886,4508,2499,2074,2804,2878,2662,1993,
应收保费(万元),,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,
应收利息(万元),,74,,87,,287,396,200,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,
其他应收款(万元),,1821,,1346,2187,2022,3047,1902,981,847,473,246,67,2997,1233,
应收出口退税(万元),,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,
存货(万元),42134,29499,29338,35082,34982,32686,29000,27745,27153,24604,23946,20843,22082,25040,23487,
待摊费用(万元),,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,
其他流动资产(万元),1350,18687,2769,31874,28003,30911,30196,40918,672,1051,697,3995,3863,2091,933,
流动资产合计(万元),175607,156100,142125,152375,156136,155243,135832,135871,134150,85527,73257,74058,60030,82039,52146,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,
可供出售金融资产(万元),,11428,,12655,14261,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,
长期股权投资(万元),59,92,,,,,,,,,,,,,,
