报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),69080,68650,88115,137412,123333,98061,161016,23290,20477,35121,12097,23343,8458,8510,
结算备付金(万元),,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,
应收票据(万元),332,300,300,367,,,,,,,,,,785,
应收账款(万元),196565,193155,157747,146885,152300,161492,136336,129168,121376,78426,62569,37926,28855,25364,
预付款项(万元),5635,4729,4975,1539,4493,3403,3661,1932,2222,1551,1517,844,2161,488,
应收保费(万元),,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,2079,2079,
其他应收款(万元),,12150,,10040,12952,11522,11129,10670,9054,8753,7024,4090,4000,3122,
应收出口退税(万元),,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,
存货(万元),64258,62969,67528,63316,68278,62586,66109,59474,53755,54069,48375,45964,29708,24222,
待摊费用(万元),,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,
其他流动资产(万元),54548,71537,67339,18063,3005,2919,2713,2625,967,2511,1348,498,,,
流动资产合计(万元),402284,413491,397596,377623,364360,339982,380964,227160,207851,180431,132930,112664,75261,64570,
发放贷款及垫款(万元),,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,
长期股权投资(万元),150,107,181,141,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,
固定资产原值(万元),,27827,,13104,,12534,,12423,,13819,,,,,
累计折旧(万元),,7203,,6720,,6509,,6216,,7769,,,,,
固定资产净值(万元),,20624,,6384,,6026,,6208,,6050,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,
固定资产(万元),,20624,,6384,6268,6026,6165,6208,6063,6050,5213,5240,1811,2335,
在建工程(万元),,,,,,,,,,,,,,,
工程物资(万元),,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,
无形资产(万元),335,301,244,271,227,185,202,219,129,97,101,75,1,10,
开发支出(万元),,,,,,,,,,,,,,,
商誉(万元),3530,1021,1021,1021,1021,1021,1021,1021,1021,1021,,,,,
长期待摊费用(万元),63,72,82,92,101,111,120,130,156,168,39,,,354,
股权分置流通权(万元),,,,,,,,,,,,,,,
递延所得税资产(万元),3692,3706,3572,3836,3264,3296,2941,3881,2827,3041,2235,1961,1290,692,
其他非流动资产(万元),4000,2000,2314,2000,,90,148,66,249,62,125,16,44,,
非流动资产合计(万元),33681,27859,13522,13744,10881,10728,10597,11524,10445,10440,7714,7292,3145,3391,
资产总计(万元),435965,441350,411118,391367,375241,350710,391561,238684,218295,190871,140644,119957,78406,67961,
短期借款(万元),16200,25500,18300,,33000,16000,70000,15230,42000,9970,3300,2000,,,
向中央银行借款(万元),,,,,,,,,,,,,,,
