报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),18780,12969,14592,15483,14705,17322,13991,13335,7908,7693,8489,11213,11704,23574,5449,5559,3627,3789,6166,5478,3918,4854,3000,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),2064,2065,2686,5487,3073,2660,2100,3091,2557,3054,2225,2879,1273,2524,2862,3839,2041,1283,1994,2184,1883,955,788,
应收账款(万元),31185,20902,17892,15673,13297,14990,14302,12427,13055,13732,13728,12180,12966,12730,11707,10753,10415,9940,8419,9472,8755,8037,6374,
预付款项(万元),12036,10830,8136,2783,372,446,284,163,401,360,813,404,353,756,505,401,370,265,293,429,491,304,534,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,221,221,,,,259,,,,239,338,,,,,,,
其他应收款(万元),,299,,165,45,63,50,147,54,39,64,73,59,79,78,105,105,100,140,54,59,22,741,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
存货(万元),8614,6397,6171,7477,7265,8491,9754,8695,7302,7036,7263,6798,5944,4985,4677,4853,4238,4408,4780,3947,4838,3210,3997,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,23,,,,,
其他流动资产(万元),939,273,68,194,93,158,,1,35,,,198,,,,,,116,,,,,,
