报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-06-30,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),85542,29346,30474,32243,25966,28191,16690,21950,25254,19986,14903,15213,14201,
结算备付金(万元),,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,
交易性金融资产(万元),7159,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,
应收票据(万元),286,166,179,88,55,,,60,20,20,30,136,82,
应收账款(万元),37212,42859,22335,32995,34164,,28343,26448,21824,20598,16776,11708,13909,
预付款项(万元),1073,2177,1772,900,1632,1051,1660,1840,1055,2147,1091,807,2385,
应收保费(万元),,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,
其他应收款(万元),,,,,,,284,304,488,1094,1281,1645,1627,
应收出口退税(万元),,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,
存货(万元),35817,31715,38936,36420,36285,33574,29308,26488,23459,22717,20491,19664,14019,
待摊费用(万元),,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,
其他流动资产(万元),3065,3153,3393,3962,4873,2635,3245,3160,2902,1934,1242,1507,1916,
流动资产合计(万元),173861,113227,98305,109216,108203,95529,79530,80251,75002,68496,55815,50682,48138,
发放贷款及垫款(万元),,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,45,45,45,3018,3125,3125,4045,4045,
持有至到期投资(万元),,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,210,223,,
其他长期投资(万元),,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,
固定资产原值(万元),,,,56491,,,,,,,,,,
累计折旧(万元),,,,24566,,,,,,,,,,
固定资产净值(万元),,,,31925,,,,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,
固定资产(万元),,,,31925,,,29481,30136,28783,29344,29300,16457,14641,
在建工程(万元),,,,,,,2795,1935,2960,1304,824,10347,5528,
工程物资(万元),,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,
无形资产(万元),3612,3630,3677,3767,3911,4037,3780,3641,3689,2845,2718,2796,2325,
开发支出(万元),,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,
长期待摊费用(万元),,,,,,,1,2,3,4,5,7,9,
股权分置流通权(万元),,,,,,,,,,,,,,
递延所得税资产(万元),979,1040,692,836,734,680,625,339,491,374,355,152,94,
其他非流动资产(万元),1338,2184,2077,1809,663,1615,139,339,322,815,1064,1914,1503,
非流动资产合计(万元),39936,40024,39388,39851,39868,40109,36866,36437,39266,37811,37601,35941,28144,
资产总计(万元),213797,153251,137693,149067,148072,135638,116396,116688,114269,106307,93416,86623,76282,
短期借款(万元),5961,9941,9927,7945,17569,15703,12446,17487,23039,27668,20706,17571,11357,
向中央银行借款(万元),,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,
应付票据(万元),17064,10964,15040,18986,13773,,10528,9543,8550,5372,7024,7011,7072,
应付账款(万元),36068,34573,21890,30965,34944,,26125,26734,21934,19474,13372,17193,16863,
预收账款(万元),1135,621,1308,1008,1171,849,1007,1337,1702,2431,1256,1825,2245,
卖出回购金融资产款(万元),,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,
应付职工薪酬(万元),4424,3424,2562,5470,3241,5639,6257,4156,5682,2731,5136,3843,3481,
应交税费(万元),415,743,612,271,618,452,383,340,685,731,929,564,696,
应付利息(万元),,,,,,,15,29,33,102,114,75,62,
应付股利(万元),,,,,,,,1536,100,480,,,,
其他应交款(万元),,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,
其他应付款(万元),,,,4111,,,3130,2955,2957,1799,1470,1202,1353,
预提费用(万元),,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,
流动负债合计(万元),67912,65023,54892,68756,74873,68724,59891,64117,64682,60789,50007,49284,43130,
长期借款(万元),,,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,
长期应付款(万元),,,,,,,69,15,18,20,22,,,
专项应付款(万元),,,,,,,,,,,,,,
预计非流动负债(万元),2870,2741,2499,2482,512,511,478,496,,,,,,
长期递延收益(万元),1200,1862,1164,1106,1101,1140,999,848,361,371,381,396,,
递延所得税负债(万元),25,25,25,25,25,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,
非流动负债合计(万元),4130,4668,3794,3722,1755,1716,1546,1359,380,391,403,396,0,
负债合计(万元),72041,69691,58686,72477,76628,70439,61438,65476,65062,61180,50410,49680,43130,
实收资本(或股本)(万元),16000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,
资本公积(万元),61081,8895,8895,8895,8895,8895,8895,6656,6656,4367,4367,4367,4363,
减:库存股(万元),,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,
盈余公积(万元),4606,4606,4606,4606,4130,4122,3705,3340,3343,2940,2940,2441,2067,
一般风险准备(万元),,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,
未分配利润(万元),59867,57939,53550,51073,46253,40280,30418,29121,26606,25020,22482,16868,13642,
拟分配现金股利(万元),,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),141755,83560,79007,76589,71444,65199,54958,51076,48540,44307,41708,35643,32137,
少数股东权益(万元),,,,,,,,136,667,820,1298,1300,1015,
所有者权益(或股东权益)合计(万元),141755,83560,79007,76589,71444,65199,54958,51212,49207,45127,43006,36943,33152,
负债和所有者权益(或股东权益)总计(万元),213797,153251,137693,149067,148072,135638,116396,116688,114269,106307,93416,86623,76282,		
