报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),78156,111215,149289,160167,95121,122789,137821,163531,126958,138135,145191,168885,111482,47541,70490,115711,63743,27456,19672,20536,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,
应收票据(万元),403,441,,1966,1250,579,256,326,200,316,3638,4262,1138,89,152,467,519,419,432,1443,
应收账款(万元),96672,121331,,106411,44720,43999,15845,11970,22465,33243,16557,16649,29544,33371,15027,15676,15575,14944,15502,24485,
预付款项(万元),27358,24478,34829,10106,12889,10875,16225,6952,20933,20357,27531,16118,19640,17079,15483,9042,9360,4879,3261,4421,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,2785,,2318,2691,2681,1778,1407,2520,1705,1793,1320,1262,974,948,734,1236,890,872,879,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,
存货(万元),87080,50645,61423,45301,73589,48449,52640,58726,83181,61375,66530,67970,75812,61706,68416,61941,61582,37625,34227,20205,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),1494,1649,1921,542,1968,820,1267,1232,1734,3586,1933,3396,,,,,,,,,
流动资产合计(万元),294715,312546,325186,326812,232227,230192,225833,244143,257991,258716,263173,278599,238878,160760,170517,203571,152014,86213,73966,71969,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,221,221,221,221,221,221,221,221,221,221,221,221,221,221,656,656,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,,656,656,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),3064,3084,2824,2040,,,,,,,,,,,,,,,,,
固定资产原值(万元),,82369,,66884,,54572,,54719,,51451,,50990,,,49583,49565,46445,40061,,,
累计折旧(万元),,24439,,22544,,18610,,17582,,16558,,15643,,,14407,13863,11850,10050,,,
固定资产净值(万元),,57931,,44340,,35963,,37137,,34893,,35347,,,35176,35702,34595,30011,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,
固定资产(万元),,57931,,44340,35512,35963,36565,37137,34329,34893,34971,35347,34766,34960,35176,35702,34595,30011,23829,22266,
