报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),18306,20414,19496,17024,20454,23172,11427,7761,5518,11376,9850,
结算备付金(万元),,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,2,2,86,20,
应收票据(万元),7579,9328,6363,,,5291,3742,4371,3002,1787,16,
应收账款(万元),37370,32059,37083,,,25551,20687,12403,15225,10856,8672,
预付款项(万元),1840,557,472,212,484,946,1074,1824,1400,756,482,
应收保费(万元),,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,
应收利息(万元),,,,,,,,,,1,,
应收股利(万元),,,,,,,,,,,,
其他应收款(万元),,857,1250,743,1302,992,710,610,4077,1082,214,
应收出口退税(万元),,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,
存货(万元),29956,25376,23479,22074,19101,14225,14451,11738,9845,8299,3492,
待摊费用(万元),,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,
其他流动资产(万元),1197,943,921,1226,387,190,444,173,126,,,
流动资产合计(万元),97023,89533,89062,74312,75076,70368,52535,38882,39195,34242,22747,
发放贷款及垫款(万元),,,,,,,,,,,,
可供出售金融资产(万元),,,4,86,86,86,86,86,86,86,,
持有至到期投资(万元),,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,
长期股权投资(万元),,,,549,666,250,511,523,546,672,908,
其他长期投资(万元),,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,
固定资产原值(万元),,48210,47389,,,,,,,,,
累计折旧(万元),,14713,12771,,,,,,,,,
固定资产净值(万元),,33497,34618,,,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,,
固定资产(万元),,33497,34618,31168,31346,20300,19296,16021,14323,10537,6337,
在建工程(万元),,3537,448,2063,1298,4173,3130,3143,4296,1426,3620,
工程物资(万元),,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,
无形资产(万元),12476,12553,9251,7785,6932,2298,2390,2127,2056,2107,1145,
开发支出(万元),,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,
长期待摊费用(万元),1788,1948,2160,2542,2934,2726,505,363,364,378,83,
股权分置流通权(万元),,,,,,,,,,,,
递延所得税资产(万元),1010,921,899,733,516,276,272,145,129,76,41,
其他非流动资产(万元),4087,3552,2977,3067,3088,,,,,,,
非流动资产合计(万元),57702,56008,50358,47993,46865,30108,26189,22408,21798,15281,12134,
资产总计(万元),154725,145541,139420,122305,121941,100475,78724,61290,60993,49524,34881,
短期借款(万元),3000,4500,4500,3000,1500,,,,,999,,
向中央银行借款(万元),,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,
交易性金融负债(万元),,,,991,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,
应付票据(万元),15990,13855,11054,,,9354,8985,2245,2019,856,551,
应付账款(万元),34176,32337,33687,,,26976,20192,14248,15674,11417,8867,
预收账款(万元),7802,5318,7818,5304,6246,8533,6072,4256,4272,4635,3916,
卖出回购金融资产款(万元),,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,
应付职工薪酬(万元),2181,2070,2407,1846,1947,1405,1104,936,735,626,323,
应交税费(万元),1363,765,1583,1219,1433,724,318,115,231,156,-122,
应付利息(万元),,6,6,,,,,,,,,
应付股利(万元),,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,
其他应付款(万元),,17,18,26,21,1,9,9,9,,1,
预提费用(万元),,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,
其他流动负债(万元),,,,,,,219,,,,,
流动负债合计(万元),64534,58868,61074,50750,57782,46993,36898,21807,22940,18688,13536,
长期借款(万元),,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,
预计非流动负债(万元),261,232,170,199,163,,,,,,,
长期递延收益(万元),285,227,239,143,144,148,151,153,154,,,
递延所得税负债(万元),,,,,,,,0,0,13,3,
其他非流动负债(万元),,,,,,,,,,,,
非流动负债合计(万元),546,459,408,342,308,148,151,153,154,13,3,
负债合计(万元),65080,59327,61482,51091,58090,47140,37049,21961,23094,18701,13539,
实收资本(或股本)(万元),11302,11302,11302,11302,11302,11302,11302,11302,11302,11302,6718,
