报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2013-03-31,2012-12-31,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),14899,13513,15199,17458,10401,7842,9394,13156,12226,18445,20508,6659,2980,4268,7154,5365,2133,1358,2847,1804,753,2057,1186,549,3237,1807,1813,1842,1366,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
应收票据(万元),14341,13651,15436,16885,13026,8079,12031,13194,9103,7490,9527,11523,6818,5582,7129,6838,6284,3090,2795,1276,2082,2692,3339,2749,1791,2538,2449,476,524,
应收账款(万元),28778,28345,24761,20858,26946,15811,12817,12688,18418,16651,12893,10055,16191,14236,8893,9224,10482,9291,7628,6643,5630,5146,5955,7400,6206,4087,3921,4386,2958,
预付款项(万元),2199,1895,1462,1091,2402,16327,3351,396,1482,1357,1033,606,1005,987,594,302,171,114,124,1317,1519,1492,1686,1740,1385,94,48,237,352,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
其他应收款(万元),,347,,569,261,129,108,94,96,90,82,61,219,204,109,106,83,103,58,99,109,57,336,347,58,42,66,142,342,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
存货(万元),30501,30475,28241,27464,28165,16394,16388,14857,14594,14279,13519,12329,11852,12259,11602,11958,8757,7840,7555,8236,7406,7222,7634,8115,5755,3780,3163,2377,2651,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
其他流动资产(万元),411,645,622,1381,444,271,2322,286,255,254,293,265,1583,1591,92,1282,117,,,,,,,,0,0,0,0,0,
流动资产合计(万元),91443,88872,86291,85705,81645,64854,56411,54671,56174,58567,57856,41498,40648,39127,35573,35075,28026,21796,21008,19376,17500,18667,20136,20902,18432,12347,11460,9460,8194,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
可供出售金融资产(万元),,,,25,25,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
