报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),13287,102759,113805,108080,100581,101080,113247,106166,23325,102843,54578,76008,57945,32614,30326,28749,23593,23285,24837,21736,17528,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),97200,2700,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),1173,428,893,1051,838,597,246,263,400,47,550,601,61,797,,486,,,157,,,
应收账款(万元),13128,17130,14088,12720,11473,11807,11830,10624,7473,7935,8561,7543,6155,7180,6750,5210,5046,3681,1091,763,670,
预付款项(万元),4134,4640,5028,2038,2303,2297,2069,1454,1364,832,1033,684,2241,2383,1901,1637,1814,593,1122,436,885,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,1808,,424,537,282,448,35,256,208,196,36,355,183,190,36,243,26,58,106,168,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
存货(万元),8512,6088,6137,6116,5926,4817,4978,4524,4681,4401,4455,5048,5955,5138,4230,3901,3719,3507,2727,2416,1831,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,
