报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),31944,28612,62063,34979,20880,26498,15456,19419,2197,14887,
结算备付金(万元),,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,
应收票据(万元),,,,150,,160,1845,,150,150,
应收账款(万元),9412,6516,18935,17005,,11748,15192,,41786,15176,
预付款项(万元),94,187,431,697,479,462,365,362,135,26,
应收保费(万元),,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,
应收利息(万元),,,,,,,,,,,
应收股利(万元),,,,,,,,,,,
其他应收款(万元),,266,,233,210,194,212,,26889,30866,
应收出口退税(万元),,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,
存货(万元),10862,12347,10646,8322,8642,11012,9700,12690,13848,11582,
待摊费用(万元),,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,314,299,247,313,125,292,
其他流动资产(万元),50485,66878,19709,1450,4965,202,2,23,12,18,
流动资产合计(万元),104116,114937,112125,62836,55074,50575,43020,67806,85142,72996,
发放贷款及垫款(万元),,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,
长期应收款(万元),,,,,,,285,272,589,421,
长期股权投资(万元),,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,
投资性房地产(万元),,,,,,,442,450,467,484,
固定资产原值(万元),,58549,,58255,,56344,,54259,,,
累计折旧(万元),,22431,,20379,,16745,,13274,,,
固定资产净值(万元),,36118,,37876,,39598,,40986,,,
固定资产减值准备(万元),,,,,,,,,,,
固定资产(万元),,36118,,37876,37916,39598,40713,40998,40154,39858,
在建工程(万元),,919,,478,794,134,136,1314,3114,250,
工程物资(万元),,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,
油气资产(万元),,,,,,,,,,,
无形资产(万元),2945,2962,2984,2966,3000,2998,3021,3056,3128,2569,
开发支出(万元),,,,,,,,,,,
商誉(万元),,,,,,,,,,,
长期待摊费用(万元),238,350,463,478,126,3,13,34,104,6,
股权分置流通权(万元),,,,,,,,,,,
递延所得税资产(万元),218,145,76,159,246,346,338,674,866,643,
其他非流动资产(万元),1262,612,596,411,1357,305,217,354,1537,485,
非流动资产合计(万元),41072,41106,41617,42368,43439,43386,45165,47153,49959,44716,
资产总计(万元),145187,156043,153741,105204,98512,93961,88185,114960,135101,117712,
短期借款(万元),,,,,,,5000,14000,16000,15000,
向中央银行借款(万元),,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,
应付票据(万元),10577,12167,,1476,,890,400,,2000,5220,
应付账款(万元),6831,6401,,9273,,9814,7313,,22745,10136,
预收账款(万元),23,3,12,19,75,2,,1,65,,
卖出回购金融资产款(万元),,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,
应付职工薪酬(万元),311,284,276,671,296,659,280,440,479,384,
应交税费(万元),1408,388,1466,2026,1171,1134,1854,4486,4062,5064,
应付利息(万元),,,,,,,7,,,,
应付股利(万元),,,,,,,,,33251,12875,
其他应交款(万元),,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,
其他应付款(万元),,101,,91,72,71,74,,178,309,
预提费用(万元),,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,
递延收益(万元),,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,569,1403,2080,2901,4241,4824,
其他流动负债(万元),,,,,,,,251,,,
