报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),12609,10822,23110,17809,14204,17613,8834,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),,,,,,,,
衍生金融资产(万元),,,,,,,,
应收票据(万元),,,,,,,,
应收账款(万元),66697,62828,42291,,30028,17531,10653,
预付款项(万元),1858,1107,751,670,1155,461,169,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),,,,,,,,
应收股利(万元),,,,,,,,
其他应收款(万元),14983,15313,14293,,22834,7779,5635,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),,,,,,,,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,
其他流动资产(万元),12647,12974,10288,4133,1422,3869,1425,
流动资产合计(万元),108794,103043,90837,78967,69644,47252,26717,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),,,,,,,,
持有至到期投资(万元),,,,,,,,
长期应收款(万元),,,,,,,,
长期股权投资(万元),1650,1635,1576,1439,1476,1417,,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),,,,,,,,
固定资产原值(万元),89520,81301,61415,,,,,
累计折旧(万元),21342,18354,12135,,,,,
固定资产净值(万元),68178,62947,49279,,,,,
固定资产减值准备(万元),,,,,,,,
固定资产(万元),68178,62947,49279,38921,26539,12868,7924,
在建工程(万元),,,,,,1517,208,
工程物资(万元),,,,,,,,
固定资产清理(万元),,,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),83005,74156,43215,13939,2284,1255,779,
开发支出(万元),,,,,,,,
商誉(万元),,,,,,,,
长期待摊费用(万元),5634,5507,4546,2161,1845,244,,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),1843,1675,1363,679,686,336,203,
其他非流动资产(万元),8267,8847,8881,1377,338,254,226,
非流动资产合计(万元),168576,154766,108860,58517,33168,17891,9341,
资产总计(万元),277370,257809,199697,137484,102811,65143,36058,
短期借款(万元),32248,29680,11183,8634,4981,3000,3000,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),,,,,,,,
衍生金融负债(万元),,,,,,,,
应付票据(万元),,,,,,,,
应付账款(万元),45640,41683,30003,,12485,8706,4377,
预收账款(万元),,,,136,728,,99,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),13309,14293,7725,6970,6922,5124,3351,
应交税费(万元),1514,1385,1751,1053,1208,601,2641,
应付利息(万元),60,44,19,,,,,
应付股利(万元),,,24,,,,,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),2120,1542,1151,,444,597,551,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),16902,13327,10141,4991,857,,,
其他流动负债(万元),,,,,,,,
流动负债合计(万元),111794,101955,62007,47994,27624,18028,14018,
长期借款(万元),51273,45753,31616,4016,1480,857,,
应付债券(万元),,,,,,,,
长期应付款(万元),,,,7545,6561,,,
专项应付款(万元),,,,,,,,
预计非流动负债(万元),46,30,,,,,,
长期递延收益(万元),3530,3460,4269,2877,338,,,
递延所得税负债(万元),,,,,,,,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),62841,58778,49869,14438,8379,857,0,
负债合计(万元),174636,160733,111875,62432,36003,18884,14018,
实收资本(或股本)(万元),36777,36777,36777,36777,36777,9770,9000,
资本公积(万元),11770,11770,11682,11562,10713,26173,6716,
减:库存股(万元),,,,,,,,
专项储备(万元),40,36,26,14,3,,,
盈余公积(万元),2342,2342,2342,1738,1738,1013,1439,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),32623,28756,23692,18930,14150,8816,4605,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),83551,79681,74520,69022,63381,45772,21760,
少数股东权益(万元),19183,17395,13302,6029,3427,486,279,
所有者权益(或股东权益)合计(万元),102734,97076,87822,75051,66808,46258,22039,
负债和所有者权益(或股东权益)总计(万元),277370,257809,199697,137484,102811,65143,36058,		
