报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),101626,91728,132026,146393,119453,121198,77683,109427,60874,50041,30697,35778,22363,18608,
结算备付金(万元),,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,
交易性金融资产(万元),12000,10000,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,
应收票据(万元),1055,178,1198,712,1326,1192,1078,601,350,449,620,78,,,
应收账款(万元),12590,15635,8767,8895,6078,5270,7834,4207,3067,3696,7661,9199,4034,609,
预付款项(万元),6652,2763,2487,1709,2875,2690,2051,1062,1568,1585,1325,1536,773,758,
应收保费(万元),,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,
其他应收款(万元),,1155,,529,569,940,705,876,948,961,1008,1313,21587,449,
应收出口退税(万元),,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,
存货(万元),28083,25877,24993,23278,25595,25069,18656,18759,22871,20651,21205,17958,17167,21550,
待摊费用(万元),,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,
其他流动资产(万元),378,740,701,774,3680,7257,48310,11668,3213,3041,10070,456,1233,10254,
流动资产合计(万元),163313,148076,170718,182290,159575,163615,156316,146599,92891,80424,72586,66318,67158,52228,
发放贷款及垫款(万元),,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,
长期股权投资(万元),2036,1758,1187,720,300,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,
投资性房地产(万元),6001,6970,,,,,,,,,,,,,
固定资产原值(万元),,72816,,64851,,39615,,39182,,38859,38804,,,,
累计折旧(万元),,17191,,15677,,14608,,13424,,12219,11041,,,,
固定资产净值(万元),,55625,,49173,,25007,,25758,,26640,27762,,,,
固定资产减值准备(万元),,76,,76,,76,,76,,76,76,,,,
固定资产(万元),,55548,,49097,24811,24930,25229,25682,26144,26564,27686,29548,30212,29221,
在建工程(万元),,969,,14105,32622,27606,19430,17378,15128,13082,6606,2380,1422,1387,
工程物资(万元),,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,
无形资产(万元),32104,32284,32552,32827,33135,33395,33591,33885,34211,34507,35040,35873,36703,36698,
开发支出(万元),,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,
长期待摊费用(万元),3351,2954,3533,3387,3900,2947,1102,1570,2890,3212,3996,1332,1782,471,
股权分置流通权(万元),,,,,,,,,,,,,,,
递延所得税资产(万元),2478,2231,2290,2286,5102,5357,5364,5268,5461,4924,4320,2260,1410,350,
其他非流动资产(万元),1078,2014,1672,1293,,,,,,,,,425,,
非流动资产合计(万元),107072,104730,104186,103714,99869,94236,84715,83783,83835,82289,77648,71393,71953,68126,
资产总计(万元),270385,252805,274904,286004,259444,257851,241032,230383,176726,162713,150234,137711,139111,120354,
短期借款(万元),3653,,17529,22529,21980,25480,19280,28380,48115,46335,44154,44300,28900,23040,
向中央银行借款(万元),,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,
应付票据(万元),3393,3510,,4499,,1925,2206,2216,789,789,4671,2400,1017,750,
应付账款(万元),35608,35542,,36963,,39305,26588,22537,26971,24042,19495,21208,17711,20548,
预收账款(万元),4294,2479,5005,7959,10271,7845,10986,7692,12095,7841,6246,9318,10480,16856,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,
应付职工薪酬(万元),5922,5189,3791,6280,5088,4189,3818,3726,3394,3629,3675,3271,4252,3260,
应交税费(万元),4311,2377,5256,12019,3687,6021,5324,5196,2924,3321,5328,6208,3582,2304,
应付利息(万元),,8,8,29,,,36,44,126,63,60,67,52,43,
应付股利(万元),,,,,,,,,,,,,36000,,
其他应交款(万元),,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,
其他应付款(万元),,8818,,9737,10628,7991,9274,6556,5586,5326,5478,5223,6988,7190,
预提费用(万元),,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,
