报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),65154,34747,24267,25931,8253,15799,3836,4744,
结算备付金(万元),,,,,,,,,
拆出资金(万元),,,,,,,,,
交易性金融资产(万元),,,,,,,,,
衍生金融资产(万元),,,,,,,,,
应收票据(万元),61,860,546,100,538,294,180,,
应收账款(万元),9088,9338,13500,6823,3007,3504,4966,1457,
预付款项(万元),2908,1456,1759,883,865,1169,854,626,
应收保费(万元),,,,,,,,,
应收分保账款(万元),,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,
应收利息(万元),,,,,,,,,
应收股利(万元),,,,,,,,,
其他应收款(万元),,,390,301,522,464,542,530,
应收出口退税(万元),,,,,,,,,
应收补贴款(万元),,,,,,,,,
应收保证金(万元),,,,,,,,,
内部应收款(万元),,,,,,,,,
买入返售金融资产(万元),,,,,,,,,
存货(万元),41236,28768,29755,31332,20079,25065,16595,11752,
待摊费用(万元),,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,
其他流动资产(万元),57603,1703,1984,3017,3352,3693,1690,1760,
流动资产合计(万元),176905,77513,72202,68388,36616,49988,28663,20871,
发放贷款及垫款(万元),,,,,,,,,
可供出售金融资产(万元),,,1000,1000,1000,1000,400,,
持有至到期投资(万元),,,,,,,,,
长期应收款(万元),,,,,,,,,
长期股权投资(万元),,,,,,,,139,
其他长期投资(万元),,,,,,,,,
投资性房地产(万元),,,,,,,,,
固定资产原值(万元),,,19879,19572,,,,,
累计折旧(万元),,,9219,8343,,,,,
固定资产净值(万元),,,10659,11229,,,,,
固定资产减值准备(万元),,,,,,,,,
固定资产(万元),,,10659,11229,10312,6187,4137,3854,
在建工程(万元),,,3665,3125,1514,331,,,
工程物资(万元),,,,,,,,,
固定资产清理(万元),,,,,,,,,
生产性生物资产(万元),,,,,,,,,
公益性生物资产(万元),,,,,,,,,
油气资产(万元),,,,,,,,,
无形资产(万元),19674,19802,19885,20014,19517,13328,8965,1073,
开发支出(万元),,,,,,,,,
商誉(万元),,,,,3468,,,,
长期待摊费用(万元),804,908,695,815,831,692,217,268,
股权分置流通权(万元),,,,,,,,,
递延所得税资产(万元),1330,1246,1204,1168,1139,1363,818,370,
其他非流动资产(万元),425,309,169,169,,,,,
非流动资产合计(万元),44705,41356,37278,37520,37780,22901,14538,5704,
资产总计(万元),221610,118870,109480,105909,74395,72890,43200,26575,
短期借款(万元),,,,,,,700,2200,
向中央银行借款(万元),,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,
拆入资金(万元),,,,,,,,,
交易性金融负债(万元),,,,,,,,,
衍生金融负债(万元),,,,,,,,,
应付票据(万元),27859,32840,24324,21089,7130,9070,900,,
应付账款(万元),20640,11903,17796,21358,11663,15730,17289,6461,
预收账款(万元),3242,2057,2952,2336,1313,2070,1261,1063,
卖出回购金融资产款(万元),,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,
应付职工薪酬(万元),2051,1670,1941,3244,1149,2585,1499,1097,
应交税费(万元),2989,2606,2953,3572,2829,3720,4219,3819,
应付利息(万元),,,,,,,,,
应付股利(万元),,,,,,,,3200,
其他应交款(万元),,,,,,,,,
应付保证金(万元),,,,,,,,,
内部应付款(万元),,,,,,,,,
其他应付款(万元),,,2484,2358,2367,1324,898,2979,
预提费用(万元),,,,,,,,,
预计流动负债(万元),,,,,,,,,
应付分保账款(万元),,,,,,,,,
保险合同准备金(万元),,,,,,,,,
代理买卖证券款(万元),,,,,,,,,
代理承销证券款(万元),,,,,,,,,
国际票证结算(万元),,,,,,,,,
国内票证结算(万元),,,,,,,,,
递延收益(万元),,,,,,,,,
应付短期债券(万元),,,,,,,,,
一年内到期的非流动负债(万元),,,,,588,588,,,
其他流动负债(万元),4760,3561,3982,4622,5866,6592,4167,3015,
流动负债合计(万元),64855,57368,56431,58579,32904,41679,30932,23835,
长期借款(万元),,2342,1293,1112,3280,3574,,283,
应付债券(万元),,,,,,,,,
长期应付款(万元),,,,,,,,,
专项应付款(万元),,,,,,,,,
预计非流动负债(万元),341,414,173,246,226,216,175,165,
长期递延收益(万元),,,,,,,,,
递延所得税负债(万元),,,,,2037,,,,
其他非流动负债(万元),,,,,,,,,
非流动负债合计(万元),341,2756,1467,1358,5543,3790,175,448,
负债合计(万元),65197,60124,57897,59938,38447,45469,31107,24283,
实收资本(或股本)(万元),12000,9000,9000,9000,9000,9000,1117,1000,
资本公积(万元),96971,6290,6290,6290,4748,4748,1283,150,
减:库存股(万元),,,,,,,,,
专项储备(万元),,,,,,,,,
盈余公积(万元),2462,2272,1818,1586,1052,84,559,500,
一般风险准备(万元),,,,,,,,,
未确定的投资损失(万元),,,,,,,,,
未分配利润(万元),44980,41184,34475,29095,21149,13589,9135,642,
拟分配现金股利(万元),,,,,,,,,
外币报表折算差额(万元),,,,,,,,,
归属于母公司股东权益合计(万元),156413,58746,51582,45971,35949,27421,12094,2292,
少数股东权益(万元),,,,,,,,,
所有者权益(或股东权益)合计(万元),156413,58746,51582,45971,35949,27421,12094,2292,
负债和所有者权益(或股东权益)总计(万元),221610,118870,109480,105909,74395,72890,43200,26575,		
