报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),151583,120310,185641,152368,71644,129264,103711,29856,107031,63441,42957,
结算备付金(万元),,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,
交易性金融资产(万元),30045,61516,7212,,82890,10000,,,,,,
衍生金融资产(万元),,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,,
应收账款(万元),29521,21443,17980,25852,12063,16691,8637,,10055,7384,8254,
预付款项(万元),12734,11338,11442,12723,13693,12675,18131,15997,12897,9941,13037,
应收保费(万元),,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,
应收利息(万元),5,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,
其他应收款(万元),,6632,,6225,,,,,8109,5584,4306,
应收出口退税(万元),,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,
存货(万元),61637,51353,56231,97082,63107,46525,71158,42111,59147,61724,47580,
待摊费用(万元),,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,
其他流动资产(万元),20764,7676,6195,7240,4547,2975,29656,107055,37765,65704,33757,
流动资产合计(万元),315417,280267,291641,301490,255225,224597,237758,209609,235003,213778,149892,
发放贷款及垫款(万元),,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,
长期应收款(万元),3208,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,
投资性房地产(万元),370,749,569,576,,,,,,,,
固定资产原值(万元),,66269,,66331,66278,65958,42595,,,,,
累计折旧(万元),,16421,,14180,13396,12357,10530,,,,,
固定资产净值(万元),,49848,,52151,52882,53601,32066,,,,,
固定资产减值准备(万元),,,,,,,,,,,,
固定资产(万元),,49848,,52151,52882,53601,32066,32966,33869,18359,9551,
在建工程(万元),,1803,,898,,,,10728,6147,5190,3820,
工程物资(万元),,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,
无形资产(万元),13524,15779,16016,16350,16182,16523,17514,12655,12988,12591,3374,
开发支出(万元),435,261,,,,,,,,,,
商誉(万元),,,,,,,,,,,,
长期待摊费用(万元),7585,6692,5244,5732,5804,5498,5752,3332,2830,5005,7229,
股权分置流通权(万元),,,,,,,,,,,,
递延所得税资产(万元),6127,6156,6048,5600,4555,4574,3728,3851,3313,3032,1965,
其他非流动资产(万元),915,743,275,371,752,414,555,1287,1410,2165,4676,
非流动资产合计(万元),78743,82030,80864,81679,80175,80609,80519,64819,60557,46341,30615,
资产总计(万元),394160,362298,372505,383169,335400,305207,318276,274428,295560,260119,180507,
短期借款(万元),4000,4000,,,,,,,,,,
向中央银行借款(万元),,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,
应付票据(万元),31094,33775,23431,57931,52830,44822,69287,,89693,91697,54956,
应付账款(万元),82219,50806,58419,91142,69415,62286,69727,,56866,44275,37810,
预收账款(万元),47,57,52,15064,11561,11997,9884,10917,10604,12479,12908,
卖出回购金融资产款(万元),,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,
应付职工薪酬(万元),6606,6370,8788,11597,7959,7223,9013,5541,6580,6292,4569,
应交税费(万元),4824,5430,8472,7337,5631,5076,5000,3201,5792,4450,3762,
应付利息(万元),4,3,,,,,,,,,,
应付股利(万元),,1120,80,80,,,,,,27965,27965,
其他应交款(万元),,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,
其他应付款(万元),,51448,,52704,,,,,40470,31067,9428,
预提费用(万元),,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,
其他流动负债(万元),1072,880,852,,,,,,,,,
流动负债合计(万元),193074,168545,173991,235854,191101,173068,205622,176855,210004,218225,151398,
长期借款(万元),,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,
长期递延收益(万元),731,754,777,800,823,846,780,666,,,,
递延所得税负债(万元),12,29,,,,,2,3,,14,3,
其他非流动负债(万元),,,,,,,,,,,,
非流动负债合计(万元),743,783,777,800,823,846,782,668,0,14,3,
负债合计(万元),193817,169328,174768,236654,191924,173914,206404,177523,210004,218239,151401,
实收资本(或股本)(万元),40100,40100,40100,36000,36000,36000,36000,36000,36000,15216,15216,
资本公积(万元),80286,80286,79805,41818,41818,41818,41818,41818,41818,7051,4827,
减:库存股(万元),,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,
盈余公积(万元),1313,1313,1313,1313,519,519,519,98,98,4318,4245,
一般风险准备(万元),,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,
未分配利润(万元),78568,68295,71226,62428,60629,48707,29323,17098,5891,13502,3679,
拟分配现金股利(万元),,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,
