报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),53024,3352,3622,3479,761,3044,198,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),,,,,,,,
衍生金融资产(万元),,,,,,,,
应收票据(万元),15005,11949,4741,,3770,5938,242,
应收账款(万元),17592,18311,25381,,16256,10798,8088,
预付款项(万元),725,92,132,52,384,519,14,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),,,,,,,,
应收股利(万元),,,,,,,,
其他应收款(万元),,661,1237,,1144,839,575,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),26623,22800,25764,31541,23624,14176,11449,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,
其他流动资产(万元),963,1546,1950,2798,2761,892,1254,
流动资产合计(万元),114623,58711,62826,61740,48700,36205,21820,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),,,,,,,,
持有至到期投资(万元),,,,,,,,
长期应收款(万元),1883,1857,1807,650,,,,
长期股权投资(万元),,,,,,,,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),6040,6119,2860,2213,963,,,
固定资产原值(万元),,57580,51133,,,,,
累计折旧(万元),,9881,7955,,,,,
固定资产净值(万元),,47699,43178,,,,,
固定资产减值准备(万元),,,,,,,,
固定资产(万元),,47699,43178,39248,29183,13592,7268,
在建工程(万元),,6107,10366,8463,10834,599,,
工程物资(万元),,,,,,,,
固定资产清理(万元),,,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),6412,6411,2804,2693,2723,411,448,
开发支出(万元),,,,,,,,
商誉(万元),,,,,,,,
长期待摊费用(万元),4750,4554,4796,3485,3054,2032,1310,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),136,196,191,725,736,113,58,
其他非流动资产(万元),4899,1006,184,1410,2509,334,97,
非流动资产合计(万元),79236,73948,66186,58886,50002,17081,9181,
资产总计(万元),193858,132659,129012,120627,98702,53286,31001,
短期借款(万元),12500,12500,7500,7500,4500,,197,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),,,,,,,,
衍生金融负债(万元),,,,,,,,
应付票据(万元),10233,6410,5217,,5328,3544,,
应付账款(万元),30454,23185,25893,,27937,13168,10812,
预收账款(万元),111,37,27,123,83,33,123,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),1118,942,1998,1212,1724,1060,1207,
应交税费(万元),860,1400,1427,1217,1681,1012,896,
应付利息(万元),,,,,,,,
应付股利(万元),,,,,,,,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),,113,83,,21,10000,2,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),14877,5452,5812,3024,1364,429,,
其他流动负债(万元),,,,,,,,
流动负债合计(万元),71781,50039,47957,48171,42639,29247,13237,
长期借款(万元),,9787,9818,9825,,,,
应付债券(万元),,,,,,,,
长期应付款(万元),,3817,6332,4604,1734,540,,
专项应付款(万元),,,,,,,,
预计非流动负债(万元),,,,,,,,
长期递延收益(万元),3425,3356,3481,2730,2713,148,39,
递延所得税负债(万元),,26,,,,,,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),6181,16987,19631,17159,4446,688,39,
负债合计(万元),77962,67026,67588,65330,47085,29934,13276,
实收资本(或股本)(万元),11429,8571,8571,8571,8571,7018,6818,
资本公积(万元),74262,29752,29752,29752,28528,8725,8375,
减:库存股(万元),,,,,,,,
专项储备(万元),,,,,,,,
盈余公积(万元),2334,2334,2334,1398,1521,777,135,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),27871,24977,20768,15575,12997,6831,1229,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),115896,65633,61424,55296,51617,23352,16557,
少数股东权益(万元),,,,,,,1168,
所有者权益(或股东权益)合计(万元),115896,65633,61424,55296,51617,23352,17725,
负债和所有者权益(或股东权益)总计(万元),193858,132659,129012,120627,98702,53286,31001,		
