报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),28524,19036,26843,7048,21151,11292,4450,8470,7588,5347,7804,
结算备付金(万元),,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,
应收票据(万元),,33,117,,90,94,92,43,51,106,78,
应收账款(万元),29493,30432,24658,,13785,12341,12475,11586,9597,9582,8269,
预付款项(万元),1366,946,988,1341,1424,845,556,768,341,216,345,
应收保费(万元),,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,
其他应收款(万元),,,,,2086,2210,1788,2005,1313,1532,1544,
应收出口退税(万元),,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,
存货(万元),17662,17422,19725,20872,9930,6549,5568,4187,4155,2948,1950,
待摊费用(万元),,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,
其他流动资产(万元),0,202,4,4,6,,214,27,91,,,
流动资产合计(万元),80349,71359,74994,52108,48472,33332,25142,27085,23136,19730,19990,
发放贷款及垫款(万元),,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,
投资性房地产(万元),348,992,1011,2204,2245,2326,2367,2408,3203,489,,
固定资产原值(万元),,21049,18136,,,,,,,,,
累计折旧(万元),,5638,4832,,,,,,,,,
固定资产净值(万元),,15411,13304,,,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,,
固定资产(万元),,15411,13304,11984,11059,10701,10760,11083,10011,6888,628,
在建工程(万元),,,,42,609,210,13,,,5781,7436,
工程物资(万元),,,,,,,,,,,,
固定资产清理(万元),,,,,,,1,,,,,
生产性生物资产(万元),,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,
无形资产(万元),1178,1159,1169,1204,1196,1220,1215,1215,1119,1145,1166,
开发支出(万元),,,,,,,,,,,,
商誉(万元),,,,,,,,,3,3,3,
长期待摊费用(万元),665,528,300,321,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,
递延所得税资产(万元),1154,1141,1190,1084,1051,454,401,371,317,245,202,
其他非流动资产(万元),72,176,,,,,,,50,,,
非流动资产合计(万元),20544,20543,17354,16840,16159,14912,14757,15077,14703,14552,9434,
资产总计(万元),100893,91901,92348,68948,64631,48243,39899,42162,37839,34282,29425,
短期借款(万元),,,,,,,,400,500,1000,3000,
向中央银行借款(万元),,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,
应付票据(万元),,,554,,,,,,,,,
应付账款(万元),5523,5744,5958,,4763,2698,2790,2894,3322,4420,866,
预收账款(万元),15763,13448,20099,9676,13039,8756,4732,4856,2302,1813,1968,
卖出回购金融资产款(万元),,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,
应付职工薪酬(万元),3857,2643,4228,1691,1562,1055,574,784,643,628,540,
应交税费(万元),2206,2077,2849,1163,1966,1090,306,605,914,999,885,
应付利息(万元),0,0,1,,2,3,,,4,,,
应付股利(万元),,,,,,,111,,,,,
其他应交款(万元),,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,
其他应付款(万元),,372,120,268,248,51,139,58,42,81,712,
预提费用(万元),,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,2550,1100,,,
其他流动负债(万元),,,,,,,,,,,,
流动负债合计(万元),27847,24285,33809,21752,21580,13653,8651,12147,8828,8940,7970,
长期借款(万元),,,,,,,,,2550,3100,3100,
应付债券(万元),,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,
长期递延收益(万元),3618,3717,3839,3371,3405,1689,1801,2039,2405,1539,1047,
递延所得税负债(万元),,,,,,,,,,,,
其他非流动负债(万元),49,49,65,65,82,98,98,98,131,131,147,
非流动负债合计(万元),3668,3766,3905,3436,3487,1787,1899,2137,5086,4770,4294,
负债合计(万元),31515,28050,37714,25188,25067,15440,10550,14284,13914,13710,12264,
实收资本(或股本)(万元),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,
资本公积(万元),6258,6258,6258,6258,6258,6258,6258,6258,6258,6258,5298,
减:库存股(万元),,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,
盈余公积(万元),4739,4739,4739,2942,2942,2155,1607,1607,1194,837,590,
一般风险准备(万元),,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,
未分配利润(万元),52382,46854,37637,28559,24364,18390,15483,14013,10472,7476,5273,
拟分配现金股利(万元),,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,
归属于母公司股东权益合计(万元),69379,63851,54634,43760,39564,32803,29349,27879,23925,20572,17160,
少数股东权益(万元),,,,,,,,,,,,
所有者权益(或股东权益)合计(万元),69379,63851,54634,43760,39564,32803,29349,27879,23925,20572,17160,
负债和所有者权益(或股东权益)总计(万元),100893,91901,92348,68948,64631,48243,39899,42162,37839,34282,29425,		
