报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),13602,31420,28137,62476,21770,36774,52554,37785,25201,39757,27734,30331,30555,27819,
结算备付金(万元),,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,
交易性金融资产(万元),38436,20315,34,34,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,
应收票据(万元),4,,112,112,60,,,,,,,,,,
应收账款(万元),38855,39347,38734,35460,39665,35634,30058,22700,28096,16414,16218,22745,34431,28002,
预付款项(万元),2852,1330,1296,706,2100,2001,2195,2107,1610,944,910,189,328,115,
应收保费(万元),,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,
应收利息(万元),,,197,5,,5,11,96,40,,22,88,113,84,
应收股利(万元),,,,,,,,,,,,,,,
其他应收款(万元),,1466,,998,866,652,849,1053,1035,986,623,458,277,486,
应收出口退税(万元),,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,
存货(万元),4520,4164,3958,2486,2679,4478,4498,1147,1550,1326,1551,1147,2138,686,
待摊费用(万元),,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,
其他流动资产(万元),53,449,25207,451,28914,11686,379,176,162,615,8217,828,2168,2617,
流动资产合计(万元),100005,98491,98897,102727,96054,91230,90544,65063,57695,60043,55274,55786,70009,59810,
发放贷款及垫款(万元),,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,3058,3133,3133,3133,3133,1905,1905,756,1908,2763,2610,
持有至到期投资(万元),,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,
长期股权投资(万元),6502,6052,5879,5716,5107,4691,4503,4273,3868,4013,3020,3055,957,1679,
其他长期投资(万元),,,,,,,,,,,,,,,
投资性房地产(万元),26623,24092,21255,,,,,,,,,,,,
固定资产原值(万元),,27299,,50117,,3743,,3655,,3602,,3319,,,
累计折旧(万元),,3109,,2489,,2416,,2335,,2246,,1803,,,
固定资产净值(万元),,24191,,47627,,1327,,1321,,1356,,1517,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,
固定资产(万元),,24191,,47627,1310,1327,1274,1321,1358,1356,1395,1517,1770,2065,
在建工程(万元),,,,,28119,24244,21488,16655,11469,4113,3105,1599,160,,
工程物资(万元),,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,
无形资产(万元),1726,1965,2233,3899,3940,3994,4048,4104,4137,4248,4364,4467,4642,4685,
开发支出(万元),,,,,,,,,,,,,,,
商誉(万元),4920,4920,4920,4920,5653,5653,5653,5653,5653,5653,1451,,,,
长期待摊费用(万元),68,87,95,93,11,,0,1,3,10,29,55,111,186,
股权分置流通权(万元),,,,,,,,,,,,,,,
递延所得税资产(万元),332,346,532,491,536,490,422,418,422,370,705,389,345,236,
其他非流动资产(万元),,482,,,,,,,637,1630,1630,,503,75,
非流动资产合计(万元),64559,64621,65008,65804,47810,43532,40520,35558,29453,23297,16455,12990,11251,11536,
资产总计(万元),164564,163112,163906,168531,143864,134763,131064,100622,87148,83340,71729,68775,81261,71345,
短期借款(万元),,,,,,,,,,200,,,,,
向中央银行借款(万元),,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,
应付票据(万元),,,,,,,93,,,,,,,,
应付账款(万元),11927,12543,,17675,,2080,2111,1919,1633,501,241,97,301,490,
预收账款(万元),2542,2671,2494,2707,2972,3294,3676,2667,1758,2337,1653,431,239,264,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,
应付职工薪酬(万元),2436,3188,2517,4897,4344,3356,2573,5012,3077,4131,2734,3431,3681,3308,
应交税费(万元),2177,2053,1760,2218,2085,1573,1380,2532,1850,1720,1667,136,1156,217,
应付利息(万元),15,16,18,18,,9,,0,,,,,,,
应付股利(万元),,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,
其他应付款(万元),,1639,,1001,999,568,1466,26,105,103,112,33,111,45,
预提费用(万元),,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),1707,1643,1553,1463,1229,703,431,209,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,
流动负债合计(万元),22708,23753,23273,29980,14235,11583,11730,12365,8422,8991,6407,4127,5487,4323,
长期借款(万元),8120,8595,9006,9417,8760,5569,4742,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,
长期递延收益(万元),70,100,464,464,465,475,,709,675,770,588,576,690,834,
递延所得税负债(万元),,,3,3,,,,,,,,,,,
其他非流动负债(万元),,,,,,,704,,,,,,,,
非流动负债合计(万元),8190,8695,9473,9884,9225,6045,5446,709,675,770,588,576,690,834,
负债合计(万元),30898,32448,32747,39864,23460,17628,17176,13075,9098,9761,6995,4703,6177,5157,
实收资本(或股本)(万元),40001,40001,40001,40001,40001,40001,40001,36000,36000,36000,36000,5000,5000,5000,
资本公积(万元),46940,46940,46940,46940,46670,46670,46670,26753,26753,26753,25676,935,790,607,
减:库存股(万元),,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,
盈余公积(万元),3435,3435,3450,3450,1971,1971,1971,1971,827,827,,4619,4619,4619,
一般风险准备(万元),,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,
未分配利润(万元),39705,36337,36868,34086,27940,25152,22000,19710,11949,7688,2379,53617,64751,55962,
拟分配现金股利(万元),,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),129067,126097,126858,124433,116583,113794,110642,84435,75529,71268,64051,64171,75160,66188,
少数股东权益(万元),4599,4567,4301,4234,3821,3341,3246,3112,2521,2311,683,-98,-77,,
所有者权益(或股东权益)合计(万元),133666,130664,131159,128667,120404,117135,113888,87547,78050,73579,64734,64072,75083,66188,
负债和所有者权益(或股东权益)总计(万元),164564,163112,163906,168531,143864,134763,131064,100622,87148,83340,71729,68775,81261,71345,		
