报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),81005,86411,96242,114272,45920,79807,72099,39828,31877,21777,27861,15279,15419,
结算备付金(万元),,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,
交易性金融资产(万元),4888,4911,4911,23,28,24,288,59,2167,2150,2168,4184,3958,
衍生金融资产(万元),,,,,,,,,,,,,,
应收票据(万元),1379,3424,1789,1874,2532,1838,5214,2820,860,1351,1673,1698,1101,
应收账款(万元),67089,73250,75513,88225,70103,64412,56694,56067,49090,43089,32083,51119,42630,
预付款项(万元),8844,9273,9922,7358,12542,8845,4234,4960,9937,3810,8600,5372,3846,
应收保费(万元),,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,
应收股利(万元),,,,,,455,,,,,,540,,
其他应收款(万元),,2158,,2345,2421,1913,2646,2381,1928,1715,2875,6828,1795,
应收出口退税(万元),,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,
存货(万元),128016,109223,100702,117465,146705,96013,63212,55138,58175,64482,47485,35098,30824,
待摊费用(万元),,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,
其他流动资产(万元),6648,6501,4404,4466,62434,58524,4178,2241,3546,5088,1823,1471,1229,
流动资产合计(万元),300511,295151,296059,336027,342685,311831,208565,163494,157579,143462,124568,121589,100801,
发放贷款及垫款(万元),,,,,,,,,,,,,,
可供出售金融资产(万元),,,,1262,1262,988,988,988,500,500,,,,
持有至到期投资(万元),,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,
长期股权投资(万元),17186,17172,17436,13555,10651,10527,10244,7328,2858,2547,2261,2017,,
其他长期投资(万元),,,,,,,,,,,,,,
投资性房地产(万元),24,25,25,25,25,26,26,27,28,28,20,76,84,
固定资产原值(万元),,90561,,85154,,77034,73892,,70619,,60852,,,
累计折旧(万元),,47981,,43895,,40237,37311,,31220,,23951,,,
固定资产净值(万元),,42580,,41259,,36798,36581,,39399,,36901,,,
固定资产减值准备(万元),,,,,,,,,,,,,,
固定资产(万元),,42580,,41259,40749,36798,36581,36881,39399,37386,36901,25250,24003,
在建工程(万元),,25415,,12664,6310,4578,114,165,38,,166,7628,4468,
工程物资(万元),,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,
无形资产(万元),8839,8933,8686,8780,8489,8457,8524,8599,8238,4781,4565,2300,2519,
开发支出(万元),,,,,,,,,,,,,,
商誉(万元),,,,,101,95,95,95,95,95,,,56,
长期待摊费用(万元),944,771,879,1038,1228,1313,1253,1501,1690,1780,1478,269,292,
股权分置流通权(万元),,,,,,,,,,,,,,
递延所得税资产(万元),7292,6279,5337,6202,7433,5195,3735,2695,3155,2665,2373,1066,1036,
其他非流动资产(万元),,,,,,,,,,,,,,
非流动资产合计(万元),113613,101175,93344,84785,76249,67977,61561,58278,56001,49783,47765,38605,32458,
资产总计(万元),414124,396326,389403,420812,418934,379808,270126,221772,213579,193245,172333,160194,133260,
短期借款(万元),24559,17562,6087,5377,12983,600,915,203,,5810,3900,2799,5988,
向中央银行借款(万元),,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,
交易性金融负债(万元),,,,,883,510,,,170,438,1021,,,
衍生金融负债(万元),,,,,,,249,,,,,,,
应付票据(万元),9687,9390,,13634,,17946,17002,14025,23169,15356,18320,2987,3439,
应付账款(万元),111027,94930,,112122,,111632,91611,77831,79163,70599,64276,62090,51957,
预收账款(万元),4757,6295,8210,11588,8453,8116,10311,10485,8992,4490,3291,813,1375,
卖出回购金融资产款(万元),,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,
应付职工薪酬(万元),2829,2516,2366,7352,5672,4181,6735,2884,4446,2829,2417,1680,1734,
应交税费(万元),2983,2856,3070,4523,4362,5663,6575,4007,1709,1528,1944,2445,1443,
应付利息(万元),,,,,40,,,,,,,,,
应付股利(万元),,,,,,,,,,,9000,,9283,
其他应交款(万元),,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,
