报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),46622,47298,55006,53431,45804,31440,30293,31734,19609,23498,40263,64712,10024,16468,11565,12174,4116,14707,
结算备付金(万元),,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),19000,21000,26000,,,,,,,,,6,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,
应收票据(万元),16728,19444,16166,16515,7624,11324,8126,16290,16075,19041,6637,7389,9994,19756,11154,8437,2601,3715,
应收账款(万元),54871,49484,58733,40247,44307,43425,42551,37207,43749,45340,44171,42062,47106,34963,41467,33658,36776,35133,
预付款项(万元),1222,3421,1865,1429,4260,4524,5706,1428,10076,4836,5134,3732,2069,1943,1668,3923,3275,7644,
应收保费(万元),,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,135,,,263,279,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,
其他应收款(万元),,1507,,1210,1302,1030,1101,776,340,952,566,632,827,716,979,880,5412,1049,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,
存货(万元),101160,87938,84493,90269,88717,82861,81269,74217,67878,64037,58159,49302,46866,51512,69272,57121,55148,56968,
待摊费用(万元),,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,
其他流动资产(万元),26,223,153,18150,31435,33261,39157,36124,40122,40097,25427,10006,,2183,,,,,
流动资产合计(万元),241192,230316,243928,221385,223450,207865,208466,198056,197848,197802,180357,177841,116887,127541,136105,116193,107328,119216,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,85339,,83849,,76863,,74581,,64255,,66263,66033,64229,57902,55617,52421,40835,
