报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),33555,53981,50080,73742,46960,71648,12196,21563,20907,23062,23843,16552,
结算备付金(万元),,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,
交易性金融资产(万元),64680,58400,67701,64,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,
应收票据(万元),546,313,281,578,742,621,249,372,257,947,624,676,
应收账款(万元),29177,24971,21149,30178,24543,20415,20327,24679,13363,14397,12839,7553,
预付款项(万元),3489,3365,2849,1184,1072,1464,1281,779,1264,1031,666,517,
应收保费(万元),,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,
应收利息(万元),1600,3340,3683,3093,,4212,3593,3115,2039,2100,2858,457,
应收股利(万元),,,,,,,,,,,,,
其他应收款(万元),,3644,,1769,5414,1697,1751,1464,7649,1552,16295,11441,
应收出口退税(万元),,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,
存货(万元),16087,13482,13095,12793,10559,11311,10834,8765,5086,5138,3377,2711,
待摊费用(万元),,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,
一年内到期的非流动资产(万元),28113,58547,68141,102394,151884,154518,86400,88703,37293,40458,54965,46630,
其他流动资产(万元),12098,11555,21533,78680,64188,31645,26723,59259,19838,29708,53822,14000,
流动资产合计(万元),192669,231598,259359,304475,305361,297531,163354,208698,107695,118393,169287,100537,
发放贷款及垫款(万元),,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,
长期应收款(万元),11457,9079,6040,4600,4114,4786,4544,4223,4520,4061,3244,3838,
长期股权投资(万元),22768,9902,,,,0,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,
固定资产原值(万元),,44105,,36728,,32782,28536,26280,,19036,11633,,
累计折旧(万元),,22854,,18544,,15030,13446,11906,,9043,6749,,
固定资产净值(万元),,21251,,18184,,17752,15090,14375,,9993,4884,,
固定资产减值准备(万元),,,,,,,,,,,,,
固定资产(万元),,21251,,18184,18375,17752,15090,14375,9538,9993,4884,4057,
在建工程(万元),,,,,,,,,,,,,
工程物资(万元),,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,
无形资产(万元),27136,27367,447,448,436,466,495,532,194,95,93,95,
开发支出(万元),,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,
