报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),17775,35355,4706,4476,1382,3489,3426,3771,2050,
结算备付金(万元),,,,,,,,,,
拆出资金(万元),,,,,,,,,,
交易性金融资产(万元),8000,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,
应收票据(万元),289,927,,330,507,220,318,1292,,
应收账款(万元),10273,9672,,12803,8161,8926,8570,6554,7145,
预付款项(万元),1307,919,1736,882,599,159,465,213,348,
应收保费(万元),,,,,,,,,,
应收分保账款(万元),,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,
应收利息(万元),,,,,,13,11,5,12,
应收股利(万元),,,,,,,,,,
其他应收款(万元),,276,,212,149,445,658,414,461,
应收出口退税(万元),,,,,,,,,,
应收补贴款(万元),,,,,,,,,,
应收保证金(万元),,,,,,,,,,
内部应收款(万元),,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,
存货(万元),4363,3474,3461,2800,3717,3328,3554,3698,4387,
待摊费用(万元),,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,
其他流动资产(万元),800,15,645,564,26,43,1,,75,
流动资产合计(万元),43121,50638,21421,22066,14540,16624,17003,15947,14477,
发放贷款及垫款(万元),,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,
长期应收款(万元),1650,1650,1050,1575,975,525,525,,,
长期股权投资(万元),210,188,204,73,84,,,,,
其他长期投资(万元),,,,,,,,,,
投资性房地产(万元),3340,3360,2596,2703,2341,1912,,,,
固定资产原值(万元),,43019,,30631,28310,,17023,,,
累计折旧(万元),,10529,,9226,7410,,5939,,,
固定资产净值(万元),,32491,,21405,20900,,11084,,,
固定资产减值准备(万元),,,,,,,,,,
固定资产(万元),,32491,,21405,20900,20841,11084,12383,12911,
在建工程(万元),,1913,,12079,5573,2781,11830,2195,503,
工程物资(万元),,,,,,,,,,
固定资产清理(万元),,9,,9,,,,,,
生产性生物资产(万元),,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,
油气资产(万元),,,,,,,,,,
无形资产(万元),5422,5406,5030,5012,5099,5042,5647,5818,5989,
开发支出(万元),,,,,,,,,,
商誉(万元),,,,,,,,,,
长期待摊费用(万元),,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,
递延所得税资产(万元),374,359,374,374,328,336,323,291,210,
其他非流动资产(万元),,1329,,90,127,247,107,42,64,
非流动资产合计(万元),45488,46704,44436,43321,35428,31683,29516,20729,19677,
资产总计(万元),88609,97343,65857,65387,49967,48308,46519,36676,34154,
短期借款(万元),,3878,3938,4238,3200,3800,5600,5600,8100,
向中央银行借款(万元),,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,
拆入资金(万元),,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,
应付票据(万元),3930,3940,,4340,,2200,1100,2950,1200,
应付账款(万元),6296,6814,,6444,5728,4307,3342,3220,2837,
预收账款(万元),150,142,117,123,5,24,17,,,
卖出回购金融资产款(万元),,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,
应付职工薪酬(万元),445,442,394,675,588,462,412,188,184,
