报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,
货币资金(万元),70419,71085,69287,22973,16246,3496,3612,1576,884,253,346,251,
结算备付金(万元),,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,
交易性金融资产(万元),,214,,,,7,,,0,,,,
衍生金融资产(万元),,,,,,,,,,,,,
应收票据(万元),500,730,,10,105,603,,46,,,,,
应收账款(万元),32415,26927,,24460,20422,18130,,4957,3578,2382,1359,1095,
预付款项(万元),791,931,339,329,215,263,324,516,206,266,191,122,
应收保费(万元),,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,
应收利息(万元),167,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,
其他应收款(万元),,548,,497,511,498,,176,483,196,261,73,
应收出口退税(万元),,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,
存货(万元),16159,11839,10005,6908,6527,9763,4550,3035,3566,1798,1724,873,
待摊费用(万元),,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,
其他流动资产(万元),1025,707,668,620,4,0,1342,,7,158,87,68,
流动资产合计(万元),122457,112981,103299,55796,44031,32760,18821,10305,8726,5053,3968,2482,
发放贷款及垫款(万元),,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,164,164,164,164,,
持有至到期投资(万元),,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,
长期股权投资(万元),,250,237,231,211,202,195,,,,,,
其他长期投资(万元),,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,
固定资产原值(万元),,7808,,6949,6252,,,,,,,,
累计折旧(万元),,2370,,2129,1624,,,,,,,,
固定资产净值(万元),,5438,,4819,4628,,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,
固定资产(万元),,5438,,4819,4628,4402,4102,3987,4073,3924,4008,1580,
在建工程(万元),,,,,125,253,172,6,8,,16,2226,
工程物资(万元),,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,
无形资产(万元),3359,3437,3506,3592,710,688,696,709,720,723,717,720,
开发支出(万元),,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,
长期待摊费用(万元),46,19,33,40,71,9,14,18,23,28,32,38,
股权分置流通权(万元),,,,,,,,,,,,,
递延所得税资产(万元),355,282,219,231,182,161,84,67,53,85,75,70,
其他非流动资产(万元),1461,,,,,,,,,,,,
非流动资产合计(万元),15119,9426,9035,9067,5926,5715,5264,4952,5040,4924,5012,4634,
资产总计(万元),137576,122407,112333,64863,49957,38475,24085,15257,13766,9977,8980,7117,
短期借款(万元),,,,,,,,2586,2800,2466,2400,1906,
向中央银行借款(万元),,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,
交易性金融负债(万元),412,144,47,,,,97,,,17,,,
衍生金融负债(万元),,,,,,,,,,,,,
应付票据(万元),8690,12117,,5724,4544,,,,,,,50,
应付账款(万元),32347,22010,,21424,17672,17655,,3611,4032,2144,1357,891,
预收账款(万元),2157,1050,463,680,1767,2794,1713,909,573,417,408,251,
卖出回购金融资产款(万元),,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,
应付职工薪酬(万元),1712,992,612,1172,1032,571,346,95,268,143,274,79,
应交税费(万元),867,341,232,591,1398,791,328,222,147,123,9,8,
应付利息(万元),,,,,,,,2,5,4,5,4,
应付股利(万元),8000,,,,,,,283,283,283,283,283,
其他应交款(万元),,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,
其他应付款(万元),,331,,189,154,149,,228,247,346,639,527,
预提费用(万元),,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,
流动负债合计(万元),54419,36984,29330,29781,26568,21959,10427,7936,8357,5943,5375,3998,
长期借款(万元),1575,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,
长期递延收益(万元),50,67,83,100,214,94,142,,,,,,
递延所得税负债(万元),,,,,,1,,,0,,,,
其他非流动负债(万元),,,,,,,,,,,,,
非流动负债合计(万元),1625,67,83,100,214,95,142,0,0,0,0,0,
负债合计(万元),56044,37051,29413,29881,26782,22054,10568,7936,8357,5943,5375,3998,
实收资本(或股本)(万元),8000,8000,8000,6000,6000,6000,1077,1021,1007,1007,1007,1007,
资本公积(万元),48861,48861,48861,3592,3592,3592,8335,4148,3173,1760,1963,1963,
减:库存股(万元),,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,
盈余公积(万元),2841,2841,2841,2841,1676,503,503,206,206,322,322,275,
一般风险准备(万元),,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,
未分配利润(万元),21819,25641,23217,22542,11901,6322,3592,1836,911,835,203,-138,
拟分配现金股利(万元),,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,
归属于母公司股东权益合计(万元),81532,85356,82921,34983,23175,16420,13516,7222,5311,3937,3507,3118,
少数股东权益(万元),,,,,,,,99,99,97,98,,
所有者权益(或股东权益)合计(万元),81532,85356,82921,34983,23175,16420,13516,7320,5409,4034,3605,3118,
负债和所有者权益(或股东权益)总计(万元),137576,122407,112333,64863,49957,38475,24085,15257,13766,9977,8980,7117,		
