报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),47750,41860,29281,28973,21905,18801,13545,18486,8240,5505,695,
结算备付金(万元),,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,
交易性金融资产(万元),9697,28124,8146,5849,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,
应收票据(万元),21525,20809,42629,46138,53112,,,44091,26930,29298,5138,
应收账款(万元),90389,81159,82283,83375,75752,,,75102,61037,43205,32739,
预付款项(万元),3998,2777,2276,3089,2681,3401,1437,1058,496,916,358,
应收保费(万元),,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,
其他应收款(万元),,752,,568,192,,,215,1026,1208,2040,
应收出口退税(万元),,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,
存货(万元),24643,20025,20896,19209,26062,23433,18186,11790,14514,10717,6670,
待摊费用(万元),,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,
其他流动资产(万元),701,762,378,1514,1149,1371,2498,175,,,,
流动资产合计(万元),224407,216003,186257,188716,180854,164006,141389,150916,112244,90849,47641,
发放贷款及垫款(万元),,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,
长期股权投资(万元),,,207,221,270,278,247,175,106,75,47,
其他长期投资(万元),,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,
固定资产原值(万元),,36394,,35509,28407,,,,,,,
累计折旧(万元),,11053,,9653,7027,,,,,,,
固定资产净值(万元),,25341,,25855,21380,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,,
固定资产(万元),,25341,,25855,21380,17827,9838,10123,9414,6976,6437,
在建工程(万元),,5808,,,,2522,2786,129,152,512,67,
工程物资(万元),,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,
无形资产(万元),6579,3150,3201,3310,1974,2632,1963,2113,1544,1867,2175,
开发支出(万元),,,,,,,,,,,,
商誉(万元),,,,,,88,88,88,,,,
长期待摊费用(万元),801,847,708,62,163,245,305,276,61,,0,
股权分置流通权(万元),,,,,,,,,,,,
递延所得税资产(万元),2017,2073,1747,1829,1924,1598,1894,2107,2116,1844,1361,
其他非流动资产(万元),6463,2943,2047,2004,2761,1550,1542,501,575,906,252,
非流动资产合计(万元),59789,40162,36536,35161,29601,26739,18662,15512,13968,12179,10339,
资产总计(万元),284196,256165,222793,223876,210454,190745,160052,166428,126212,103028,57980,
短期借款(万元),17428,17174,21366,28704,22523,16454,10561,17878,9335,14558,5648,
向中央银行借款(万元),,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,
应付票据(万元),25891,24643,18300,21225,20900,,,15675,9050,3350,480,
应付账款(万元),46418,29018,40464,39169,54569,,,39593,32720,32753,17126,
预收账款(万元),,,,214,103,134,441,342,139,239,166,
卖出回购金融资产款(万元),,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,
应付职工薪酬(万元),962,452,434,1443,1096,592,1746,621,3859,749,458,
应交税费(万元),294,1783,91,1820,1066,800,454,1694,2029,1966,784,
应付利息(万元),,,,157,91,,,24,13,33,22,
应付股利(万元),,2000,,,,,,3622,,,,
其他应交款(万元),,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,
其他应付款(万元),,78,,21,269,,,1552,894,753,1136,
预提费用(万元),,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,
一年内到期的非流动负债(万元),200,200,200,200,200,200,200,233,280,604,307,
其他流动负债(万元),,17,,,,,,,,,,
流动负债合计(万元),93246,75494,81522,92951,100816,87647,64994,81233,58319,55005,26127,
长期借款(万元),11455,6990,5660,,,,,,,,,
应付债券(万元),,,,,,,,,,,,
长期应付款(万元),,,,,,400,600,600,,275,83,
专项应付款(万元),,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,
长期递延收益(万元),31,35,39,43,59,67,76,90,105,147,190,
递延所得税负债(万元),,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,
非流动负债合计(万元),11486,7026,5699,243,459,467,676,690,105,421,273,
负债合计(万元),104733,82519,87220,93195,101276,88114,65669,81922,58424,55426,26400,
实收资本(或股本)(万元),40001,40001,36000,36000,36000,36000,36000,36000,14851,14851,14851,
资本公积(万元),81179,80565,47298,46685,44232,40552,40552,40552,6202,6202,6202,
减:库存股(万元),,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,
盈余公积(万元),5345,5345,5345,5345,3464,1767,1767,,4753,2734,1132,
一般风险准备(万元),,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,
未分配利润(万元),53084,47877,47067,42787,25641,24281,15991,7828,41982,23814,9395,
拟分配现金股利(万元),,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,
归属于母公司股东权益合计(万元),179609,173789,135710,130816,109336,102600,94310,84380,67788,47602,31580,
少数股东权益(万元),-145,-143,-137,-135,-157,31,72,126,,,,
所有者权益(或股东权益)合计(万元),179463,173646,135572,130682,109179,102631,94383,84506,67788,47602,31580,
负债和所有者权益(或股东权益)总计(万元),284196,256165,222793,223876,210454,190745,160052,166428,126212,103028,57980,		
