报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),15313,16577,11123,13138,15960,10135,14253,42421,17089,25091,16667,9010,6923,
结算备付金(万元),,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,
交易性金融资产(万元),22235,17084,,3210,,,,,0,0,,,,
衍生金融资产(万元),,,,,,,,,,,,,,
应收票据(万元),558,651,1088,1072,986,1455,940,210,360,,,1209,,
应收账款(万元),3546,4469,3995,2628,3205,4616,4700,2266,2896,1140,3177,2760,2192,
预付款项(万元),567,450,324,225,332,294,597,293,895,486,488,850,895,
应收保费(万元),,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,
其他应收款(万元),,130,,120,195,235,138,119,123,99,70,109,96,
应收出口退税(万元),,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,
存货(万元),18628,18219,18761,17526,17381,17762,16893,15644,18521,17111,18795,16099,13635,
待摊费用(万元),,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,
其他流动资产(万元),9,9,22054,24099,20259,24305,22113,,4,4,1,132,285,
流动资产合计(万元),61024,57588,57473,62018,58318,58803,59633,60953,39888,43931,39198,30168,24025,
发放贷款及垫款(万元),,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,
投资性房地产(万元),687,703,719,735,751,767,783,799,831,863,928,,,
固定资产原值(万元),,13870,,13529,,13017,,12878,12666,12565,11438,12353,,
累计折旧(万元),,8798,,8663,,8279,,7992,7634,7238,6567,6369,,
固定资产净值(万元),,5072,,4866,,4739,,4887,5032,5327,4870,5984,,
固定资产减值准备(万元),,,,,,,,,,,,,,
固定资产(万元),,5072,,4866,4861,4739,4753,4887,5032,5327,4870,5984,6565,
在建工程(万元),,733,,813,516,732,556,550,278,39,759,289,,
工程物资(万元),,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,
无形资产(万元),545,553,561,569,576,565,570,546,533,542,519,538,645,
开发支出(万元),,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,
长期待摊费用(万元),262,221,260,84,111,164,232,252,347,424,379,719,250,
股权分置流通权(万元),,,,,,,,,,,,,,
递延所得税资产(万元),1079,993,806,777,435,489,522,485,641,522,629,576,419,
其他非流动资产(万元),,,,5,,,,,163,90,,,,
非流动资产合计(万元),8508,8275,8242,7848,7250,7456,7416,7518,7825,7807,8083,8106,7879,
资产总计(万元),69533,65864,65715,69866,65568,66259,67050,68472,47713,51738,47281,38274,31905,
短期借款(万元),,,,,,,,,,,,3000,3000,
向中央银行借款(万元),,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,
应付票据(万元),,,,,,,,,,,,,,
应付账款(万元),6813,5322,,9000,,6910,6333,6699,9415,10194,8407,4839,5298,
预收账款(万元),3661,2119,1360,1815,2727,1329,1985,2546,3945,6672,9622,6769,5141,
卖出回购金融资产款(万元),,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,
应付职工薪酬(万元),971,958,750,1939,758,1175,783,2409,1381,2369,2246,1843,1481,
