报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),5466,4795,6336,9644,8528,12469,13181,13445,12005,8942,12411,18557,10317,12515,10222,20722,14825,7922,25356,4870,2006,7150,5542,4253,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),45,132,136,121,,,80,88,81,28,29,38,2210,1105,2932,800,17,22,,,,38,67,25,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),119,60,317,280,152,67,200,180,160,45,228,263,152,177,120,180,261,199,181,250,512,10,143,360,
应收账款(万元),14589,13322,12846,13561,15907,13912,13439,14137,11601,9483,9154,11194,9246,9348,10313,10043,11911,9930,9975,7497,11901,7880,6134,4244,
预付款项(万元),4376,3461,3987,3326,2913,2765,2813,1923,2477,2554,2974,1567,1350,1155,1432,631,1410,833,767,699,1437,717,722,638,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,1484,,475,479,347,900,347,337,492,2484,3160,2972,4183,291,1405,412,411,639,554,456,505,323,457,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
存货(万元),20219,19875,18900,19035,18607,15148,13359,10782,11847,12079,10677,10133,7514,7320,8574,7958,7924,8413,7608,6857,5993,5759,4608,3576,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),1822,2173,1827,1724,2389,2132,1562,1434,863,5065,2607,632,8958,14412,14916,5219,10447,16561,376,354,149,307,1148,119,
流动资产合计(万元),48972,45301,46134,48166,48974,46841,50656,42337,39371,38688,40562,45543,42719,50215,48801,46958,47207,44291,44902,21082,22453,22364,18686,13672,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,2059,2699,2699,2699,2699,2699,699,16929,1731,750,750,750,750,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),8639,8607,8641,8611,5559,5575,5553,10646,10547,10565,,,,,,,90,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,40955,,40290,,38249,,33367,,30264,,29372,,16113,,16193,,14858,,14712,13807,13530,,,
累计折旧(万元),,14075,,12584,,11182,,10396,,9411,,8558,,5629,,5161,,4840,,4322,4191,3621,,,
固定资产净值(万元),,26880,,27705,,27066,,22971,,20853,,20814,,10485,,11032,,10019,,10390,9616,9909,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,
固定资产(万元),,26880,,27705,26661,27066,23518,22971,21261,20853,20793,20814,10283,10485,10754,11032,9698,10019,10137,10390,9616,9909,10289,10096,
在建工程(万元),,138,,194,587,610,4509,4988,6243,2406,2020,991,2155,1168,934,563,946,824,430,335,1028,319,,217,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,103,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),6315,6437,6623,6819,7015,7207,7406,7602,7190,7302,7415,7509,530,500,508,4356,4371,4401,4431,4461,4414,4493,523,543,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,
商誉(万元),30182,30182,30182,30182,30182,30182,30182,30182,9095,9095,9095,9095,,,,,,,,,,,,,
长期待摊费用(万元),907,983,970,849,997,1005,66,97,118,187,112,78,159,196,92,74,,4,7,11,16,32,107,81,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),844,836,844,876,643,559,651,652,118,112,141,152,110,112,123,135,171,116,92,100,206,129,74,53,
其他非流动资产(万元),162,234,,393,467,,297,281,488,2764,1554,1133,7009,1357,4746,311,1029,1029,1387,1387,1492,1327,2500,,
非流动资产合计(万元),74254,74995,75268,77687,74809,74903,74880,80117,57758,53982,58059,41503,20996,14567,17907,17220,16407,16392,16485,16685,16773,16209,13492,10989,
资产总计(万元),123225,120296,121402,125853,123783,121744,125537,122454,97129,92669,98621,87046,63715,64782,66708,64179,63615,60683,61386,37767,39226,38573,32179,24661,
短期借款(万元),14800,18800,16800,20545,19220,20320,21320,14800,13800,14000,13000,10200,6200,8000,10000,8000,8000,6000,6000,6000,8000,9914,9000,5000,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,28,,,,,,,18,18,2,39,,,6,6,14,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付票据(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付账款(万元),3474,3362,,3866,,2791,3096,1881,898,1348,923,1855,636,488,509,789,514,653,564,641,1004,1149,616,1596,
预收账款(万元),1606,984,1262,1557,2204,2207,1543,868,989,778,599,563,357,640,670,545,1038,1177,922,983,870,497,213,377,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),1201,1177,1171,1740,895,1010,813,1416,775,755,689,899,403,364,248,327,286,312,332,335,364,355,355,299,
应交税费(万元),559,133,336,646,726,497,477,1425,837,543,385,733,213,401,367,273,401,286,492,435,922,996,510,561,
应付利息(万元),,,,42,,,0,22,,,,,,,,,,,,,,,,,
应付股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,5459,,9866,12299,10877,15669,15515,3592,341,5300,6664,86,95,2,173,135,235,851,103,112,97,133,29,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),2972,3022,5995,5995,,,,,,,,,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,
流动负债合计(万元),33891,32937,39208,44257,37764,37728,42918,35927,20891,17764,20896,20913,7913,10006,11799,10146,10375,8663,9168,8502,11287,13008,10826,7863,
长期借款(万元),13474,13474,10794,10794,19338,19338,18112,18112,12060,12060,7060,4224,,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款(万元),,3000,,,,,,,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,
长期递延收益(万元),861,902,946,992,1066,1104,1161,1180,1192,1211,1303,1321,417,435,453,471,,259,,,,,,,
递延所得税负债(万元),661,723,701,735,786,814,829,847,782,799,815,831,,,,,,,,,,9,11,4,
其他非流动负债(万元),,,,,,,,,,,,,,,,,225,,277,312,387,537,216,288,
非流动负债合计(万元),17997,18098,12441,12520,21190,21256,20102,20139,14034,14069,9177,6375,417,435,453,471,225,259,277,312,387,546,227,292,
负债合计(万元),51887,51036,51649,56777,58954,58984,63021,56066,34925,31834,30074,27289,8331,10441,12252,10617,10600,8922,9445,8814,11674,13554,11053,8155,
实收资本(或股本)(万元),12417,12514,12514,12514,12514,12514,8938,8938,8938,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,6600,6600,6600,6600,6600,
资本公积(万元),20901,21935,21766,21766,22054,21771,25044,26960,26453,24328,24328,24328,24328,24328,24328,24328,24349,24349,24349,4770,4770,4770,4770,4770,
减:库存股(万元),,1131,1131,1131,2241,2241,2263,2263,2263,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,,,,,,,
盈余公积(万元),2277,2277,2277,2277,2277,2277,2277,2277,2101,2101,2101,2101,1813,1813,1813,1813,1593,1593,1593,1593,1205,1205,875,580,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),28660,27080,28543,26887,26728,25241,25722,24544,23357,22185,22061,21377,20413,19369,19484,18589,18273,17039,17212,16001,14981,12445,8881,4556,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),64254,62674,63968,62312,61331,59563,59718,60456,58587,57414,57290,56606,55355,54311,54426,53531,53015,51781,51954,28964,27555,25019,21125,16506,
少数股东权益(万元),7084,6586,5786,6764,3498,3197,2798,5932,3617,3421,11257,3152,29,29,30,30,,-20,-12,-11,-4,,,,
所有者权益(或股东权益)合计(万元),71338,69261,69754,69076,64829,62760,62516,66388,62204,60836,68547,59758,55384,54341,54455,53561,53015,51761,51942,28953,27552,25019,21125,16506,
负债和所有者权益(或股东权益)总计(万元),123225,120296,121402,125853,123783,121744,125537,122454,97129,92669,98621,87046,63715,64782,66708,64179,63615,60683,61386,37767,39226,38573,32179,24661,		
