报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),26196,25286,24102,19824,18288,19390,17046,16785,22445,10453,8229,7185,6013,1155,775,1466,
结算备付金(万元),,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,9,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,
应收票据(万元),74,75,18,15,23,216,188,169,79,106,203,50,,,,,
应收账款(万元),22043,21331,19852,18890,17671,16578,14732,14100,14274,13454,11021,8192,5792,4428,3271,1504,
预付款项(万元),331,399,87,108,258,320,265,68,344,385,214,243,426,314,104,92,
应收保费(万元),,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,
应收利息(万元),,166,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,
其他应收款(万元),,68,,56,124,60,112,45,101,73,45,58,90,457,362,118,
应收出口退税(万元),,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,
存货(万元),1822,1734,1735,1407,1468,977,1202,970,987,913,869,796,617,419,319,139,
待摊费用(万元),,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,
其他流动资产(万元),25520,21516,13018,16186,19100,19500,19500,18800,15000,,,,850,,,,
流动资产合计(万元),76129,70576,58910,56495,56932,57040,53046,50936,53231,25383,20582,16524,13788,6774,4831,3320,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,5293,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,
长期股权投资(万元),7815,8058,8219,8327,3222,3236,3247,3251,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,
固定资产原值(万元),,22390,,21389,,19353,,18113,,17097,13902,13425,,3809,,,
累计折旧(万元),,8100,,6965,,6010,,5126,,4389,3648,2848,,1575,,,
固定资产净值(万元),,14290,,14424,,13343,,12987,,12707,10254,10577,,2234,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,
固定资产(万元),,14290,,14424,13379,13343,13199,12987,12764,12707,10254,10577,10866,2234,1906,1201,
在建工程(万元),,,,,,,,,,,2597,,,6593,2141,37,
工程物资(万元),,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,
无形资产(万元),1518,1516,1496,1510,1503,1496,1509,1499,1535,1546,1539,1569,1549,1559,1594,1618,
开发支出(万元),,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,1165,1165,,,,
长期待摊费用(万元),167,198,230,262,171,194,197,221,245,269,154,241,286,339,396,285,
股权分置流通权(万元),,,,,,,,,,,,,,,,,
递延所得税资产(万元),228,217,217,218,195,193,188,191,199,204,203,170,142,146,168,225,
其他非流动资产(万元),674,168,184,638,1266,471,243,399,,,,,,,,,
非流动资产合计(万元),24482,24447,24799,25380,25030,18933,18583,18548,14742,14727,14748,13722,14009,10870,6205,3366,
