报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),42768,57206,58828,45449,22586,41791,9085,8091,3088,8275,7243,9205,9879,24077,26442,4842,3957,2446,3278,5377,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,
应收票据(万元),30,90,100,75,25,55,20,13,25,80,127,54,68,157,80,30,,,337,,
应收账款(万元),10464,9897,8534,8437,7305,5736,5839,6732,5757,5794,6045,5646,4980,3401,3956,3532,3664,3845,3260,1345,
预付款项(万元),1412,2064,2283,2241,3477,2580,2003,1877,1219,1243,1279,3650,715,452,476,1277,1497,1531,1380,1074,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,982,,670,942,778,8578,736,628,465,530,418,396,446,387,299,238,249,119,39,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,
存货(万元),30418,27440,27215,26847,23384,25792,25255,24072,23989,23089,21931,21145,18206,19608,18473,17092,11384,10347,9479,8684,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),7344,5384,9336,30406,48962,30472,27290,16755,24816,17234,18260,11704,14950,,,,,106,660,2,
流动资产合计(万元),93387,103063,107135,114124,106681,107203,78070,58276,59522,56180,55415,51822,49194,48142,49815,27072,20740,18525,18511,16521,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,267,300,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,89584,,63019,,60694,,60634,,57481,,57546,,41267,,41280,31186,,,,
累计折旧(万元),,23998,,21489,,19351,,17193,,15112,,13268,,12459,,11290,9017,,,,
固定资产净值(万元),,65586,,41530,,41343,,43441,,42370,,44278,,28809,,29990,22168,,,,
固定资产减值准备(万元),,117,,119,,119,,119,,122,,166,,229,,319,290,,,,
固定资产(万元),,65469,,41411,40213,41224,42350,43323,41733,42248,43055,44112,29557,28579,29012,29671,21878,22664,20168,19055,
在建工程(万元),,10276,,30580,23757,16545,11829,9928,9296,5013,1105,35,10923,11891,10685,10011,16690,3438,684,723,
工程物资(万元),,1,,2,,3,3,3,2,2,3,3,6,3,9,39,167,189,,0,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,
无形资产(万元),12048,5175,5224,5283,5342,5402,5447,5762,5821,5148,5199,5254,4884,4506,4537,4553,4601,4706,4094,1602,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,
商誉(万元),4995,,,,,,,,,,,,,,,,,,,,
长期待摊费用(万元),21,25,28,32,28,27,23,25,27,29,31,33,36,37,39,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),1123,1099,841,873,919,909,864,894,802,808,773,796,643,624,622,654,551,432,345,315,
其他非流动资产(万元),3257,1629,301,811,5628,3142,3732,1403,1176,2800,1560,610,1633,295,700,412,277,1826,838,16,
非流动资产合计(万元),102759,83673,80383,78990,75888,67253,64249,61337,58858,56316,52026,50844,47682,45936,45604,45341,44165,33255,26128,21712,
资产总计(万元),196146,186737,187518,193114,182569,174456,142318,119613,118380,112495,107441,102666,96876,94077,95418,72412,64904,51779,44639,38233,
短期借款(万元),980,980,980,10000,10000,10000,10000,,8000,5000,,,,,1950,13450,13000,8000,3000,1200,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,
应付票据(万元),,,,,,,,,327,327,,,,351,915,1415,1818,,,275,
应付账款(万元),7589,8521,,10130,,4565,4140,5470,5811,5687,5899,5257,3273,3682,4002,4624,5407,2795,2096,1715,
预收账款(万元),1108,876,816,895,2349,763,1049,792,762,736,1427,1665,975,702,771,1177,693,1038,1053,706,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),2146,1721,1246,1776,1746,1359,1095,1291,1265,1286,1262,1340,976,928,837,961,787,719,544,370,
应交税费(万元),1930,1512,1738,1341,2170,1580,4271,1053,1282,1483,1698,892,1222,631,468,150,-167,-238,38,1100,
应付利息(万元),25,1,83,68,39,12,13,,10,6,,,,,7,18,25,15,15,13,
应付股利(万元),,,,,,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,5902,,5661,,1353,1417,1197,1033,850,993,1055,747,857,631,795,544,564,984,205,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,,,1200,,
其他流动负债(万元),4089,3333,1281,2066,1990,1700,871,1245,1529,1600,1435,1420,1386,957,700,982,393,641,329,,
流动负债合计(万元),26810,22847,20539,31937,24927,21333,22857,11049,20019,16974,12714,11630,8579,8108,10280,23573,22501,13534,9257,5584,
长期借款(万元),,,,,,,,,,,,,,,,,,,3600,4800,
应付债券(万元),15805,24940,29078,28653,28178,27752,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,,,,
长期递延收益(万元),1922,1925,2023,1874,1972,2069,2168,2265,1871,1952,1935,1994,2055,2114,2163,2090,2307,2126,1509,,
递延所得税负债(万元),,,,,,,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,,,,1606,
非流动负债合计(万元),17727,26865,31101,30527,30150,29821,2168,2265,1871,1952,1935,1994,2055,2114,2163,2090,2307,2126,5109,6406,
负债合计(万元),44537,49712,51640,62463,55076,51154,25024,13314,21890,18926,14648,13624,10634,10222,12443,25662,24808,15660,14367,11990,
实收资本(或股本)(万元),46579,45960,32616,32620,32595,32599,32599,32599,32000,32000,16000,16000,16000,16000,16000,12000,12000,12000,12000,11231,
资本公积(万元),34189,23034,30625,30484,36938,36590,28800,28800,23539,23539,39539,39539,39539,39539,39539,9656,9656,9656,9656,9918,
减:库存股(万元),3914,4011,4011,4047,,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,,,
盈余公积(万元),6877,6877,6877,6877,4504,4504,4504,4504,3132,3132,3132,3132,2317,2317,2317,2317,1357,916,405,378,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),64162,59214,62743,57691,53456,49609,51391,40396,37819,34898,34121,30371,28386,25999,25119,22777,17084,13548,8212,4716,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),151609,137025,135877,130651,127493,123301,117294,106299,96491,93569,92792,89042,86242,83856,82975,46750,40097,36120,30273,26243,
少数股东权益(万元),,,,,,,,,,,,,,,,,,,,,
所有者权益(或股东权益)合计(万元),151609,137025,135877,130651,127493,123301,117294,106299,96491,93569,92792,89042,86242,83856,82975,46750,40097,36120,30273,26243,
负债和所有者权益(或股东权益)总计(万元),196146,186737,187518,193114,182569,174456,142318,119613,118380,112495,107441,102666,96876,94077,95418,72412,64904,51779,44639,38233,		
