报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),18436,11124,6684,20168,9733,8149,6250,10168,13693,4886,7076,9279,4152,1924,
结算备付金(万元),,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,
交易性金融资产(万元),16000,24000,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,
应收票据(万元),538,826,3308,4164,660,1879,1578,2952,781,551,521,147,65,310,
应收账款(万元),26463,25774,22677,17631,27677,24191,24746,23105,22553,19632,19030,20141,12475,9226,
预付款项(万元),31,27,66,46,38,18,78,70,4,39,14,5,28,30,
应收保费(万元),,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,
其他应收款(万元),,3318,,3235,3302,3300,3287,3286,3295,3279,3280,3903,147,2088,
应收出口退税(万元),,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,
存货(万元),6384,6074,7446,5892,6693,6277,5888,4096,4234,2761,3005,4266,3365,2953,
待摊费用(万元),,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,
其他流动资产(万元),,625,28025,20000,20000,24414,27000,27000,24000,990,,,,,
流动资产合计(万元),71130,71768,71481,71136,68102,68227,68827,70677,68560,32139,32926,37740,20231,16531,
发放贷款及垫款(万元),,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,1300,1300,1300,1300,1300,1300,1300,1300,2300,3100,3100,
持有至到期投资(万元),,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,492,436,
