报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),367421,308800,281106,170938,244034,288886,235314,170637,241005,355282,255669,604067,419948,761467,633172,448682,1103408,884238,688158,722264,
结算备付金(万元),,,,,,,,,,,,,,,,,0,0,0,0,
拆出资金(万元),,,,,,,,,,,,,,,,,0,0,0,0,
交易性金融资产(万元),,28470,542,542,,,,,,,,,,,,,8887,3593,22569,14329,
衍生金融资产(万元),,,,,,,,,,,,,,,,,0,0,0,0,
应收票据(万元),,,,,,,,,,,,,,,,,0,0,0,0,
应收账款(万元),438326,301925,307829,429282,358277,269984,175953,305639,278859,209691,277372,139167,107258,97874,113996,73345,93909,200603,44973,134478,
预付款项(万元),4733,6028,6808,9252,12519,11727,14309,5097,5765,5912,3972,1748,4076,2038,1659,983,415,3484,3362,5608,
应收保费(万元),,,,,,,,,,,,,,,,,0,0,0,0,
应收分保账款(万元),,,,,,,,,,,,,,,,,0,0,0,0,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,0,0,0,0,
应收利息(万元),7907,4920,3321,2500,,5107,4831,3501,5164,5329,3936,17764,12134,20605,15880,10626,11937,8488,15705,8811,
应收股利(万元),,,,67,,67,67,67,67,404,,,,,,,0,0,0,0,
其他应收款(万元),,19907,,26214,19795,12956,11396,5442,20506,18204,16073,3857,3763,4399,4156,8704,4123,2762,6784,4888,
应收出口退税(万元),,,,,,,,,,,,,,,,,0,0,0,0,
应收补贴款(万元),,,,,,,,,,,,,,,,,0,0,0,0,
应收保证金(万元),,,,,,,,,,,,,,,,,0,0,0,0,
内部应收款(万元),,,,,,,,,,,,,,,,,0,0,0,0,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,0,0,0,0,
