报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),27781,60914,26234,17953,38222,21855,20720,15158,15308,9804,
结算备付金(万元),,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,
交易性金融资产(万元),83024,68024,,20000,10000,,,18,,,
衍生金融资产(万元),,,,,,,,,,,
应收票据(万元),,,,,,1814,,,,,
应收账款(万元),26899,22295,20703,25602,22720,23801,,,,,
预付款项(万元),1473,1021,671,845,739,760,397,604,369,376,
应收保费(万元),,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,
应收利息(万元),,,,,,,,,,,
应收股利(万元),,,,,,,,,,,
其他应收款(万元),,642,,,,,,,,,
应收出口退税(万元),,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,
存货(万元),22253,16686,18143,19026,15913,14043,13643,12389,6857,5120,
待摊费用(万元),,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,
其他流动资产(万元),11955,1118,893,5860,568,22471,21036,17578,8500,6137,
流动资产合计(万元),178271,173286,70264,92813,92898,85196,77772,66388,44504,31506,
发放贷款及垫款(万元),,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,
固定资产原值(万元),,30689,,29974,,,,,,,
累计折旧(万元),,10890,,9561,,,,,,,
固定资产净值(万元),,19799,,20413,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,
固定资产(万元),,19799,,20413,,,15132,12936,8845,5789,
在建工程(万元),,18971,,,,,3166,2926,1083,2267,
工程物资(万元),,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,
油气资产(万元),,,,,,,,,,,
无形资产(万元),10329,10407,10486,10507,2591,1707,1300,1287,1313,122,
开发支出(万元),,,,,,,,,,,
商誉(万元),,,,,,,,,,,
长期待摊费用(万元),509,406,405,438,575,236,140,98,,,
